Year,DIVORCES,UNIT_MEASURE,Entity,Value
1971,divorce_rate_(per_1,000_marriages),NUMBER,BiH,88.2
1981,divorce_rate_(per_1,000_marriages),NUMBER,BiH,93.3
1991,divorce_rate_(per_1,000_marriages),NUMBER,BiH,56.3
1996,divorce_rate_(per_1,000_marriages),NUMBER,BiH,0
1997,divorce_rate_(per_1,000_marriages),NUMBER,BiH,79.02670112
1998,divorce_rate_(per_1,000_marriages),NUMBER,BiH,87.68640057
1999,divorce_rate_(per_1,000_marriages),NUMBER,BiH,88.77714489
2000,divorce_rate_(per_1,000_marriages),NUMBER,BiH,88.09425949
2001,divorce_rate_(per_1,000_marriages),NUMBER,BiH,104.7187469
2002,divorce_rate_(per_1,000_marriages),NUMBER,BiH,112.9112414
2003,divorce_rate_(per_1,000_marriages),NUMBER,BiH,92.50952588
2004,divorce_rate_(per_1,000_marriages),NUMBER,BiH,68.443286
2005,divorce_rate_(per_1,000_marriages),NUMBER,BiH,81.25172827
2006,divorce_rate_(per_1,000_marriages),NUMBER,BiH,77.1592019
2007,divorce_rate_(per_1,000_marriages),NUMBER,BiH,77.72197157
2008,divorce_rate_(per_1,000_marriages),NUMBER,BiH,61.80307887
2009,divorce_rate_(per_1,000_marriages),NUMBER,BiH,67.94940144
2010,divorce_rate_(per_1,000_marriages),NUMBER,BiH,85.76838442
2011,divorce_rate_(per_1,000_marriages),NUMBER,BiH,120.5366465
2012,divorce_rate_(per_1,000_marriages),NUMBER,BiH,125.8020291
2013,divorce_rate_(per_1,000_marriages),NUMBER,BiH,148.0451682
2014,divorce_rate_(per_1,000_marriages),NUMBER,BiH,144.0755243
2015,divorce_rate_(per_1,000_marriages),NUMBER,BiH,150.513055
2016,divorce_rate_(per_1,000_marriages),NUMBER,BiH,143.9397872
2017,divorce_rate_(per_1,000_marriages),NUMBER,BiH,151.3345686
2018,divorce_rate_(per_1,000_marriages),NUMBER,BiH,155.2408217
2019,divorce_rate_(per_1,000_marriages),NUMBER,BiH,147.2140144
1996,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,25.7282875
1997,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,68.36436087
1998,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,77.94383754
1999,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,84.07420371
2000,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,84.92874622
2001,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,100.7994984
2002,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,110.4818062
2003,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,89.60464051
2004,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,62.57758306
2005,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,70.92511013
2006,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,71.70304334
2007,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,69.62452728
2008,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,62.91501777
2009,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,58.88807608
2010,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,76.53218355
2011,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,96.98943522
2012,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,97.51243781
2013,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,119.8488709
