Year,UNIT_MEASURE,QUANTITY,Entity,Value
1997,%,real_gdp_growth,BiH,0.34
1998,%,real_gdp_growth,BiH,0.16
1999,%,real_gdp_growth,BiH,0.10
2000,%,real_gdp_growth,BiH,0.06
2001,%,real_gdp_growth,BiH,0.04
2002,%,real_gdp_growth,BiH,0.05
2003,%,real_gdp_growth,BiH,0.04
2004,%,real_gdp_growth,BiH,0.06
2005,%,real_gdp_growth,BiH,0.09
2006,%,real_gdp_growth,BiH,0.05
2007,%,real_gdp_growth,BiH,0.06
2008,%,real_gdp_growth,BiH,0.05
2009,%,real_gdp_growth,BiH,-0.03
2010,%,real_gdp_growth,BiH,0.01
2011,%,real_gdp_growth,BiH,0.01
2012,%,real_gdp_growth,BiH,-0.01
2013,%,real_gdp_growth,BiH,0.02
2014,%,real_gdp_growth,BiH,0.01
2015,%,real_gdp_growth,BiH,0.03
2016,%,real_gdp_growth,BiH,0.03
2017,%,real_gdp_growth,BiH,0.02
2018,%,real_gdp_growth,BiH,0.04
2019,%,real_gdp_growth,BiH,0.03
