Year,ADMIN_AREA,UNIT_MEASURE,Value
1971,BiH,number_birth_rate,9.40
1981,BiH,number_birth_rate,8.90
1991,BiH,number_birth_rate,6.50
1996,BiH,number_birth_rate,5.80
1997,BiH,number_birth_rate,6.20
1998,BiH,number_birth_rate,6.10
1999,BiH,number_birth_rate,6.00
2000,BiH,number_birth_rate,5.80
2001,BiH,number_birth_rate,5.30
2002,BiH,number_birth_rate,5.30
2003,BiH,number_birth_rate,5.40
2004,BiH,number_birth_rate,5.80
2005,BiH,number_birth_rate,5.60
2006,BiH,number_birth_rate,5.60
2007,BiH,number_birth_rate,6.12
2008,BiH,number_birth_rate,5.77
2009,BiH,number_birth_rate,5.37
2010,BiH,number_birth_rate,5.08
2011,BiH,number_birth_rate,4.99
2012,BiH,number_birth_rate,4.75
2013,BiH,number_birth_rate,5.00
2014,BiH,number_birth_rate,5.30
2015,BiH,number_birth_rate,5.60
2016,BiH,number_birth_rate,5.50
2017,BiH,number_birth_rate,5.70
2018,BiH,number_birth_rate,5.70
2019,BiH,number_birth_rate,5.40
