Year,UNIT_MEASURE,school_year,type_of_institution,Value
2013,NUMBER,2011/2012,_T,227
2013,NUMBER,2012/2013,_T,246
2013,NUMBER,2013/2014,_T,261
2013,NUMBER,2014/2015,_T,292
2013,NUMBER,2015/2016,_T,320
2013,NUMBER,2016/2017,_T,335
2013,NUMBER,2017/2018,_T,335
2013,NUMBER,2018/2019,_T,362
2013,NUMBER,2019/2020,_T,390
2013,NUMBER,2020/2021,_T,399
2013,NUMBER,2011/2012,public,176
2013,NUMBER,2012/2013,public,180
2013,NUMBER,2013/2014,public,180
2013,NUMBER,2014/2015,public,181
2013,NUMBER,2015/2016,public,192
2013,NUMBER,2016/2017,public,198
2013,NUMBER,2017/2018,public,200
2013,NUMBER,2018/2019,public,205
2013,NUMBER,2019/2020,public,209
2013,NUMBER,2020/2021,public,215
2013,NUMBER,2011/2012,private,51
2013,NUMBER,2012/2013,private,66
2013,NUMBER,2013/2014,private,81
2013,NUMBER,2014/2015,private,111
2013,NUMBER,2015/2016,private,128
2013,NUMBER,2016/2017,private,137
2013,NUMBER,2017/2018,private,135
2013,NUMBER,2018/2019,private,157
2013,NUMBER,2019/2020,private,181
2013,NUMBER,2020/2021,private,184
