Year,UNIT_MEASURE,school_year_beginning,SEX,Value
2013,NUMBER,2011/2012,_T,316657
2013,NUMBER,2012/2013,_T,304881
2013,NUMBER,2013/2014,_T,302133
2013,NUMBER,2014/2015,_T,296819
2013,NUMBER,2015/2016,_T,291342
2013,NUMBER,2016/2017,_T,287729
2013,NUMBER,2017/2018,_T,282946
2013,NUMBER,2018/2019,_T,280018
2013,NUMBER,2019/2020,_T,274034
2013,NUMBER,2020/2021,_T,268059
2013,NUMBER,2011/2012,M,162596
2013,NUMBER,2012/2013,M,156296
2013,NUMBER,2013/2014,M,154895
2013,NUMBER,2014/2015,M,152363
2013,NUMBER,2015/2016,M,149888
2013,NUMBER,2016/2017,M,148250
2013,NUMBER,2017/2018,M,145441
2013,NUMBER,2018/2019,M,143837
2013,NUMBER,2019/2020,M,140792
2013,NUMBER,2020/2021,M,137540
2013,NUMBER,2011/2012,F,154061
2013,NUMBER,2012/2013,F,148585
2013,NUMBER,2013/2014,F,147238
2013,NUMBER,2014/2015,F,144456
2013,NUMBER,2015/2016,F,141454
2013,NUMBER,2016/2017,F,139479
2013,NUMBER,2017/2018,F,137505
2013,NUMBER,2018/2019,F,136181
2013,NUMBER,2019/2020,F,133242
2013,NUMBER,2020/2021,F,130519
