SEX,CAUSE_OF_DEATH,Year,UNIT_MEASURE,Value
_T,neoplasms,1999,NUMBER,4591
_T,diseases_of_the_circulatory,1999,NUMBER,15911
_T,diseases_of_the_respiratory,1999,NUMBER,866
_T,diseases_of_the_digestive,1999,NUMBER,709
_T,symptoms_signs_and_abnormal,1999,NUMBER,2552
_T,injuries_poisoning_and_consequences,1999,NUMBER,1022
_T,total,1999,NUMBER,25651
M,neoplasms,1999,NUMBER,2752
M,diseases_of_the_circulatory,1999,NUMBER,77
M,diseases_of_the_respiratory,1999,NUMBER,498
M,diseases_of_the_digestive,1999,NUMBER,445
M,symptoms_signs_and_abnormal,1999,NUMBER,1347
M,injuries_poisoning_and_consequences,1999,NUMBER,786
M,total,1999,NUMBER,13528
F,neoplasms,1999,NUMBER,1839
F,diseases_of_the_circulatory,1999,NUMBER,8211
F,diseases_of_the_respiratory,1999,NUMBER,368
F,diseases_of_the_digestive,1999,NUMBER,264
F,symptoms_signs_and_abnormal,1999,NUMBER,1205
F,injuries_poisoning_and_consequences,1999,NUMBER,236
F,total,1999,NUMBER,12123
_T,neoplasms,2000,NUMBER,5122
_T,diseases_of_the_circulatory,2000,NUMBER,16283
_T,diseases_of_the_respiratory,2000,NUMBER,805
_T,diseases_of_the_digestive,2000,NUMBER,848
_T,symptoms_signs_and_abnormal,2000,NUMBER,2860
_T,injuries_poisoning_and_consequences,2000,NUMBER,1091
_T,total,2000,NUMBER,27009
M,neoplasms,2000,NUMBER,3144
M,diseases_of_the_circulatory,2000,NUMBER,781
M,diseases_of_the_respiratory,2000,NUMBER,464
M,diseases_of_the_digestive,2000,NUMBER,518
M,symptoms_signs_and_abnormal,2000,NUMBER,1484
M,injuries_poisoning_and_consequences,2000,NUMBER,812
M,total,2000,NUMBER,14232
F,neoplasms,2000,NUMBER,1978
F,diseases_of_the_circulatory,2000,NUMBER,8473
F,diseases_of_the_respiratory,2000,NUMBER,341
F,diseases_of_the_digestive,2000,NUMBER,330
F,symptoms_signs_and_abnormal,2000,NUMBER,1376
F,injuries_poisoning_and_consequences,2000,NUMBER,279
F,total,2000,NUMBER,12777
_T,infectious_and_parasitic,2001,NUMBER,257
_T,neoplasms,2001,NUMBER,5347
_T,diseases_of_the_blood,2001,NUMBER,20
_T,endocrine_metabolic_and_nutritional,2001,NUMBER,667
_T,mental_and_behavioural_disorders,2001,NUMBER,48
_T,diseases_of_the_nervous,2001,NUMBER,161
_T,diseases_of_the_eye,2001,NUMBER,1
_T,diseases_of_the_circulatory,2001,NUMBER,16328
_T,diseases_of_the_respiratory,2001,NUMBER,745
_T,diseases_of_the_digestive,2001,NUMBER,827
_T,diseases_of_the_skin,2001,NUMBER,17
_T,diseases_of_the_musculoskeletal,2001,NUMBER,14
_T,diseases_of_the_genitourinary,2001,NUMBER,397
_T,pregnancy_childbirth_and_the,2001,NUMBER,1
_T,certain_conditions_originating,2001,NUMBER,188
_T,congenital_malformations_deformations,2001,NUMBER,43
_T,symptoms_signs_and_abnormal,2001,NUMBER,3031
_T,injuries_poisoning_and_consequences,2001,NUMBER,1017
_T,external_causes_of_mortality,2001,NUMBER,261
_T,factors_influencing_health_status,2001,NUMBER,1
_T,unknown,2001,NUMBER,954
_T,total,2001,NUMBER,30325
M,infectious_and_parasitic,2001,NUMBER,157
M,neoplasms,2001,NUMBER,3288
M,diseases_of_the_blood,2001,NUMBER,7
M,endocrine_metabolic_and_nutritional,2001,NUMBER,240
M,mental_and_behavioural_disorders,2001,NUMBER,37
M,diseases_of_the_nervous,2001,NUMBER,79
M,diseases_of_the_eye,2001,NUMBER,1
M,diseases_of_the_circulatory,2001,NUMBER,7943
M,diseases_of_the_respiratory,2001,NUMBER,434
M,diseases_of_the_digestive,2001,NUMBER,540
M,diseases_of_the_skin,2001,NUMBER,5
M,diseases_of_the_musculoskeletal,2001,NUMBER,6
M,diseases_of_the_genitourinary,2001,NUMBER,200
M,pregnancy_childbirth_and_the,2001,NUMBER,0
M,certain_conditions_originating,2001,NUMBER,109
M,congenital_malformations_deformations,2001,NUMBER,18
M,symptoms_signs_and_abnormal,2001,NUMBER,1637
M,injuries_poisoning_and_consequences,2001,NUMBER,768
M,external_causes_of_mortality,2001,NUMBER,206
M,unknown,2001,NUMBER,527
M,total,2001,NUMBER,16202
F,infectious_and_parasitic,2001,NUMBER,100
F,neoplasms,2001,NUMBER,2059
F,diseases_of_the_blood,2001,NUMBER,13
F,endocrine_metabolic_and_nutritional,2001,NUMBER,427
F,mental_and_behavioural_disorders,2001,NUMBER,11
F,diseases_of_the_nervous,2001,NUMBER,82
F,diseases_of_the_circulatory,2001,NUMBER,8385
F,diseases_of_the_respiratory,2001,NUMBER,311
F,diseases_of_the_digestive,2001,NUMBER,287
F,diseases_of_the_skin,2001,NUMBER,12
F,diseases_of_the_musculoskeletal,2001,NUMBER,8
F,diseases_of_the_genitourinary,2001,NUMBER,197
F,pregnancy_childbirth_and_the,2001,NUMBER,1
F,certain_conditions_originating,2001,NUMBER,79
F,congenital_malformations_deformations,2001,NUMBER,25
F,symptoms_signs_and_abnormal,2001,NUMBER,1394
F,injuries_poisoning_and_consequences,2001,NUMBER,249
F,external_causes_of_mortality,2001,NUMBER,55
F,factors_influencing_health_status,2001,NUMBER,1
F,unknown,2001,NUMBER,427
F,total,2001,NUMBER,14123
_T,infectious_and_parasitic,2002,NUMBER,263
_T,neoplasms,2002,NUMBER,5288
_T,diseases_of_the_blood,2002,NUMBER,19
_T,endocrine_metabolic_and_nutritional,2002,NUMBER,862
_T,mental_and_behavioural_disorders,2002,NUMBER,66
_T,diseases_of_the_nervous,2002,NUMBER,157
_T,diseases_of_the_eye,2002,NUMBER,1
_T,diseases_of_the_circulatory,2002,NUMBER,16007
_T,diseases_of_the_respiratory,2002,NUMBER,817
_T,diseases_of_the_digestive,2002,NUMBER,820
_T,diseases_of_the_skin,2002,NUMBER,17
_T,diseases_of_the_musculoskeletal,2002,NUMBER,10
_T,diseases_of_the_genitourinary,2002,NUMBER,219
_T,pregnancy_childbirth_and_the,2002,NUMBER,3
_T,certain_conditions_originating,2002,NUMBER,226
_T,congenital_malformations_deformations,2002,NUMBER,56
_T,symptoms_signs_and_abnormal,2002,NUMBER,2983
_T,injuries_poisoning_and_consequences,2002,NUMBER,984
_T,external_causes_of_mortality,2002,NUMBER,242
_T,factors_influencing_health_status,2002,NUMBER,1
_T,unknown,2002,NUMBER,1790
_T,total,2002,NUMBER,30831
M,infectious_and_parasitic,2002,NUMBER,160
M,neoplasms,2002,NUMBER,3201
M,diseases_of_the_blood,2002,NUMBER,11
M,endocrine_metabolic_and_nutritional,2002,NUMBER,300
M,mental_and_behavioural_disorders,2002,NUMBER,39
M,diseases_of_the_nervous,2002,NUMBER,87
M,diseases_of_the_eye,2002,NUMBER,1
M,diseases_of_the_circulatory,2002,NUMBER,7544
M,diseases_of_the_respiratory,2002,NUMBER,478
M,diseases_of_the_digestive,2002,NUMBER,495
M,diseases_of_the_skin,2002,NUMBER,3
M,diseases_of_the_musculoskeletal,2002,NUMBER,2
M,diseases_of_the_genitourinary,2002,NUMBER,120
M,pregnancy_childbirth_and_the,2002,NUMBER,0
M,certain_conditions_originating,2002,NUMBER,128
M,congenital_malformations_deformations,2002,NUMBER,32
