Year,UNIT_MEASURE,school_year_end,SEX,Value
2013,NUMBER,2010/2011,_T,50567
2013,NUMBER,2011/2012,_T,41834
2013,NUMBER,2012/2013,_T,33672
2013,NUMBER,2013/2014,_T,36993
2013,NUMBER,2014/2015,_T,36434
2013,NUMBER,2015/2016,_T,36126
2013,NUMBER,2016/2017,_T,35694
2013,NUMBER,2017/2018,_T,32144
2013,NUMBER,2018/2019,_T,31728
2013,NUMBER,2019/2020,_T,30463
2013,NUMBER,2010/2011,M,25977
2013,NUMBER,2011/2012,M,21761
2013,NUMBER,2012/2013,M,17181
2013,NUMBER,2013/2014,M,18730
2013,NUMBER,2014/2015,M,18662
2013,NUMBER,2015/2016,M,18441
2013,NUMBER,2016/2017,M,18266
2013,NUMBER,2017/2018,M,16159
2013,NUMBER,2018/2019,M,16244
2013,NUMBER,2019/2020,M,15564
2013,NUMBER,2010/2011,F,24590
2013,NUMBER,2011/2012,F,20073
2013,NUMBER,2012/2013,F,16491
2013,NUMBER,2013/2014,F,18263
2013,NUMBER,2014/2015,F,17772
2013,NUMBER,2015/2016,F,17685
2013,NUMBER,2016/2017,F,17428
2013,NUMBER,2017/2018,F,15985
2013,NUMBER,2018/2019,F,15484
2013,NUMBER,2019/2020,F,14899
