Year,UNIT_MEASURE,Entity,Value
1999,Broj,RS,457.0
2000,Broj,RS,393.0
2001,Broj,RS,382.0
2002,Broj,RS,334.0
2003,Broj,RS,325.0
2004,Broj,RS,307.0
2005,Broj,RS,263.0
2006,Broj,RS,278.0
2007,Broj,FBIH,351.0
2007,Broj,RS,313.0
2008,Broj,FBIH,348.0
2008,Broj,RS,310.0
2009,Broj,FBIH,361.0
2009,Broj,RS,306.0
2010,Broj,FBIH,368.0
2010,Broj,RS,305.0
2011,Broj,FBIH,368.0
2011,Broj,RS,308.0
2012,Broj,FBIH,366.0
2012,Broj,RS,319.0
2013,Broj,FBIH,350.0
2013,Broj,RS,320.0
2014,Broj,FBIH,358.0
2014,Broj,RS,326.0
2015,Broj,FBIH,357.0
2015,Broj,RS,400.0
2016,Broj,FBIH,377.0
2016,Broj,RS,400.0
2017,Broj,FBIH,373.0
2017,Broj,RS,395.0
2018,Broj,FBIH,362.0
2018,Broj,RS,420.0
2019,Broj,FBIH,359.0
2018,Broj,BD,365.24
