Year,UNIT_MEASURE,Administrative area,Sex,Value
1998,Age,BiH,Both sexes,66.1
1999,Age,BiH,Both sexes,66.6
2000,Age,BiH,Both sexes,66.8
2001,Age,BiH,Both sexes,67.2
2002,Age,BiH,Both sexes,67.8
2003,Age,BiH,Both sexes,68.4
2004,Age,BiH,Both sexes,68.9
2005,Age,BiH,Both sexes,69.3
2006,Age,BiH,Both sexes,69.4
2007,Age,BiH,Both sexes,69.6
2008,Age,BiH,Both sexes,70.2
2009,Age,BiH,Both sexes,70.8
2010,Age,BiH,Both sexes,71.6
2011,Age,BiH,Both sexes,72.1
2012,Age,BiH,Both sexes,72.5
2013,Age,BiH,Both sexes,72.7
2014,Age,BiH,Both sexes,73.0
2015,Age,BiH,Both sexes,73.4
2016,Age,BiH,Both sexes,73.4
2017,Age,BiH,Both sexes,73.9
2018,Age,BiH,Both sexes,74.1
2019,Age,BiH,Both sexes,74.1
2003,Age,BiH,M,31.6
2004,Age,BiH,M,48.0
2009,Age,BiH,M,63.3
2010,Age,BiH,M,64.0
2011,Age,BiH,M,64.2
2012,Age,BiH,M,64.6
2013,Age,BiH,M,65.0
2014,Age,BiH,M,65.8
2015,Age,BiH,M,66.3
2016,Age,BiH,M,66.8
2017,Age,BiH,M,66.8
2018,Age,BiH,M,66.9
2019,Age,BiH,M,67.4
1961,Age,BiH,M,68.1
1971,Age,BiH,M,68.9
1981,Age,BiH,M,69.4
1991,Age,BiH,M,69.8
1996,Age,BiH,M,70.0
1997,Age,BiH,M,70.4
1998,Age,BiH,M,70.7
1999,Age,BiH,M,70.7
2000,Age,BiH,M,71.2
2001,Age,BiH,M,71.4
2002,Age,BiH,M,71.5
2003,Age,BiH,F,34.5
2004,Age,BiH,F,51.6
2009,Age,BiH,F,69.2
2010,Age,BiH,F,69.5
2011,Age,BiH,F,69.7
2012,Age,BiH,F,70.2
2013,Age,BiH,F,70.7
2014,Age,BiH,F,71.2
2015,Age,BiH,F,71.7
2016,Age,BiH,F,72.2
2017,Age,BiH,F,72.2
2018,Age,BiH,F,72.5
2019,Age,BiH,F,73.3
2003,Age,BiH,F,73.6
2004,Age,BiH,F,74.5
2005,Age,BiH,F,75.0
2006,Age,BiH,F,75.3
2007,Age,BiH,F,75.5
2008,Age,BiH,F,75.8
2009,Age,BiH,F,76.1
2010,Age,BiH,F,76.2
2011,Age,BiH,F,76.5
2012,Age,BiH,F,76.8
2013,Age,BiH,F,76.9
1997,Age,Federation of BiH,Both sexes,64.3
1998,Age,Federation of BiH,Both sexes,63.8
1999,Age,Federation of BiH,Both sexes,65.7
2000,Age,Federation of BiH,Both sexes,66.5
2001,Age,Federation of BiH,Both sexes,67.1
2002,Age,Federation of BiH,Both sexes,67.3
2003,Age,Federation of BiH,Both sexes,68.2
2004,Age,Federation of BiH,Both sexes,68.6
2005,Age,Federation of BiH,Both sexes,69.1
2006,Age,Federation of BiH,Both sexes,69.0
2007,Age,Federation of BiH,Both sexes,69.3
2008,Age,Federation of BiH,Both sexes,69.5
2009,Age,Federation of BiH,Both sexes,70.2
2010,Age,Federation of BiH,Both sexes,70.5
2011,Age,Federation of BiH,Both sexes,70.8
2012,Age,Federation of BiH,Both sexes,71.3
2013,Age,Federation of BiH,Both sexes,71.6
2014,Age,Federation of BiH,Both sexes,72.0
2015,Age,Federation of BiH,Both sexes,72.3
2016,Age,Federation of BiH,Both sexes,72.3
2017,Age,Federation of BiH,Both sexes,72.5
2018,Age,Federation of BiH,Both sexes,73.0
2019,Age,Federation of BiH,Both sexes,73.0
2008,Age,Federation of BiH,M,61.6
2009,Age,Federation of BiH,M,61.3
2010,Age,Federation of BiH,M,63.2
2011,Age,Federation of BiH,M,64.1
2012,Age,Federation of BiH,M,64.5
2013,Age,Federation of BiH,M,64.6
2014,Age,Federation of BiH,M,65.5
2015,Age,Federation of BiH,M,66.0
2016,Age,Federation of BiH,M,66.4
2017,Age,Federation of BiH,M,66.5
2018,Age,Federation of BiH,M,66.8
2019,Age,Federation of BiH,M,66.7
1961,Age,Federation of BiH,M,67.5
1971,Age,Federation of BiH,M,67.7
1981,Age,Federation of BiH,M,68.2
1991,Age,Federation of BiH,M,68.9
1996,Age,Federation of BiH,M,69.0
1997,Age,Federation of BiH,M,69.4
1998,Age,Federation of BiH,M,69.6
1999,Age,Federation of BiH,M,69.7
2000,Age,Federation of BiH,M,70.1
2001,Age,Federation of BiH,M,70.5
2002,Age,Federation of BiH,M,70.5
2008,Age,Federation of BiH,F,67.5
2009,Age,Federation of BiH,F,66.8
2010,Age,Federation of BiH,F,68.5
2011,Age,Federation of BiH,F,69.3
2012,Age,Federation of BiH,F,69.9
2013,Age,Federation of BiH,F,70.3
2014,Age,Federation of BiH,F,71.1
2015,Age,Federation of BiH,F,71.3
2016,Age,Federation of BiH,F,72.0
2017,Age,Federation of BiH,F,71.7
2018,Age,Federation of BiH,F,72.0
2019,Age,Federation of BiH,F,72.5
2003,Age,Federation of BiH,F,73.0
2004,Age,Federation of BiH,F,73.3
2005,Age,Federation of BiH,F,73.7
2006,Age,Federation of BiH,F,74.1
2007,Age,Federation of BiH,F,74.3
2008,Age,Federation of BiH,F,74.7
2009,Age,Federation of BiH,F,75.0
2010,Age,Federation of BiH,F,74.9
2011,Age,Federation of BiH,F,75.0
2012,Age,Federation of BiH,F,75.5
2013,Age,Federation of BiH,F,75.6
2010,Age,Republika Srpska,Both sexes,72.1
2011,Age,Republika Srpska,Both sexes,72.5
2012,Age,Republika Srpska,Both sexes,73.0
2013,Age,Republika Srpska,Both sexes,73.0
2014,Age,Republika Srpska,Both sexes,73.0
2015,Age,Republika Srpska,Both sexes,73.7
2016,Age,Republika Srpska,Both sexes,73.8
2017,Age,Republika Srpska,Both sexes,74.5
2018,Age,Republika Srpska,Both sexes,74.5
2019,Age,Republika Srpska,Both sexes,74.5
2009,Age,Republika Srpska,M,64.9
2011,Age,Republika Srpska,M,65.2
2012,Age,Republika Srpska,M,66.5
2013,Age,Republika Srpska,M,66.3
2014,Age,Republika Srpska,M,67.0
2015,Age,Republika Srpska,M,67.0
2016,Age,Republika Srpska,M,67.3
2017,Age,Republika Srpska,M,67.6
2018,Age,Republika Srpska,M,68.2
2019,Age,Republika Srpska,M,68.3
1961,Age,Republika Srpska,M,68.9
1971,Age,Republika Srpska,M,69.4
1981,Age,Republika Srpska,M,69.6
1991,Age,Republika Srpska,M,70.1
1996,Age,Republika Srpska,M,70.1
1997,Age,Republika Srpska,M,70.5
1998,Age,Republika Srpska,M,71.0
1999,Age,Republika Srpska,M,71.0
2000,Age,Republika Srpska,M,71.6
2001,Age,Republika Srpska,M,71.6
2002,Age,Republika Srpska,M,71.7
2009,Age,Republika Srpska,F,70.8
2011,Age,Republika Srpska,F,71.2
2012,Age,Republika Srpska,F,71.3
2013,Age,Republika Srpska,F,72.0
2014,Age,Republika Srpska,F,72.0
2015,Age,Republika Srpska,F,72.0
2016,Age,Republika Srpska,F,72.5
2017,Age,Republika Srpska,F,73.1
2018,Age,Republika Srpska,F,74.0
2019,Age,Republika Srpska,F,74.3
2003,Age,Republika Srpska,F,74.4
2004,Age,Republika Srpska,F,74.9
2005,Age,Republika Srpska,F,75.5
2006,Age,Republika Srpska,F,76.1
2007,Age,Republika Srpska,F,76.0
2008,Age,Republika Srpska,F,76.1
2009,Age,Republika Srpska,F,76.5
2010,Age,Republika Srpska,F,76.9
2011,Age,Republika Srpska,F,77.4
2012,Age,Republika Srpska,F,77.4
2013,Age,Republika Srpska,F,77.4
2004,Age,Brčko District of BiH,Both sexes,70.6
2005,Age,Brčko District of BiH,Both sexes,71.2
2006,Age,Brčko District of BiH,Both sexes,71.5
2007,Age,Brčko District of BiH,Both sexes,70.3
2008,Age,Brčko District of BiH,Both sexes,70.7
2009,Age,Brčko District of BiH,Both sexes,71.5
2010,Age,Brčko District of BiH,Both sexes,72.1
2011,Age,Brčko District of BiH,Both sexes,73.3
2012,Age,Brčko District of BiH,Both sexes,70.9
2013,Age,Brčko District of BiH,Both sexes,73.2
2014,Age,Brčko District of BiH,Both sexes,71.7
2015,Age,Brčko District of BiH,Both sexes,76.2
2016,Age,Brčko District of BiH,Both sexes,75.3
2017,Age,Brčko District of BiH,Both sexes,75.5
2018,Age,Brčko District of BiH,Both sexes,75.2
2019,Age,Brčko District of BiH,Both sexes,75.8
2015,Age,Brčko District of BiH,M,68.1
2016,Age,Brčko District of BiH,M,68.4
2017,Age,Brčko District of BiH,M,68.5
2018,Age,Brčko District of BiH,M,67.7
2019,Age,Brčko District of BiH,M,67.1
