Year,UNIT_MEASURE,school_year_end,Type_of_school,Sex,Value
2013,Number,2010/2011,_T,Both sexes,35349
2013,Number,2011/2012,_T,Both sexes,34791
2013,Number,2012/2013,_T,Both sexes,40630
2013,Number,2013/2014,_T,Both sexes,43991
2013,Number,2014/2015,_T,Both sexes,43318
2013,Number,2015/2016,_T,Both sexes,35897
2013,Number,2016/2017,_T,Both sexes,31761
2013,Number,2017/2018,_T,Both sexes,32963
2013,Number,2018/2019,_T,Both sexes,32540
2013,Number,2019/2020,_T,Both sexes,31140
2013,Number,2010/2011,gymnasium,Both sexes,8863
2013,Number,2011/2012,gymnasium,Both sexes,8101
2013,Number,2012/2013,gymnasium,Both sexes,9732
2013,Number,2013/2014,gymnasium,Both sexes,10855
2013,Number,2014/2015,gymnasium,Both sexes,11920
2013,Number,2015/2016,gymnasium,Both sexes,9210
2013,Number,2016/2017,gymnasium,Both sexes,7893
2013,Number,2017/2018,gymnasium,Both sexes,7799
2013,Number,2018/2019,gymnasium,Both sexes,7462
2013,Number,2019/2020,gymnasium,Both sexes,7010
2013,Number,2010/2011,technical_schools,Both sexes,17510
2013,Number,2011/2012,technical_schools,Both sexes,16553
2013,Number,2012/2013,technical_schools,Both sexes,19679
2013,Number,2013/2014,technical_schools,Both sexes,21299
2013,Number,2014/2015,technical_schools,Both sexes,21426
2013,Number,2015/2016,technical_schools,Both sexes,18617
2013,Number,2016/2017,technical_schools,Both sexes,15815
2013,Number,2017/2018,technical_schools,Both sexes,16988
2013,Number,2018/2019,technical_schools,Both sexes,17092
2013,Number,2019/2020,technical_schools,Both sexes,16116
2013,Number,2010/2011,art_schools,Both sexes,276
2013,Number,2011/2012,art_schools,Both sexes,293
2013,Number,2012/2013,art_schools,Both sexes,316
2013,Number,2013/2014,art_schools,Both sexes,318
2013,Number,2014/2015,art_schools,Both sexes,357
2013,Number,2015/2016,art_schools,Both sexes,288
2013,Number,2016/2017,art_schools,Both sexes,214
2013,Number,2017/2018,art_schools,Both sexes,302
2013,Number,2018/2019,art_schools,Both sexes,281
2013,Number,2019/2020,art_schools,Both sexes,241
2013,Number,2010/2011,religion_schools,Both sexes,447
2013,Number,2011/2012,religion_schools,Both sexes,356
