Year,Sex,UNIT_MEASURE,Value
2020,Both sexes,Number per 1000 population,8.6
2025,Both sexes,Number per 1000 population,8.0
2030,Both sexes,Number per 1000 population,7.4
2035,Both sexes,Number per 1000 population,6.9
2040,Both sexes,Number per 1000 population,6.7
2045,Both sexes,Number per 1000 population,6.5
2050,Both sexes,Number per 1000 population,6.4
2055,Both sexes,Number per 1000 population,6.4
2060,Both sexes,Number per 1000 population,6.3
2065,Both sexes,Number per 1000 population,6.2
2070,Both sexes,Number per 1000 population,6.2
2020,M,Number per 1000 population,9.06
2025,M,Number per 1000 population,8.49
2030,M,Number per 1000 population,7.92
2035,M,Number per 1000 population,7.47
2040,M,Number per 1000 population,7.29
2045,M,Number per 1000 population,7.22
2050,M,Number per 1000 population,7.19
2055,M,Number per 1000 population,7.16
2060,M,Number per 1000 population,7.11
2065,M,Number per 1000 population,7.08
2070,M,Number per 1000 population,7.12
2020,F,Number per 1000 population,8.16
2025,F,Number per 1000 population,7.5
2030,F,Number per 1000 population,6.86
2035,F,Number per 1000 population,6.35
2040,F,Number per 1000 population,6.1
2045,F,Number per 1000 population,5.94
2050,F,Number per 1000 population,5.81
2055,F,Number per 1000 population,5.69
2060,F,Number per 1000 population,5.56
2065,F,Number per 1000 population,5.45
2070,F,Number per 1000 population,5.41
