Year,UNIT_MEASURE,Sex,Administrative area,Value
2001,Number,M,BiH,98.0
2002,Number,M,BiH,77.0
2003,Number,M,BiH,91.0
2004,Number,M,BiH,94.0
2005,Number,M,BiH,85.0
2006,Number,M,BiH,83.0
2007,Number,M,BiH,98.0
2008,Number,M,BiH,102.0
2009,Number,M,BiH,80.0
2010,Number,M,BiH,83.0
2011,Number,M,BiH,57.0
2012,Number,M,BiH,64.0
2013,Number,M,BiH,45.0
2014,Number,M,BiH,45.0
2015,Number,M,BiH,56.0
2016,Number,M,BiH,54.0
2017,Number,M,BiH,51.0
2018,Number,M,BiH,49.0
2019,Number,M,BiH,40.0
2001,Number,F,BiH,95.0
2002,Number,F,BiH,61.0
2003,Number,F,BiH,59.0
2004,Number,F,BiH,74.0
2005,Number,F,BiH,62.0
2006,Number,F,BiH,54.0
2007,Number,F,BiH,76.0
2008,Number,F,BiH,69.0
2009,Number,F,BiH,56.0
2010,Number,F,BiH,60.0
2011,Number,F,BiH,61.0
2012,Number,F,BiH,56.0
2013,Number,F,BiH,57.0
2014,Number,F,BiH,32.0
2015,Number,F,BiH,58.0
2016,Number,F,BiH,56.0
2017,Number,F,BiH,52.0
2018,Number,F,BiH,39.0
2019,Number,F,BiH,42.0
1996,Number,Both sexes,BiH,271.0
1997,Number,Both sexes,BiH,240.0
1998,Number,Both sexes,BiH,202.0
1999,Number,Both sexes,BiH,224.0
2000,Number,Both sexes,BiH,159.0
2001,Number,Both sexes,BiH,193.0
2002,Number,Both sexes,BiH,138.0
2003,Number,Both sexes,BiH,150.0
2004,Number,Both sexes,BiH,168.0
2005,Number,Both sexes,BiH,147.0
2006,Number,Both sexes,BiH,137.0
2007,Number,Both sexes,BiH,174.0
2008,Number,Both sexes,BiH,171.0
2009,Number,Both sexes,BiH,136.0
2010,Number,Both sexes,BiH,143.0
2011,Number,Both sexes,BiH,118.0
2012,Number,Both sexes,BiH,120.0
2013,Number,Both sexes,BiH,102.0
2014,Number,Both sexes,BiH,77.0
2015,Number,Both sexes,BiH,114.0
2016,Number,Both sexes,BiH,110.0
2017,Number,Both sexes,BiH,103.0
2018,Number,Both sexes,BiH,88.0
2019,Number,Both sexes,BiH,82.0
1997,Number,M,FBiH,98.0
1998,Number,M,FBiH,76.0
1999,Number,M,FBiH,88.0
2000,Number,M,FBiH,59.0
2001,Number,M,FBiH,60.0
2002,Number,M,FBiH,60.0
2003,Number,M,FBiH,72.0
2004,Number,M,FBiH,70.0
2005,Number,M,FBiH,69.0
2006,Number,M,FBiH,62.0
2007,Number,M,FBiH,73.0
2008,Number,M,FBiH,79.0
2009,Number,M,FBiH,52.0
2010,Number,M,FBiH,55.0
2011,Number,M,FBiH,39.0
2012,Number,M,FBiH,36.0
2013,Number,M,FBiH,27.0
2014,Number,M,FBiH,32.0
2015,Number,M,FBiH,48.0
2016,Number,M,FBiH,54.0
2017,Number,M,FBiH,41.0
2018,Number,M,FBiH,37.0
2019,Number,M,FBiH,36.0
1997,Number,F,FBiH,69.0
1998,Number,F,FBiH,70.0
1999,Number,F,FBiH,66.0
2000,Number,F,FBiH,48.0
2001,Number,F,FBiH,56.0
2002,Number,F,FBiH,38.0
2003,Number,F,FBiH,37.0
2004,Number,F,FBiH,53.0
2005,Number,F,FBiH,41.0
2006,Number,F,FBiH,43.0
2007,Number,F,FBiH,57.0
2008,Number,F,FBiH,50.0
2009,Number,F,FBiH,38.0
2010,Number,F,FBiH,30.0
2011,Number,F,FBiH,37.0
2012,Number,F,FBiH,32.0
2013,Number,F,FBiH,33.0
2014,Number,F,FBiH,21.0
2015,Number,F,FBiH,49.0
2016,Number,F,FBiH,41.0
2017,Number,F,FBiH,43.0
2018,Number,F,FBiH,31.0
2019,Number,F,FBiH,33.0
1997,Number,Both sexes,FBiH,167.0
1998,Number,Both sexes,FBiH,146.0
1999,Number,Both sexes,FBiH,154.0
2000,Number,Both sexes,FBiH,107.0
2001,Number,Both sexes,FBiH,116.0
2002,Number,Both sexes,FBiH,98.0
2003,Number,Both sexes,FBiH,109.0
2004,Number,Both sexes,FBiH,123.0
2005,Number,Both sexes,FBiH,110.0
2006,Number,Both sexes,FBiH,105.0
2007,Number,Both sexes,FBiH,130.0
2008,Number,Both sexes,FBiH,129.0
2009,Number,Both sexes,FBiH,90.0
2010,Number,Both sexes,FBiH,85.0
2011,Number,Both sexes,FBiH,76.0
2012,Number,Both sexes,FBiH,68.0
2013,Number,Both sexes,FBiH,60.0
2014,Number,Both sexes,FBiH,53.0
2015,Number,Both sexes,FBiH,97.0
2016,Number,Both sexes,FBiH,95.0
2017,Number,Both sexes,FBiH,84.0
2018,Number,Both sexes,FBiH,68.0
2019,Number,Both sexes,FBiH,69.0
1997,Number,M,Republika Srpska,38.0
1998,Number,M,Republika Srpska,19.0
1999,Number,M,Republika Srpska,39.0
2000,Number,M,Republika Srpska,27.0
2001,Number,M,Republika Srpska,38.0
2002,Number,M,Republika Srpska,17.0
2003,Number,M,Republika Srpska,17.0
2004,Number,M,Republika Srpska,19.0
