Year,health_indicators,UNIT_MEASURE,Entity,Value
1997,number_of_new_cases_of_HIV,Number,BiH,5.0
1997,number_of_new_cases_of_HIV,Number,RS,5.0
1997,number_of_new_cases_of_HIV_per_100000_population,Number,RS,0.42
1998,number_of_new_cases_of_HIV,Number,BiH,19.0
1998,number_of_new_cases_of_HIV,Number,RS,19.0
1998,number_of_new_cases_of_HIV_per_100000_population,Number,RS,1.59
1999,number_of_new_cases_of_HIV,Number,BiH,6.0
1999,number_of_beds_in_hospitals,Number,BiH,5.47
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,Number,BiH,1.754
1999,number_of_general_practitioners,Number,BiH,352.0
1999,number_of_new_cases_of_HIV,Number,RS,6.0
1999,number_of_new_cases_of_HIV_per_100000_population,Number,RS,0.5
1999,number_of_beds_in_hospitals,Number,RS,5.47
1999,number_of_beds_in_hospitals_per_100000_population,Number,RS,457.0
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,Number,RS,1.754
1999,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Number,RS,147.0
1999,number_of_general_practitioners,Number,RS,352.0
1999,number_of_population_per_general_practitioner,Number,RS,3.401
2000,number_of_beds_in_hospitals,Number,BiH,4.697
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,Number,BiH,1.716
2000,number_of_general_practitioners,Number,BiH,341.0
2000,number_of_beds_in_hospitals,Number,RS,4.697
2000,number_of_beds_in_hospitals_per_100000_population,Number,RS,393.0
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,Number,RS,1.716
2000,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Number,RS,143.0
2000,number_of_general_practitioners,Number,RS,341.0
2000,number_of_population_per_general_practitioner,Number,RS,3.508
2001,number_of_new_cases_of_HIV,Number,BiH,5.0
2001,number_of_beds_in_hospitals,Number,BiH,4.565
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,Number,BiH,1.731
2001,number_of_general_practitioners,Number,BiH,324.0
2001,number_of_new_cases_of_HIV,Number,RS,5.0
2001,number_of_new_cases_of_HIV_per_100000_population,Number,RS,0.42
2001,number_of_beds_in_hospitals,Number,RS,4.565
2001,number_of_beds_in_hospitals_per_100000_population,Number,RS,382.0
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,Number,RS,1.731
2001,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Number,RS,145.0
2001,number_of_general_practitioners,Number,RS,324.0
2001,number_of_population_per_general_practitioner,Number,RS,3.689
2002,number_of_new_cases_of_syphilis,Number,BiH,10.0
2002,number_of_new_cases_of_AIDS_clinically_diagnosed,Number,BiH,3.0
2002,number_of_new_cases_of_HIV,Number,BiH,4.0
2002,number_of_beds_in_hospitals,Number,BiH,3.985
2002,number_of_medical_doctors_providing_health_care_in_public_institutions,Number,BiH,1.786
2002,number_of_general_practitioners,Number,BiH,313.0
2002,number_of_new_cases_of_syphilis,Number,FBiH,10.0
2002,number_of_new_cases_of_AIDS_clinically_diagnosed,Number,FBiH,3.0
2002,number_of_new_cases_of_HIV,Number,RS,4.0
2002,number_of_new_cases_of_HIV_per_100000_population,Number,RS,0.33
2002,number_of_beds_in_hospitals,Number,RS,3.985
