Year,UNIT_MEASURE,Type of dependency ratio,Sex,Value
1971,%,Total support ratio,Both sexes,65.4
1971,%,Total support ratio,M,67.9
1971,%,Total support ratio,F,63.0
1981,%,Total support ratio,Both sexes,52.3
1981,%,Total support ratio,M,53.0
1981,%,Total support ratio,F,51.6
1991,%,Total support ratio,Both sexes,48.3
1991,%,Total support ratio,M,46.8
1991,%,Total support ratio,F,49.7
2013,%,Total support ratio,Both sexes,42.1
2013,%,Total support ratio,M,39.2
2013,%,Total support ratio,F,44.9
1971,%,Young-age support ratio,Both sexes,57.0
1971,%,Young-age support ratio,M,60.2
1971,%,Young-age support ratio,F,53.9
1981,%,Young-age support ratio,Both sexes,42.5
1981,%,Young-age support ratio,M,44.5
1981,%,Young-age support ratio,F,40.6
1991,%,Young-age support ratio,Both sexes,35.6
1991,%,Young-age support ratio,M,36.6
1991,%,Young-age support ratio,F,34.6
2013,%,Young-age support ratio,Both sexes,21.9
2013,%,Young-age support ratio,M,22.4
2013,%,Young-age support ratio,F,21.3
1971,%,Old-age support ratio,Both sexes,8.4
1971,%,Old-age support ratio,M,7.7
1971,%,Old-age support ratio,F,9.1
1981,%,Old-age support ratio,Both sexes,9.8
1981,%,Old-age support ratio,M,8.5
1981,%,Old-age support ratio,F,11.0
1991,%,Old-age support ratio,Both sexes,12.7
1991,%,Old-age support ratio,M,10.1
1991,%,Old-age support ratio,F,15.2
2013,%,Old-age support ratio,Both sexes,20.2
2013,%,Old-age support ratio,M,16.8
2013,%,Old-age support ratio,F,23.6
1971,%,Older persons to youth ratio,Both sexes,14.8
1971,%,Older persons to youth ratio,M,12.8
1971,%,Older persons to youth ratio,F,16.9
1981,%,Older persons to youth ratio,Both sexes,23.1
1981,%,Older persons to youth ratio,M,19.2
1981,%,Older persons to youth ratio,F,27.2
1991,%,Older persons to youth ratio,Both sexes,35.6
1991,%,Older persons to youth ratio,M,27.7
1991,%,Older persons to youth ratio,F,43.8
2013,%,Older persons to youth ratio,Both sexes,92.3
2013,%,Older persons to youth ratio,M,75.0
2013,%,Older persons to youth ratio,F,110.6
