Year,UNIT_MEASURE,Municipality,Sex,AGE,Value
2013,Number,Sarajevo - Ilijaš,F,Total,10222
2013,Number,Istočna Ilidža,Both sexes,Total,14763
2013,Number,Istočna Ilidža,M,Total,7069
2013,Number,Istočna Ilidža,F,Total,7694
2013,Number,Istočni Drvar,Both sexes,Total,79
2013,Number,Istočni Drvar,M,Total,53
2013,Number,Istočni Drvar,F,Total,26
2013,Number,Istočni Mostar,Both sexes,Total,257
2013,Number,Istočni Mostar,M,Total,142
2013,Number,Istočni Mostar,F,Total,115
2013,Number,Istočni Stari Grad,Both sexes,Total,1131
2013,Number,Istočni Stari Grad,M,Total,560
2013,Number,Istočni Stari Grad,F,Total,571
2013,Number,Istočno Novo Sarajevo,Both sexes,Total,10642
2013,Number,Istočno Novo Sarajevo,M,Total,5058
2013,Number,Istočno Novo Sarajevo,F,Total,5584
2013,Number,Jablanica,Both sexes,Total,10111
2013,Number,Jablanica,M,Total,5027
2013,Number,Jablanica,F,Total,5084
2013,Number,Jajce,Both sexes,Total,27258
2013,Number,Jajce,M,Total,13856
2013,Number,Jajce,F,Total,13402
2013,Number,Jezero,Both sexes,Total,1144
2013,Number,Jezero,M,Total,601
2013,Number,Jezero,F,Total,543
2013,Number,Kakanj,Both sexes,Total,37441
2013,Number,Kakanj,M,Total,18651
2013,Number,Kakanj,F,Total,18790
2013,Number,Kalesija,Both sexes,Total,33053
2013,Number,Kalesija,M,Total,16597
2013,Number,Kalesija,F,Total,16456
2013,Number,Kalinovik,Both sexes,Total,2029
2013,Number,Kalinovik,M,Total,987
2013,Number,Kalinovik,F,Total,1042
2013,Number,Kiseljak,Both sexes,Total,20722
2013,Number,Kiseljak,M,Total,10285
2013,Number,Kiseljak,F,Total,10437
2013,Number,Kladanj,Both sexes,Total,12348
2013,Number,Kladanj,M,Total,6108
2013,Number,Kladanj,F,Total,6240
2013,Number,Ključ,Both sexes,Total,16744
2013,Number,Ključ,M,Total,8365
2013,Number,Ključ,F,Total,8379
2013,Number,Kneževo,Both sexes,Total,9793
2013,Number,Kneževo,M,Total,4892
2013,Number,Kneževo,F,Total,4901
2013,Number,Konjic,Both sexes,Total,25148
2013,Number,Konjic,M,Total,12360
2013,Number,Konjic,F,Total,12788
2013,Number,Kostajnica,Both sexes,Total,5977
2013,Number,Kostajnica,M,Total,2967
2013,Number,Kostajnica,F,Total,3010
2013,Number,Kotor Varoš,Both sexes,Total,19710
2013,Number,Kotor Varoš,M,Total,9818
2013,Number,Kotor Varoš,F,Total,9892
2013,Number,Kozarska Dubica,Both sexes,Total,21524
2013,Number,Kozarska Dubica,M,Total,10516
2013,Number,Kozarska Dubica,F,Total,11008
2013,Number,Kreševo,Both sexes,Total,5273
2013,Number,Kreševo,M,Total,2597
2013,Number,Kreševo,F,Total,2676
2013,Number,Krupa Na Uni,Both sexes,Total,1597
2013,Number,Krupa Na Uni,M,Total,862
2013,Number,Krupa Na Uni,F,Total,735
2013,Number,Kupres - FBiH,Both sexes,Total,5057
2013,Number,Kupres - FBiH,M,Total,2541
2013,Number,Kupres - FBiH,F,Total,2516
2013,Number,Kupres - RS,Both sexes,Total,300
2013,Number,Kupres - RS,M,Total,160
2013,Number,Kupres - RS,F,Total,140
2013,Number,Laktaši,Both sexes,Total,34966
2013,Number,Laktaši,M,Total,17320
2013,Number,Laktaši,F,Total,17646
2013,Number,Livno,Both sexes,Total,34133
2013,Number,Livno,M,Total,17024
2013,Number,Livno,F,Total,17109
2013,Number,Lopare,Both sexes,Total,15357
2013,Number,Lopare,M,Total,7749
2013,Number,Lopare,F,Total,7608
2013,Number,Lukavac,Both sexes,Total,44520
2013,Number,Lukavac,M,Total,21786
2013,Number,Lukavac,F,Total,22734
2013,Number,Ljubinje,Both sexes,Total,3511
2013,Number,Ljubinje,M,Total,1725
2013,Number,Ljubinje,F,Total,1786
2013,Number,Ljubuški,Both sexes,Total,28184
2013,Number,Ljubuški,M,Total,14022
2013,Number,Ljubuški,F,Total,14162
2013,Number,Maglaj,Both sexes,Total,23146
2013,Number,Maglaj,M,Total,11430
2013,Number,Maglaj,F,Total,11716
2013,Number,Milići,Both sexes,Total,11441
2013,Number,Milići,M,Total,5798
2013,Number,Milići,F,Total,5643
2013,Number,Modriča,Both sexes,Total,25720
2013,Number,Modriča,M,Total,12561
2013,Number,Modriča,F,Total,13159
2013,Number,Mostar,Both sexes,Total,105797
2013,Number,Mostar,M,Total,51210
2013,Number,Mostar,F,Total,54587
2013,Number,Mrkonjić Grad,Both sexes,Total,16671
2013,Number,Mrkonjić Grad,M,Total,8096
2013,Number,Mrkonjić Grad,F,Total,8575
2013,Number,Neum,Both sexes,Total,4653
2013,Number,Neum,M,Total,2344
2013,Number,Neum,F,Total,2309
2013,Number,Nevesinje,Both sexes,Total,12961
2013,Number,Nevesinje,M,Total,6462
2013,Number,Nevesinje,F,Total,6499
2013,Number,Novi Grad,Both sexes,Total,27115
2013,Number,Novi Grad,M,Total,13594
2013,Number,Novi Grad,F,Total,13521
2013,Number,Sarajevo - Novi Grad,Both sexes,Total,118553
2013,Number,Sarajevo - Novi Grad,M,Total,55735
2013,Number,Sarajevo - Novi Grad,F,Total,62818
2013,Number,Novi Travnik,Both sexes,Total,23832
2013,Number,Novi Travnik,M,Total,11862
2013,Number,Novi Travnik,F,Total,11970
2013,Number,Novo Goražde,Both sexes,Total,3117
2013,Number,Novo Goražde,M,Total,1618
2013,Number,Novo Goražde,F,Total,1499
2013,Number,Sarajevo - Novo Sarajevo,Both sexes,Total,64814
2013,Number,Sarajevo - Novo Sarajevo,M,Total,29580
2013,Number,Sarajevo - Novo Sarajevo,F,Total,35234
2013,Number,Odžak,Both sexes,Total,18821
2013,Number,Odžak,M,Total,9373
2013,Number,Odžak,F,Total,9448
2013,Number,Olovo,Both sexes,Total,10175
2013,Number,Olovo,M,Total,5084
2013,Number,Olovo,F,Total,5091
2013,Number,Orašje,Both sexes,Total,19861
2013,Number,Orašje,M,Total,10059
2013,Number,Orašje,F,Total,9802
2013,Number,Osmaci,Both sexes,Total,6016
2013,Number,Osmaci,M,Total,3065
2013,Number,Osmaci,F,Total,2951
2013,Number,Oštra Luka,Both sexes,Total,2786
2013,Number,Oštra Luka,M,Total,1440
2013,Number,Oštra Luka,F,Total,1346
2013,Number,Pale - FBiH,Both sexes,Total,904
2013,Number,Pale - FBiH,M,Total,456
2013,Number,Pale - FBiH,F,Total,448
2013,Number,Pale - RS,Both sexes,Total,20909
2013,Number,Pale - RS,M,Total,10038
2013,Number,Pale - RS,F,Total,10871
2013,Number,Pelagićevo,Both sexes,Total,5220
2013,Number,Pelagićevo,M,Total,2609
2013,Number,Pelagićevo,F,Total,2611
2013,Number,Petrovac,Both sexes,Total,361
2013,Number,Petrovac,M,Total,172
2013,Number,Petrovac,F,Total,189
2013,Number,Petrovo,Both sexes,Total,6474
2013,Number,Petrovo,M,Total,3124
2013,Number,Petrovo,F,Total,3350
2013,Number,Posušje,Both sexes,Total,20477
2013,Number,Posušje,M,Total,10287
2013,Number,Posušje,F,Total,10190
2013,Number,Prijedor,Both sexes,Total,89397
2013,Number,Prijedor,M,Total,43863
2013,Number,Prijedor,F,Total,45534
2013,Number,Prnjavor,Both sexes,Total,35956
2013,Number,Prnjavor,M,Total,17572
2013,Number,Prnjavor,F,Total,18384
2013,Number,Prozor,Both sexes,Total,14280
2013,Number,Prozor,M,Total,7210
2013,Number,Prozor,F,Total,7070
2013,Number,Ravno,Both sexes,Total,3219
2013,Number,Ravno,M,Total,1657
2013,Number,Ravno,F,Total,1562
2013,Number,Ribnik,Both sexes,Total,6048
2013,Number,Ribnik,M,Total,3009
2013,Number,Ribnik,F,Total,3039
2013,Number,Rogatica,Both sexes,Total,10723
2013,Number,Rogatica,M,Total,5270
2013,Number,Rogatica,F,Total,5453
2013,Number,Rudo,Both sexes,Total,7963
2013,Number,Rudo,M,Total,4050
2013,Number,Rudo,F,Total,3913
2013,Number,Sanski Most,Both sexes,Total,41475
2013,Number,Sanski Most,M,Total,20826
2013,Number,Sanski Most,F,Total,20649
2013,Number,Sapna,Both sexes,Total,11178
2013,Number,Sapna,M,Total,5739
2013,Number,Sapna,F,Total,5439
2013,Number,Sokolac,Both sexes,Total,12021
2013,Number,Sokolac,M,Total,5919
2013,Number,Sokolac,F,Total,6102
2013,Number,Srbac,Both sexes,Total,17587
2013,Number,Srbac,M,Total,8623
2013,Number,Srbac,F,Total,8964
2013,Number,Srebrenica,Both sexes,Total,13409
2013,Number,Srebrenica,M,Total,6602
2013,Number,Srebrenica,F,Total,6807
2013,Number,Srebrenik,Both sexes,Total,39678
2013,Number,Srebrenik,M,Total,19348
2013,Number,Srebrenik,F,Total,20330
2013,Number,Sarajevo - Stari Grad,Both sexes,Total,36976
2013,Number,Sarajevo - Stari Grad,M,Total,17482
2013,Number,Sarajevo - Stari Grad,F,Total,19494
2013,Number,Stolac,Both sexes,Total,14502
2013,Number,Stolac,M,Total,7326
2013,Number,Stolac,F,Total,7176
2013,Number,Šamac,Both sexes,Total,17273
2013,Number,Šamac,M,Total,8385
2013,Number,Šamac,F,Total,8888
2013,Number,Šekovići,Both sexes,Total,6761
2013,Number,Šekovići,M,Total,3360
2013,Number,Šekovići,F,Total,3401
2013,Number,Šipovo,Both sexes,Total,10293
2013,Number,Šipovo,M,Total,5221
2013,Number,Šipovo,F,Total,5072
2013,Number,Široki Brijeg,Both sexes,Total,28929
2013,Number,Široki Brijeg,M,Total,14381
2013,Number,Široki Brijeg,F,Total,14548
2013,Number,Teočak,Both sexes,Total,7424
2013,Number,Teočak,M,Total,3767
2013,Number,Teočak,F,Total,3657
2013,Number,Teslić,Both sexes,Total,38536
2013,Number,Teslić,M,Total,18679
2013,Number,Teslić,F,Total,19857
2013,Number,Tešanj,Both sexes,Total,43063
2013,Number,Tešanj,M,Total,21376
2013,Number,Tešanj,F,Total,21687
2013,Number,Tomislavgrad,Both sexes,Total,31592
2013,Number,Tomislavgrad,M,Total,16055
2013,Number,Tomislavgrad,F,Total,15537
2013,Number,Travnik,Both sexes,Total,53482
2013,Number,Travnik,M,Total,26574
2013,Number,Travnik,F,Total,26908
2013,Number,Trebinje,Both sexes,Total,29198
2013,Number,Trebinje,M,Total,14251
2013,Number,Trebinje,F,Total,14947
2013,Number,Trnovo - FBiH,Both sexes,Total,1502
2013,Number,Trnovo - FBiH,M,Total,735
2013,Number,Trnovo - FBiH,F,Total,767
2013,Number,Trnovo - RS,Both sexes,Total,2050
2013,Number,Trnovo - RS,M,Total,989
2013,Number,Trnovo - RS,F,Total,1061
2013,Number,Tuzla,Both sexes,Total,110979
2013,Number,Tuzla,M,Total,52745
2013,Number,Tuzla,F,Total,58234
2013,Number,Ugljevik,Both sexes,Total,15710
2013,Number,Ugljevik,M,Total,7937
2013,Number,Ugljevik,F,Total,7773
2013,Number,Usora,Both sexes,Total,6603
2013,Number,Usora,M,Total,3266
2013,Number,Usora,F,Total,3337
2013,Number,Vareš,Both sexes,Total,8892
2013,Number,Vareš,M,Total,4373
2013,Number,Vareš,F,Total,4519
2013,Number,Velika Kladuša,Both sexes,Total,40419
2013,Number,Velika Kladuša,M,Total,19889
2013,Number,Velika Kladuša,F,Total,20530
2013,Number,Visoko,Both sexes,Total,39938
2013,Number,Visoko,M,Total,19705
2013,Number,Visoko,F,Total,20233
2013,Number,Višegrad,Both sexes,Total,10668
2013,Number,Višegrad,M,Total,5106
2013,Number,Višegrad,F,Total,5562
2013,Number,Vitez,Both sexes,Total,25836
2013,Number,Vitez,M,Total,12767
2013,Number,Vitez,F,Total,13069
2013,Number,Vlasenica,Both sexes,Total,11467
2013,Number,Vlasenica,M,Total,5638
2013,Number,Vlasenica,F,Total,5829
2013,Number,Sarajevo - Vogošća,Both sexes,Total,26343
2013,Number,Sarajevo - Vogošća,M,Total,12606
2013,Number,Sarajevo - Vogošća,F,Total,13737
2013,Number,Vukosavlje,Both sexes,Total,4667
2013,Number,Vukosavlje,M,Total,2340
2013,Number,Vukosavlje,F,Total,2327
2013,Number,Zavidovići,Both sexes,Total,35988
2013,Number,Zavidovići,M,Total,17883
2013,Number,Zavidovići,F,Total,18105
2013,Number,Zenica,Both sexes,Total,110663
2013,Number,Zenica,M,Total,54660
2013,Number,Zenica,F,Total,56003
2013,Number,Zvornik,Both sexes,Total,58856
2013,Number,Zvornik,M,Total,29270
2013,Number,Zvornik,F,Total,29586
2013,Number,Žepče,Both sexes,Total,30219
2013,Number,Žepče,M,Total,15335
2013,Number,Žepče,F,Total,14884
2013,Number,Živinice,Both sexes,Total,57765
2013,Number,Živinice,M,Total,28714
2013,Number,Živinice,F,Total,29051
2013,Number,Banja Luka,Both sexes,0-4,9610
2013,Number,Banja Luka,M,0-4,4898
2013,Number,Banja Luka,F,0-4,4712
2013,Number,Banovići,Both sexes,0-4,1206
2013,Number,Banovići,M,0-4,614
2013,Number,Banovići,F,0-4,592
2013,Number,Berkovići,Both sexes,0-4,93
2013,Number,Berkovići,M,0-4,45
2013,Number,Berkovići,F,0-4,48
2013,Number,Bihać,Both sexes,0-4,2652
2013,Number,Bihać,M,0-4,1361
2013,Number,Bihać,F,0-4,1291
2013,Number,Bijeljina,Both sexes,0-4,5080
2013,Number,Bijeljina,M,0-4,2637
2013,Number,Bijeljina,F,0-4,2443
2013,Number,Bileća,Both sexes,0-4,487
2013,Number,Bileća,M,0-4,255
2013,Number,Bileća,F,0-4,232
2013,Number,Bosanska Krupa,Both sexes,0-4,1423
2013,Number,Bosanska Krupa,M,0-4,735
2013,Number,Bosanska Krupa,F,0-4,688
2013,Number,Bosanski Petrovac,Both sexes,0-4,249
2013,Number,Bosanski Petrovac,M,0-4,126
2013,Number,Bosanski Petrovac,F,0-4,123
2013,Number,Bosansko Grahovo,Both sexes,0-4,69
2013,Number,Bosansko Grahovo,M,0-4,39
2013,Number,Bosansko Grahovo,F,0-4,30
2013,Number,Bratunac,Both sexes,0-4,948
2013,Number,Bratunac,M,0-4,509
2013,Number,Bratunac,F,0-4,439
2013,Number,Brčko,Both sexes,0-4,4165
2013,Number,Brčko,M,0-4,2178
2013,Number,Brčko,F,0-4,1987
2013,Number,Breza,Both sexes,0-4,698
2013,Number,Breza,M,0-4,348
2013,Number,Breza,F,0-4,350
2013,Number,Brod,Both sexes,0-4,771
2013,Number,Brod,M,0-4,402
2013,Number,Brod,F,0-4,369
2013,Number,Bugojno,Both sexes,0-4,1484
2013,Number,Bugojno,M,0-4,786
2013,Number,Bugojno,F,0-4,698
2013,Number,Busovača,Both sexes,0-4,961
2013,Number,Busovača,M,0-4,494
2013,Number,Busovača,F,0-4,467
2013,Number,Bužim,Both sexes,0-4,1405
2013,Number,Bužim,M,0-4,732
2013,Number,Bužim,F,0-4,673
2013,Number,Cazin,Both sexes,0-4,3940
2013,Number,Cazin,M,0-4,2050
2013,Number,Cazin,F,0-4,1890
2013,Number,Sarajevo - Centar,Both sexes,0-4,2588
2013,Number,Sarajevo - Centar,M,0-4,1308
2013,Number,Sarajevo - Centar,F,0-4,1280
2013,Number,Čajniče,Both sexes,0-4,185
2013,Number,Čajniče,M,0-4,85
2013,Number,Čajniče,F,0-4,100
2013,Number,Čapljina,Both sexes,0-4,1233
2013,Number,Čapljina,M,0-4,628
2013,Number,Čapljina,F,0-4,605
2013,Number,Čelić,Both sexes,0-4,475
2013,Number,Čelić,M,0-4,229
2013,Number,Čelić,F,0-4,246
2013,Number,Čelinac,Both sexes,0-4,769
2013,Number,Čelinac,M,0-4,399
2013,Number,Čelinac,F,0-4,370
2013,Number,Čitluk,Both sexes,0-4,1002
2013,Number,Čitluk,M,0-4,480
2013,Number,Čitluk,F,0-4,522
2013,Number,Derventa,Both sexes,0-4,1170
2013,Number,Derventa,M,0-4,580
2013,Number,Derventa,F,0-4,590
2013,Number,Doboj,Both sexes,0-4,3330
2013,Number,Doboj,M,0-4,1695
2013,Number,Doboj,F,0-4,1635
2013,Number,Doboj-Istok,Both sexes,0-4,541
2013,Number,Doboj-Istok,M,0-4,292
2013,Number,Doboj-Istok,F,0-4,249
2013,Number,Doboj-Jug,Both sexes,0-4,235
2013,Number,Doboj-Jug,M,0-4,120
2013,Number,Doboj-Jug,F,0-4,115
2013,Number,Dobretići,Both sexes,0-4,30
2013,Number,Dobretići,M,0-4,18
2013,Number,Dobretići,F,0-4,12
2013,Number,Domaljevac-Šamac,Both sexes,0-4,163
2013,Number,Domaljevac-Šamac,M,0-4,89
2013,Number,Domaljevac-Šamac,F,0-4,74
2013,Number,Donji Vakuf,Both sexes,0-4,680
2013,Number,Donji Vakuf,M,0-4,338
2013,Number,Donji Vakuf,F,0-4,342
2013,Number,Donji Žabar,Both sexes,0-4,145
2013,Number,Donji Žabar,M,0-4,70
2013,Number,Donji Žabar,F,0-4,75
2013,Number,Drvar,Both sexes,0-4,210
2013,Number,Drvar,M,0-4,106
2013,Number,Drvar,F,0-4,104
2013,Number,Foča - FBiH,Both sexes,0-4,85
2013,Number,Foča - FBiH,M,0-4,50
2013,Number,Foča - FBiH,F,0-4,35
2013,Number,Foča - RS,Both sexes,0-4,644
2013,Number,Foča - RS,M,0-4,367
2013,Number,Foča - RS,F,0-4,277
2013,Number,Fojnica,Both sexes,0-4,557
2013,Number,Fojnica,M,0-4,294
2013,Number,Fojnica,F,0-4,263
2013,Number,Gacko,Both sexes,0-4,419
2013,Number,Gacko,M,0-4,206
2013,Number,Gacko,F,0-4,213
2013,Number,Glamoč,Both sexes,0-4,145
2013,Number,Glamoč,M,0-4,77
2013,Number,Glamoč,F,0-4,68
2013,Number,Goražde,Both sexes,0-4,978
2013,Number,Goražde,M,0-4,513
2013,Number,Goražde,F,0-4,465
2013,Number,Gornji Vakuf-Uskoplje,Both sexes,0-4,1072
2013,Number,Gornji Vakuf-Uskoplje,M,0-4,559
2013,Number,Gornji Vakuf-Uskoplje,F,0-4,513
2013,Number,Gračanica,Both sexes,0-4,2600
2013,Number,Gračanica,M,0-4,1276
2013,Number,Gračanica,F,0-4,1324
2013,Number,Gradačac,Both sexes,0-4,2100
2013,Number,Gradačac,M,0-4,1060
2013,Number,Gradačac,F,0-4,1040
2013,Number,Gradiška,Both sexes,0-4,2092
2013,Number,Gradiška,M,0-4,1044
2013,Number,Gradiška,F,0-4,1048
2013,Number,Grude,Both sexes,0-4,805
2013,Number,Grude,M,0-4,409
2013,Number,Grude,F,0-4,396
2013,Number,Sarajevo - Hadžići,Both sexes,0-4,1380
2013,Number,Sarajevo - Hadžići,M,0-4,682
2013,Number,Sarajevo - Hadžići,F,0-4,698
2013,Number,Han Pijesak,Both sexes,0-4,134
2013,Number,Han Pijesak,M,0-4,72
2013,Number,Han Pijesak,F,0-4,62
2013,Number,Sarajevo - Ilidža,Both sexes,0-4,3915
2013,Number,Sarajevo - Ilidža,M,0-4,2013
2013,Number,Sarajevo - Ilidža,F,0-4,1902
2013,Number,Sarajevo - Ilijaš,Both sexes,0-4,1085
2013,Number,Sarajevo - Ilijaš,M,0-4,556
2013,Number,Sarajevo - Ilijaš,F,0-4,529
2013,Number,Istočna Ilidža,Both sexes,0-4,649
2013,Number,Istočna Ilidža,M,0-4,342
2013,Number,Istočna Ilidža,F,0-4,307
2013,Number,Istočni Drvar,Both sexes,0-4,-
2013,Number,Istočni Drvar,M,0-4,-
2013,Number,Istočni Drvar,F,0-4,-
2013,Number,Istočni Mostar,Both sexes,0-4,7
2013,Number,Istočni Mostar,M,0-4,4
2013,Number,Istočni Mostar,F,0-4,3
2013,Number,Istočni Stari Grad,Both sexes,0-4,40
2013,Number,Istočni Stari Grad,M,0-4,23
2013,Number,Istočni Stari Grad,F,0-4,17
2013,Number,Istočno Novo Sarajevo,Both sexes,0-4,625
2013,Number,Istočno Novo Sarajevo,M,0-4,300
2013,Number,Istočno Novo Sarajevo,F,0-4,325
2013,Number,Jablanica,Both sexes,0-4,440
2013,Number,Jablanica,M,0-4,231
2013,Number,Jablanica,F,0-4,209
2013,Number,Jajce,Both sexes,0-4,1311
2013,Number,Jajce,M,0-4,672
2013,Number,Jajce,F,0-4,639
2013,Number,Jezero,Both sexes,0-4,44
2013,Number,Jezero,M,0-4,22
2013,Number,Jezero,F,0-4,22
2013,Number,Kakanj,Both sexes,0-4,2102
2013,Number,Kakanj,M,0-4,1130
2013,Number,Kakanj,F,0-4,972
2013,Number,Kalesija,Both sexes,0-4,1841
2013,Number,Kalesija,M,0-4,936
2013,Number,Kalesija,F,0-4,905
2013,Number,Kalinovik,Both sexes,0-4,52
2013,Number,Kalinovik,M,0-4,25
2013,Number,Kalinovik,F,0-4,27
2013,Number,Kiseljak,Both sexes,0-4,1082
2013,Number,Kiseljak,M,0-4,531
2013,Number,Kiseljak,F,0-4,551
2013,Number,Kladanj,Both sexes,0-4,606
2013,Number,Kladanj,M,0-4,336
2013,Number,Kladanj,F,0-4,270
2013,Number,Ključ,Both sexes,0-4,699
2013,Number,Ključ,M,0-4,342
2013,Number,Ključ,F,0-4,357
2013,Number,Kneževo,Both sexes,0-4,406
2013,Number,Kneževo,M,0-4,213
2013,Number,Kneževo,F,0-4,193
2013,Number,Konjic,Both sexes,0-4,1046
2013,Number,Konjic,M,0-4,516
2013,Number,Konjic,F,0-4,530
2013,Number,Kostajnica,Both sexes,0-4,222
2013,Number,Kostajnica,M,0-4,103
2013,Number,Kostajnica,F,0-4,119
2013,Number,Kotor Varoš,Both sexes,0-4,922
2013,Number,Kotor Varoš,M,0-4,478
