Year,UNIT_MEASURE,Sex,AGE,Value
2013,Number,Both sexes,All,89794.0
2013,Number,M,All,12237.0
2013,Number,F,All,77557.0
2013,Number,Both sexes, 10-14,579.0
2013,Number,M, 10-14,318.0
2013,Number,F, 10-14,261.0
2013,Number,Both sexes, 15-19,763.0
2013,Number,M, 15-19,408.0
2013,Number,F, 15-19,355.0
2013,Number,Both sexes, 20-24,825.0
2013,Number,M, 20-24,419.0
2013,Number,F, 20-24,406.0
2013,Number,Both sexes, 25-29,1025.0
2013,Number,M, 25-29,539.0
2013,Number,F, 25-29,486.0
2013,Number,Both sexes, 30-34,1082.0
2013,Number,M, 30-34,551.0
2013,Number,F, 30-34,531.0
2013,Number,Both sexes, 35-39,1032.0
2013,Number,M, 35-39,525.0
2013,Number,F, 35-39,507.0
2013,Number,Both sexes,40-44,1143.0
2013,Number,M,40-44,519.0
2013,Number,F,40-44,624.0
2013,Number,Both sexes, 45-49,1533.0
2013,Number,M, 45-49,632.0
2013,Number,F, 45-49,901.0
2013,Number,Both sexes, 50-54,2532.0
2013,Number,M, 50-54,679.0
2013,Number,F, 50-54,1853.0
2013,Number,Both sexes, 55-59,4132.0
2013,Number,M, 55-59,764.0
2013,Number,F, 55-59,3368.0
2013,Number,Both sexes, 60-64,6736.0
2013,Number,M, 60-64,771.0
2013,Number,F, 60-64,5965.0
2013,Number,Both sexes, 65-69,9306.0
2013,Number,M, 65-69,863.0
2013,Number,F, 65-69,8443.0
2013,Number,Both sexes, 70-74,16476.0
2013,Number,M, 70-74,1311.0
2013,Number,F, 70-74,15165.0
2013,Number,Both sexes, 75+,42630.0
2013,Number,M, 75+,3938.0
2013,Number,F, 75+,38692.0
