Year,UNIT_MEASURE,Sex,AGE,Municipality,Value
2013,Number,F,Total,Sarajevo - Ilijaš,10222
2013,Number,Both sexes,Total,Istočna Ilidža,14763
2013,Number,M,Total,Istočna Ilidža,7069
2013,Number,F,Total,Istočna Ilidža,7694
2013,Number,Both sexes,Total,Istočni Drvar,79
2013,Number,M,Total,Istočni Drvar,53
2013,Number,F,Total,Istočni Drvar,26
2013,Number,Both sexes,Total,Istočni Mostar,257
2013,Number,M,Total,Istočni Mostar,142
2013,Number,F,Total,Istočni Mostar,115
2013,Number,Both sexes,Total,Istočni Stari Grad,1131
2013,Number,M,Total,Istočni Stari Grad,560
2013,Number,F,Total,Istočni Stari Grad,571
2013,Number,Both sexes,Total,Istočno Novo Sarajevo,10642
2013,Number,M,Total,Istočno Novo Sarajevo,5058
2013,Number,F,Total,Istočno Novo Sarajevo,5584
2013,Number,Both sexes,Total,Jablanica,10111
2013,Number,M,Total,Jablanica,5027
2013,Number,F,Total,Jablanica,5084
2013,Number,Both sexes,Total,Jajce,27258
2013,Number,M,Total,Jajce,13856
2013,Number,F,Total,Jajce,13402
2013,Number,Both sexes,Total,Jezero,1144
2013,Number,M,Total,Jezero,601
2013,Number,F,Total,Jezero,543
2013,Number,Both sexes,Total,Kakanj,37441
2013,Number,M,Total,Kakanj,18651
2013,Number,F,Total,Kakanj,18790
2013,Number,Both sexes,Total,Kalesija,33053
2013,Number,M,Total,Kalesija,16597
2013,Number,F,Total,Kalesija,16456
2013,Number,Both sexes,Total,Kalinovik,2029
2013,Number,M,Total,Kalinovik,987
2013,Number,F,Total,Kalinovik,1042
2013,Number,Both sexes,Total,Kiseljak,20722
2013,Number,M,Total,Kiseljak,10285
2013,Number,F,Total,Kiseljak,10437
2013,Number,Both sexes,Total,Kladanj,12348
2013,Number,M,Total,Kladanj,6108
2013,Number,F,Total,Kladanj,6240
2013,Number,Both sexes,Total,Ključ,16744
2013,Number,M,Total,Ključ,8365
2013,Number,F,Total,Ključ,8379
2013,Number,Both sexes,Total,Kneževo,9793
2013,Number,M,Total,Kneževo,4892
2013,Number,F,Total,Kneževo,4901
2013,Number,Both sexes,Total,Konjic,25148
2013,Number,M,Total,Konjic,12360
2013,Number,F,Total,Konjic,12788
2013,Number,Both sexes,Total,Kostajnica,5977
2013,Number,M,Total,Kostajnica,2967
2013,Number,F,Total,Kostajnica,3010
2013,Number,Both sexes,Total,Kotor Varoš,19710
2013,Number,M,Total,Kotor Varoš,9818
2013,Number,F,Total,Kotor Varoš,9892
2013,Number,Both sexes,Total,Kozarska Dubica,21524
2013,Number,M,Total,Kozarska Dubica,10516
2013,Number,F,Total,Kozarska Dubica,11008
2013,Number,Both sexes,Total,Kreševo,5273
2013,Number,M,Total,Kreševo,2597
2013,Number,F,Total,Kreševo,2676
2013,Number,Both sexes,Total,Krupa Na Uni,1597
2013,Number,M,Total,Krupa Na Uni,862
2013,Number,F,Total,Krupa Na Uni,735
2013,Number,Both sexes,Total,Kupres - FBIH,5057
2013,Number,M,Total,Kupres - FBIH,2541
2013,Number,F,Total,Kupres - FBIH,2516
2013,Number,Both sexes,Total,Kupres - RS,300
2013,Number,M,Total,Kupres - RS,160
2013,Number,F,Total,Kupres - RS,140
2013,Number,Both sexes,Total,Laktaši,34966
2013,Number,M,Total,Laktaši,17320
2013,Number,F,Total,Laktaši,17646
2013,Number,Both sexes,Total,Livno,34133
2013,Number,M,Total,Livno,17024
2013,Number,F,Total,Livno,17109
2013,Number,Both sexes,Total,Lopare,15357
2013,Number,M,Total,Lopare,7749
2013,Number,F,Total,Lopare,7608
2013,Number,Both sexes,Total,Lukavac,44520
2013,Number,M,Total,Lukavac,21786
2013,Number,F,Total,Lukavac,22734
2013,Number,Both sexes,Total,Ljubinje,3511
2013,Number,M,Total,Ljubinje,1725
2013,Number,F,Total,Ljubinje,1786
2013,Number,Both sexes,Total,Ljubuški,28184
2013,Number,M,Total,Ljubuški,14022
2013,Number,F,Total,Ljubuški,14162
2013,Number,Both sexes,Total,Maglaj,23146
2013,Number,M,Total,Maglaj,11430
2013,Number,F,Total,Maglaj,11716
2013,Number,Both sexes,Total,Milići,11441
2013,Number,M,Total,Milići,5798
2013,Number,F,Total,Milići,5643
2013,Number,Both sexes,Total,Modriča,25720
2013,Number,M,Total,Modriča,12561
2013,Number,F,Total,Modriča,13159
2013,Number,Both sexes,Total,Mostar,105797
2013,Number,M,Total,Mostar,51210
2013,Number,F,Total,Mostar,54587
2013,Number,Both sexes,Total,Mrkonjić Grad,16671
2013,Number,M,Total,Mrkonjić Grad,8096
2013,Number,F,Total,Mrkonjić Grad,8575
2013,Number,Both sexes,Total,Neum,4653
2013,Number,M,Total,Neum,2344
2013,Number,F,Total,Neum,2309
2013,Number,Both sexes,Total,Nevesinje,12961
2013,Number,M,Total,Nevesinje,6462
2013,Number,F,Total,Nevesinje,6499
2013,Number,Both sexes,Total,Novi Grad,27115
2013,Number,M,Total,Novi Grad,13594
2013,Number,F,Total,Novi Grad,13521
2013,Number,Both sexes,Total,Sarajevo - Novi Grad,118553
2013,Number,M,Total,Sarajevo - Novi Grad,55735
2013,Number,F,Total,Sarajevo - Novi Grad,62818
2013,Number,Both sexes,Total,Novi Travnik,23832
2013,Number,M,Total,Novi Travnik,11862
2013,Number,F,Total,Novi Travnik,11970
2013,Number,Both sexes,Total,Novo Goražde,3117
2013,Number,M,Total,Novo Goražde,1618
2013,Number,F,Total,Novo Goražde,1499
2013,Number,Both sexes,Total,Sarajevo - Novo Sarajevo,64814
2013,Number,M,Total,Sarajevo - Novo Sarajevo,29580
2013,Number,F,Total,Sarajevo - Novo Sarajevo,35234
2013,Number,Both sexes,Total,Odžak,18821
2013,Number,M,Total,Odžak,9373
2013,Number,F,Total,Odžak,9448
2013,Number,Both sexes,Total,Olovo,10175
2013,Number,M,Total,Olovo,5084
2013,Number,F,Total,Olovo,5091
2013,Number,Both sexes,Total,Orašje,19861
2013,Number,M,Total,Orašje,10059
2013,Number,F,Total,Orašje,9802
2013,Number,Both sexes,Total,Osmaci,6016
2013,Number,M,Total,Osmaci,3065
2013,Number,F,Total,Osmaci,2951
2013,Number,Both sexes,Total,Oštra Luka,2786
2013,Number,M,Total,Oštra Luka,1440
2013,Number,F,Total,Oštra Luka,1346
2013,Number,Both sexes,Total,Pale - FBIH,904
2013,Number,M,Total,Pale - FBIH,456
2013,Number,F,Total,Pale - FBIH,448
2013,Number,Both sexes,Total,Pale - RS,20909
2013,Number,M,Total,Pale - RS,10038
2013,Number,F,Total,Pale - RS,10871
2013,Number,Both sexes,Total,Pelagićevo,5220
2013,Number,M,Total,Pelagićevo,2609
2013,Number,F,Total,Pelagićevo,2611
2013,Number,Both sexes,Total,Petrovac,361
2013,Number,M,Total,Petrovac,172
2013,Number,F,Total,Petrovac,189
2013,Number,Both sexes,Total,Petrovo,6474
2013,Number,M,Total,Petrovo,3124
2013,Number,F,Total,Petrovo,3350
2013,Number,Both sexes,Total,Posušje,20477
2013,Number,M,Total,Posušje,10287
2013,Number,F,Total,Posušje,10190
2013,Number,Both sexes,Total,Prijedor,89397
2013,Number,M,Total,Prijedor,43863
2013,Number,F,Total,Prijedor,45534
2013,Number,Both sexes,Total,Prnjavor,35956
2013,Number,M,Total,Prnjavor,17572
2013,Number,F,Total,Prnjavor,18384
2013,Number,Both sexes,Total,Prozor,14280
2013,Number,M,Total,Prozor,7210
2013,Number,F,Total,Prozor,7070
2013,Number,Both sexes,Total,Ravno,3219
2013,Number,M,Total,Ravno,1657
2013,Number,F,Total,Ravno,1562
2013,Number,Both sexes,Total,Ribnik,6048
2013,Number,M,Total,Ribnik,3009
2013,Number,F,Total,Ribnik,3039
2013,Number,Both sexes,Total,Rogatica,10723
2013,Number,M,Total,Rogatica,5270
2013,Number,F,Total,Rogatica,5453
2013,Number,Both sexes,Total,Rudo,7963
2013,Number,M,Total,Rudo,4050
2013,Number,F,Total,Rudo,3913
2013,Number,Both sexes,Total,Sanski Most,41475
2013,Number,M,Total,Sanski Most,20826
2013,Number,F,Total,Sanski Most,20649
2013,Number,Both sexes,Total,Sapna,11178
2013,Number,M,Total,Sapna,5739
2013,Number,F,Total,Sapna,5439
2013,Number,Both sexes,Total,Sokolac,12021
2013,Number,M,Total,Sokolac,5919
2013,Number,F,Total,Sokolac,6102
2013,Number,Both sexes,Total,Srbac,17587
2013,Number,M,Total,Srbac,8623
2013,Number,F,Total,Srbac,8964
2013,Number,Both sexes,Total,Srebrenica,13409
2013,Number,M,Total,Srebrenica,6602
2013,Number,F,Total,Srebrenica,6807
2013,Number,Both sexes,Total,Srebrenik,39678
2013,Number,M,Total,Srebrenik,19348
2013,Number,F,Total,Srebrenik,20330
2013,Number,Both sexes,Total,Sarajevo - Stari Grad,36976
2013,Number,M,Total,Sarajevo - Stari Grad,17482
2013,Number,F,Total,Sarajevo - Stari Grad,19494
2013,Number,Both sexes,Total,Stolac,14502
2013,Number,M,Total,Stolac,7326
2013,Number,F,Total,Stolac,7176
2013,Number,Both sexes,Total,Šamac,17273
2013,Number,M,Total,Šamac,8385
2013,Number,F,Total,Šamac,8888
2013,Number,Both sexes,Total,Šekovići,6761
2013,Number,M,Total,Šekovići,3360
2013,Number,F,Total,Šekovići,3401
2013,Number,Both sexes,Total,Šipovo,10293
2013,Number,M,Total,Šipovo,5221
2013,Number,F,Total,Šipovo,5072
2013,Number,Both sexes,Total,Široki Brijeg,28929
2013,Number,M,Total,Široki Brijeg,14381
2013,Number,F,Total,Široki Brijeg,14548
2013,Number,Both sexes,Total,Teočak,7424
2013,Number,M,Total,Teočak,3767
2013,Number,F,Total,Teočak,3657
2013,Number,Both sexes,Total,Teslić,38536
2013,Number,M,Total,Teslić,18679
2013,Number,F,Total,Teslić,19857
2013,Number,Both sexes,Total,Tešanj,43063
2013,Number,M,Total,Tešanj,21376
2013,Number,F,Total,Tešanj,21687
2013,Number,Both sexes,Total,Tomislavgrad,31592
2013,Number,M,Total,Tomislavgrad,16055
2013,Number,F,Total,Tomislavgrad,15537
2013,Number,Both sexes,Total,Travnik,53482
2013,Number,M,Total,Travnik,26574
2013,Number,F,Total,Travnik,26908
2013,Number,Both sexes,Total,Trebinje,29198
2013,Number,M,Total,Trebinje,14251
2013,Number,F,Total,Trebinje,14947
2013,Number,Both sexes,Total,Trnovo - FBIH,1502
2013,Number,M,Total,Trnovo - FBIH,735
2013,Number,F,Total,Trnovo - FBIH,767
2013,Number,Both sexes,Total,Trnovo - RS,2050
2013,Number,M,Total,Trnovo - RS,989
2013,Number,F,Total,Trnovo - RS,1061
2013,Number,Both sexes,Total,Tuzla,110979
2013,Number,M,Total,Tuzla,52745
2013,Number,F,Total,Tuzla,58234
2013,Number,Both sexes,Total,Ugljevik,15710
2013,Number,M,Total,Ugljevik,7937
2013,Number,F,Total,Ugljevik,7773
2013,Number,Both sexes,Total,Usora,6603
2013,Number,M,Total,Usora,3266
2013,Number,F,Total,Usora,3337
2013,Number,Both sexes,Total,Vareš,8892
2013,Number,M,Total,Vareš,4373
2013,Number,F,Total,Vareš,4519
2013,Number,Both sexes,Total,Velika Kladuša,40419
2013,Number,M,Total,Velika Kladuša,19889
2013,Number,F,Total,Velika Kladuša,20530
2013,Number,Both sexes,Total,Visoko,39938
2013,Number,M,Total,Visoko,19705
2013,Number,F,Total,Visoko,20233
2013,Number,Both sexes,Total,Višegrad,10668
2013,Number,M,Total,Višegrad,5106
2013,Number,F,Total,Višegrad,5562
2013,Number,Both sexes,Total,Vitez,25836
2013,Number,M,Total,Vitez,12767
2013,Number,F,Total,Vitez,13069
2013,Number,Both sexes,Total,Vlasenica,11467
2013,Number,M,Total,Vlasenica,5638
2013,Number,F,Total,Vlasenica,5829
2013,Number,Both sexes,Total,Sarajevo - Vogošća,26343
2013,Number,M,Total,Sarajevo - Vogošća,12606
2013,Number,F,Total,Sarajevo - Vogošća,13737
2013,Number,Both sexes,Total,Vukosavlje,4667
2013,Number,M,Total,Vukosavlje,2340
2013,Number,F,Total,Vukosavlje,2327
2013,Number,Both sexes,Total,Zavidovići,35988
2013,Number,M,Total,Zavidovići,17883
2013,Number,F,Total,Zavidovići,18105
2013,Number,Both sexes,Total,Zenica,110663
2013,Number,M,Total,Zenica,54660
2013,Number,F,Total,Zenica,56003
2013,Number,Both sexes,Total,Zvornik,58856
2013,Number,M,Total,Zvornik,29270
2013,Number,F,Total,Zvornik,29586
2013,Number,Both sexes,Total,Žepče,30219
2013,Number,M,Total,Žepče,15335
2013,Number,F,Total,Žepče,14884
2013,Number,Both sexes,Total,Živinice,57765
2013,Number,M,Total,Živinice,28714
2013,Number,F,Total,Živinice,29051
2013,Number,Both sexes,0-4,Banja Luka,9610
2013,Number,M,0-4,Banja Luka,4898
2013,Number,F,0-4,Banja Luka,4712
2013,Number,Both sexes,0-4,Banovići,1206
2013,Number,M,0-4,Banovići,614
2013,Number,F,0-4,Banovići,592
2013,Number,Both sexes,0-4,Berkovići,93
2013,Number,M,0-4,Berkovići,45
2013,Number,F,0-4,Berkovići,48
2013,Number,Both sexes,0-4,Bihać,2652
2013,Number,M,0-4,Bihać,1361
2013,Number,F,0-4,Bihać,1291
2013,Number,Both sexes,0-4,Bijeljina,5080
2013,Number,M,0-4,Bijeljina,2637
2013,Number,F,0-4,Bijeljina,2443
2013,Number,Both sexes,0-4,Bileća,487
2013,Number,M,0-4,Bileća,255
2013,Number,F,0-4,Bileća,232
2013,Number,Both sexes,0-4,Bosanska Krupa,1423
2013,Number,M,0-4,Bosanska Krupa,735
2013,Number,F,0-4,Bosanska Krupa,688
2013,Number,Both sexes,0-4,Bosanski Petrovac,249
2013,Number,M,0-4,Bosanski Petrovac,126
2013,Number,F,0-4,Bosanski Petrovac,123
2013,Number,Both sexes,0-4,Bosansko Grahovo,69
2013,Number,M,0-4,Bosansko Grahovo,39
2013,Number,F,0-4,Bosansko Grahovo,30
2013,Number,Both sexes,0-4,Bratunac,948
2013,Number,M,0-4,Bratunac,509
2013,Number,F,0-4,Bratunac,439
2013,Number,Both sexes,0-4,Brčko,4165
2013,Number,M,0-4,Brčko,2178
2013,Number,F,0-4,Brčko,1987
2013,Number,Both sexes,0-4,Breza,698
2013,Number,M,0-4,Breza,348
2013,Number,F,0-4,Breza,350
2013,Number,Both sexes,0-4,Brod,771
2013,Number,M,0-4,Brod,402
2013,Number,F,0-4,Brod,369
2013,Number,Both sexes,0-4,Bugojno,1484
2013,Number,M,0-4,Bugojno,786
2013,Number,F,0-4,Bugojno,698
2013,Number,Both sexes,0-4,Busovača,961
2013,Number,M,0-4,Busovača,494
2013,Number,F,0-4,Busovača,467
2013,Number,Both sexes,0-4,Bužim,1405
2013,Number,M,0-4,Bužim,732
2013,Number,F,0-4,Bužim,673
2013,Number,Both sexes,0-4,Cazin,3940
2013,Number,M,0-4,Cazin,2050
2013,Number,F,0-4,Cazin,1890
2013,Number,Both sexes,0-4,Sarajevo - Centar,2588
2013,Number,M,0-4,Sarajevo - Centar,1308
2013,Number,F,0-4,Sarajevo - Centar,1280
2013,Number,Both sexes,0-4,Čajniče,185
2013,Number,M,0-4,Čajniče,85
2013,Number,F,0-4,Čajniče,100
2013,Number,Both sexes,0-4,Čapljina,1233
2013,Number,M,0-4,Čapljina,628
2013,Number,F,0-4,Čapljina,605
2013,Number,Both sexes,0-4,Čelić,475
2013,Number,M,0-4,Čelić,229
2013,Number,F,0-4,Čelić,246
2013,Number,Both sexes,0-4,Čelinac,769
2013,Number,M,0-4,Čelinac,399
2013,Number,F,0-4,Čelinac,370
2013,Number,Both sexes,0-4,Čitluk,1002
2013,Number,M,0-4,Čitluk,480
2013,Number,F,0-4,Čitluk,522
2013,Number,Both sexes,0-4,Derventa,1170
2013,Number,M,0-4,Derventa,580
2013,Number,F,0-4,Derventa,590
2013,Number,Both sexes,0-4,Doboj,3330
2013,Number,M,0-4,Doboj,1695
2013,Number,F,0-4,Doboj,1635
2013,Number,Both sexes,0-4,Doboj-Istok,541
2013,Number,M,0-4,Doboj-Istok,292
2013,Number,F,0-4,Doboj-Istok,249
2013,Number,Both sexes,0-4,Doboj-Jug,235
2013,Number,M,0-4,Doboj-Jug,120
2013,Number,F,0-4,Doboj-Jug,115
2013,Number,Both sexes,0-4,Dobretići,30
2013,Number,M,0-4,Dobretići,18
2013,Number,F,0-4,Dobretići,12
2013,Number,Both sexes,0-4,Domaljevac-Šamac,163
2013,Number,M,0-4,Domaljevac-Šamac,89
2013,Number,F,0-4,Domaljevac-Šamac,74
2013,Number,Both sexes,0-4,Donji Vakuf,680
2013,Number,M,0-4,Donji Vakuf,338
2013,Number,F,0-4,Donji Vakuf,342
2013,Number,Both sexes,0-4,Donji Žabar,145
2013,Number,M,0-4,Donji Žabar,70
2013,Number,F,0-4,Donji Žabar,75
2013,Number,Both sexes,0-4,Drvar,210
2013,Number,M,0-4,Drvar,106
2013,Number,F,0-4,Drvar,104
2013,Number,Both sexes,0-4,Foča - FBIH,85
2013,Number,M,0-4,Foča - FBIH,50
2013,Number,F,0-4,Foča - FBIH,35
2013,Number,Both sexes,0-4,Foča - RS,644
2013,Number,M,0-4,Foča - RS,367
2013,Number,F,0-4,Foča - RS,277
2013,Number,Both sexes,0-4,Fojnica,557
2013,Number,M,0-4,Fojnica,294
2013,Number,F,0-4,Fojnica,263
2013,Number,Both sexes,0-4,Gacko,419
2013,Number,M,0-4,Gacko,206
2013,Number,F,0-4,Gacko,213
2013,Number,Both sexes,0-4,Glamoč,145
2013,Number,M,0-4,Glamoč,77
2013,Number,F,0-4,Glamoč,68
2013,Number,Both sexes,0-4,Goražde,978
2013,Number,M,0-4,Goražde,513
2013,Number,F,0-4,Goražde,465
2013,Number,Both sexes,0-4,Gornji Vakuf-Uskoplje,1072
2013,Number,M,0-4,Gornji Vakuf-Uskoplje,559
2013,Number,F,0-4,Gornji Vakuf-Uskoplje,513
2013,Number,Both sexes,0-4,Gračanica,2600
2013,Number,M,0-4,Gračanica,1276
2013,Number,F,0-4,Gračanica,1324
2013,Number,Both sexes,0-4,Gradačac,2100
2013,Number,M,0-4,Gradačac,1060
2013,Number,F,0-4,Gradačac,1040
2013,Number,Both sexes,0-4,Gradiška,2092
2013,Number,M,0-4,Gradiška,1044
2013,Number,F,0-4,Gradiška,1048
2013,Number,Both sexes,0-4,Grude,805
2013,Number,M,0-4,Grude,409
2013,Number,F,0-4,Grude,396
2013,Number,Both sexes,0-4,Sarajevo - Hadžići,1380
2013,Number,M,0-4,Sarajevo - Hadžići,682
2013,Number,F,0-4,Sarajevo - Hadžići,698
2013,Number,Both sexes,0-4,Han Pijesak,134
2013,Number,M,0-4,Han Pijesak,72
2013,Number,F,0-4,Han Pijesak,62
2013,Number,Both sexes,0-4,Sarajevo - Ilidža,3915
2013,Number,M,0-4,Sarajevo - Ilidža,2013
2013,Number,F,0-4,Sarajevo - Ilidža,1902
2013,Number,Both sexes,0-4,Sarajevo - Ilijaš,1085
2013,Number,M,0-4,Sarajevo - Ilijaš,556
2013,Number,F,0-4,Sarajevo - Ilijaš,529
2013,Number,Both sexes,0-4,Istočna Ilidža,649
2013,Number,M,0-4,Istočna Ilidža,342
2013,Number,F,0-4,Istočna Ilidža,307
2013,Number,Both sexes,0-4,Istočni Mostar,7
2013,Number,M,0-4,Istočni Mostar,4
2013,Number,F,0-4,Istočni Mostar,3
2013,Number,Both sexes,0-4,Istočni Stari Grad,40
2013,Number,M,0-4,Istočni Stari Grad,23
2013,Number,F,0-4,Istočni Stari Grad,17
2013,Number,Both sexes,0-4,Istočno Novo Sarajevo,625
2013,Number,M,0-4,Istočno Novo Sarajevo,300
2013,Number,F,0-4,Istočno Novo Sarajevo,325
2013,Number,Both sexes,0-4,Jablanica,440
2013,Number,M,0-4,Jablanica,231
2013,Number,F,0-4,Jablanica,209
2013,Number,Both sexes,0-4,Jajce,1311
2013,Number,M,0-4,Jajce,672
2013,Number,F,0-4,Jajce,639
2013,Number,Both sexes,0-4,Jezero,44
2013,Number,M,0-4,Jezero,22
2013,Number,F,0-4,Jezero,22
2013,Number,Both sexes,0-4,Kakanj,2102
2013,Number,M,0-4,Kakanj,1130
2013,Number,F,0-4,Kakanj,972
2013,Number,Both sexes,0-4,Kalesija,1841
2013,Number,M,0-4,Kalesija,936
2013,Number,F,0-4,Kalesija,905
2013,Number,Both sexes,0-4,Kalinovik,52
2013,Number,M,0-4,Kalinovik,25
2013,Number,F,0-4,Kalinovik,27
2013,Number,Both sexes,0-4,Kiseljak,1082
2013,Number,M,0-4,Kiseljak,531
2013,Number,F,0-4,Kiseljak,551
2013,Number,Both sexes,0-4,Kladanj,606
2013,Number,M,0-4,Kladanj,336
2013,Number,F,0-4,Kladanj,270
2013,Number,Both sexes,0-4,Ključ,699
2013,Number,M,0-4,Ključ,342
2013,Number,F,0-4,Ključ,357
2013,Number,Both sexes,0-4,Kneževo,406
2013,Number,M,0-4,Kneževo,213
2013,Number,F,0-4,Kneževo,193
2013,Number,Both sexes,0-4,Konjic,1046
2013,Number,M,0-4,Konjic,516
2013,Number,F,0-4,Konjic,530
2013,Number,Both sexes,0-4,Kostajnica,222
2013,Number,M,0-4,Kostajnica,103
2013,Number,F,0-4,Kostajnica,119
2013,Number,Both sexes,0-4,Kotor Varoš,922
2013,Number,M,0-4,Kotor Varoš,478
2013,Number,F,0-4,Kotor Varoš,444
2013,Number,Both sexes,0-4,Kozarska Dubica,800
2013,Number,M,0-4,Kozarska Dubica,408
