Year,Sex,UNIT_MEASURE,Value
2020,Both sexes,_%,10.94
2025,Both sexes,_%,11.93
2030,Both sexes,_%,13.09
2035,Both sexes,_%,14.47
2040,Both sexes,_%,16.01
2045,Both sexes,_%,17.51
2050,Both sexes,_%,18.78
2055,Both sexes,_%,19.84
2060,Both sexes,_%,20.73
2065,Both sexes,_%,21.51
2070,Both sexes,_%,22.2
2020,M,_%,9.06
2025,M,_%,8.49
2030,M,_%,7.92
2035,M,_%,7.47
2040,M,_%,7.29
2045,M,_%,7.22
2050,M,_%,7.19
2055,M,_%,7.16
2060,M,_%,7.11
2065,M,_%,7.08
2070,M,_%,7.12
2020,F,_%,8.16
2025,F,_%,7.5
2030,F,_%,6.86
2035,F,_%,6.35
2040,F,_%,6.1
2045,F,_%,5.94
2050,F,_%,5.81
2055,F,_%,5.69
2060,F,_%,5.56
2065,F,_%,5.45
2070,F,_%,5.41
