Year,UNIT_MEASURE,AGE,Fertility rate,Value
1996,Number,All,Total fertility rate,1.647
1997,Number,All,Total fertility rate,1.685
1998,Number,All,Total fertility rate,1.558
1999,Number,All,Total fertility rate,1.362
2000,Number,All,Total fertility rate,1.279
2001,Number,All,Total fertility rate,1.227
2002,Number,All,Total fertility rate,1.228
2003,Number,All,Total fertility rate,1.216
2004,Number,All,Total fertility rate,1.218
2005,Number,All,Total fertility rate,1.2
2006,Number,All,Total fertility rate,1.177
2007,Number,All,Total fertility rate,1.259
2008,Number,All,Total fertility rate,1.285
2009,Number,All,Total fertility rate,1.303
2010,Number,All,Total fertility rate,1.267
2011,Number,All,Total fertility rate,1.206
2012,Number,All,Total fertility rate,1.349
2013,Number,All,Total fertility rate,1.276
2014,Number,All,Total fertility rate,1.259
2015,Number,All,Total fertility rate,1.242
2016,Number,All,Total fertility rate,1.259
2017,Number,All,Total fertility rate,1.26
2018,Number,All,Total fertility rate,1.253
2019,Number,All,Total fertility rate,1.204
1996,Number,0-15,Age specific fertility rates,0.1
1997,Number,0-15,Age specific fertility rates,0.1
1998,Number,0-15,Age specific fertility rates,0.0
1999,Number,0-15,Age specific fertility rates,0.0
2000,Number,0-15,Age specific fertility rates,0.0
2001,Number,0-15,Age specific fertility rates,0.0
2002,Number,0-15,Age specific fertility rates,0.0
2003,Number,0-15,Age specific fertility rates,0.0
2004,Number,0-15,Age specific fertility rates,0.0
2005,Number,0-15,Age specific fertility rates,0.0
2006,Number,0-15,Age specific fertility rates,0.0
2007,Number,0-15,Age specific fertility rates,0.0
2008,Number,0-15,Age specific fertility rates,0.1
2009,Number,0-15,Age specific fertility rates,0.1
2010,Number,0-15,Age specific fertility rates,0.1
2011,Number,0-15,Age specific fertility rates,0.1
2012,Number,0-15,Age specific fertility rates,0.0
2013,Number,0-15,Age specific fertility rates,0.0
2014,Number,0-15,Age specific fertility rates,0.0
2015,Number,0-15,Age specific fertility rates,0.0
2016,Number,0-15,Age specific fertility rates,0.0
2017,Number,0-15,Age specific fertility rates,0.1
2018,Number,0-15,Age specific fertility rates,0.1
2019,Number,0-15,Age specific fertility rates,0.0
1996,Number,15-19,Age specific fertility rates,30.7
1997,Number,15-19,Age specific fertility rates,36.1
1998,Number,15-19,Age specific fertility rates,26.2
1999,Number,15-19,Age specific fertility rates,19.9
2000,Number,15-19,Age specific fertility rates,16.6
2001,Number,15-19,Age specific fertility rates,17.4
2002,Number,15-19,Age specific fertility rates,18.7
2003,Number,15-19,Age specific fertility rates,17.4
2004,Number,15-19,Age specific fertility rates,17.2
2005,Number,15-19,Age specific fertility rates,16.5
2006,Number,15-19,Age specific fertility rates,16.4
2007,Number,15-19,Age specific fertility rates,15.2
2008,Number,15-19,Age specific fertility rates,15.8
2009,Number,15-19,Age specific fertility rates,14.8
2010,Number,15-19,Age specific fertility rates,13.5
2011,Number,15-19,Age specific fertility rates,12.2
2012,Number,15-19,Age specific fertility rates,12.3
2013,Number,15-19,Age specific fertility rates,11.0
2014,Number,15-19,Age specific fertility rates,10.7
2015,Number,15-19,Age specific fertility rates,10.5
2016,Number,15-19,Age specific fertility rates,11.0
2017,Number,15-19,Age specific fertility rates,9.2
2018,Number,15-19,Age specific fertility rates,9.5
2019,Number,15-19,Age specific fertility rates,9.0
1996,Number,20-24,Age specific fertility rates,107.6
1997,Number,20-24,Age specific fertility rates,122.5
1998,Number,20-24,Age specific fertility rates,113.4
1999,Number,20-24,Age specific fertility rates,96.8
2000,Number,20-24,Age specific fertility rates,89.6
2001,Number,20-24,Age specific fertility rates,87.1
2002,Number,20-24,Age specific fertility rates,83.1
2003,Number,20-24,Age specific fertility rates,81.5
2004,Number,20-24,Age specific fertility rates,81.1
2005,Number,20-24,Age specific fertility rates,77.1
2006,Number,20-24,Age specific fertility rates,73.4
2007,Number,20-24,Age specific fertility rates,68.9
2008,Number,20-24,Age specific fertility rates,66.7
2009,Number,20-24,Age specific fertility rates,64.5
2010,Number,20-24,Age specific fertility rates,59.1
2011,Number,20-24,Age specific fertility rates,54.0
2012,Number,20-24,Age specific fertility rates,59.0
2013,Number,20-24,Age specific fertility rates,52.2
2014,Number,20-24,Age specific fertility rates,48.6
2015,Number,20-24,Age specific fertility rates,46.8
2016,Number,20-24,Age specific fertility rates,55.6
2017,Number,20-24,Age specific fertility rates,53.9
2018,Number,20-24,Age specific fertility rates,51.8
2019,Number,20-24,Age specific fertility rates,50.3
1996,Number,25-29,Age specific fertility rates,96.9
1997,Number,25-29,Age specific fertility rates,93.1
1998,Number,25-29,Age specific fertility rates,91.1
1999,Number,25-29,Age specific fertility rates,84.9
2000,Number,25-29,Age specific fertility rates,82.7
2001,Number,25-29,Age specific fertility rates,79.2
2002,Number,25-29,Age specific fertility rates,76.1
2003,Number,25-29,Age specific fertility rates,75.7
2004,Number,25-29,Age specific fertility rates,76.6
2005,Number,25-29,Age specific fertility rates,77.4
2006,Number,25-29,Age specific fertility rates,76.1
2007,Number,25-29,Age specific fertility rates,83.4
