Year,DIVORCES,UNIT_MEASURE,Entity,Value
divorce_rate_(per_1,000_marriages),NUMBER,BiH,88.2
divorce_rate_(per_1,000_marriages),NUMBER,BiH,93.3
divorce_rate_(per_1,000_marriages),NUMBER,BiH,56.3
divorce_rate_(per_1,000_marriages),NUMBER,BiH,0.0
divorce_rate_(per_1,000_marriages),NUMBER,BiH,79.02670112
divorce_rate_(per_1,000_marriages),NUMBER,BiH,87.68640057
divorce_rate_(per_1,000_marriages),NUMBER,BiH,88.77714489
divorce_rate_(per_1,000_marriages),NUMBER,BiH,88.09425949
divorce_rate_(per_1,000_marriages),NUMBER,BiH,104.7187469
divorce_rate_(per_1,000_marriages),NUMBER,BiH,112.9112414
divorce_rate_(per_1,000_marriages),NUMBER,BiH,92.50952588
divorce_rate_(per_1,000_marriages),NUMBER,BiH,68.443286
divorce_rate_(per_1,000_marriages),NUMBER,BiH,81.25172827
divorce_rate_(per_1,000_marriages),NUMBER,BiH,77.1592019
divorce_rate_(per_1,000_marriages),NUMBER,BiH,77.72197157
divorce_rate_(per_1,000_marriages),NUMBER,BiH,61.80307887
divorce_rate_(per_1,000_marriages),NUMBER,BiH,67.94940144
divorce_rate_(per_1,000_marriages),NUMBER,BiH,85.76838442
divorce_rate_(per_1,000_marriages),NUMBER,BiH,120.5366465
divorce_rate_(per_1,000_marriages),NUMBER,BiH,125.8020291
divorce_rate_(per_1,000_marriages),NUMBER,BiH,148.0451682
divorce_rate_(per_1,000_marriages),NUMBER,BiH,144.0755243
divorce_rate_(per_1,000_marriages),NUMBER,BiH,150.513055
divorce_rate_(per_1,000_marriages),NUMBER,BiH,143.9397872
divorce_rate_(per_1,000_marriages),NUMBER,BiH,151.3345686
divorce_rate_(per_1,000_marriages),NUMBER,BiH,155.2408217
divorce_rate_(per_1,000_marriages),NUMBER,BiH,147.2140144
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,25.7282875
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,68.36436087
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,77.94383754
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,84.07420371
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,84.92874622
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,100.7994984
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,110.4818062
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,89.60464051
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,62.57758306
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,70.92511013
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,71.70304334
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,69.62452728
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,62.91501777
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,58.88807608
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,76.53218355
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,96.98943522
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,97.51243781
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,119.8488709
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,110.2487064
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,115.7878508
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,112.9788898
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,132.7535786
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,139.5758365
divorce_rate_(per_1,000_marriages),NUMBER,FBIH,136.3932822
divorce_rate_(per_1,000_marriages),NUMBER,RS,95.07911163
divorce_rate_(per_1,000_marriages),NUMBER,RS,102.1430559
divorce_rate_(per_1,000_marriages),NUMBER,RS,93.50057013
divorce_rate_(per_1,000_marriages),NUMBER,RS,92.64590421
divorce_rate_(per_1,000_marriages),NUMBER,RS,115.6149882
divorce_rate_(per_1,000_marriages),NUMBER,RS,117.2404258
divorce_rate_(per_1,000_marriages),NUMBER,RS,109.9128379
divorce_rate_(per_1,000_marriages),NUMBER,RS,89.17821644
divorce_rate_(per_1,000_marriages),NUMBER,RS,105.8737151
divorce_rate_(per_1,000_marriages),NUMBER,RS,76.67638484
divorce_rate_(per_1,000_marriages),NUMBER,RS,84.026505
divorce_rate_(per_1,000_marriages),NUMBER,RS,49.52351195
divorce_rate_(per_1,000_marriages),NUMBER,RS,74.21301582
divorce_rate_(per_1,000_marriages),NUMBER,RS,89.64799723
divorce_rate_(per_1,000_marriages),NUMBER,RS,152.7059635
divorce_rate_(per_1,000_marriages),NUMBER,RS,164.851671
divorce_rate_(per_1,000_marriages),NUMBER,RS,192.427291
divorce_rate_(per_1,000_marriages),NUMBER,RS,189.9364589
divorce_rate_(per_1,000_marriages),NUMBER,RS,193.8931298
divorce_rate_(per_1,000_marriages),NUMBER,RS,184.2531008
divorce_rate_(per_1,000_marriages),NUMBER,RS,165.4350017
divorce_rate_(per_1,000_marriages),NUMBER,RS,161.4146832
divorce_rate_(per_1,000_marriages),NUMBER,RS,158.0212985
divorce_rate_(per_1,000_marriages),NUMBER,BD,90.0621118
divorce_rate_(per_1,000_marriages),NUMBER,BD,122.1374046
divorce_rate_(per_1,000_marriages),NUMBER,BD,122.7621483
divorce_rate_(per_1,000_marriages),NUMBER,BD,127.0553064
divorce_rate_(per_1,000_marriages),NUMBER,BD,135.2154532
divorce_rate_(per_1,000_marriages),NUMBER,BD,132.0224719
divorce_rate_(per_1,000_marriages),NUMBER,BD,120.5882353
divorce_rate_(per_1,000_marriages),NUMBER,BD,207.4626866
divorce_rate_(per_1,000_marriages),NUMBER,BD,249.1909385
divorce_rate_(per_1,000_marriages),NUMBER,BD,324.6329527
divorce_rate_(per_1,000_marriages),NUMBER,BD,335.7041252
divorce_rate_(per_1,000_marriages),NUMBER,BD,307.073955
divorce_rate_(per_1,000_marriages),NUMBER,BD,378.5822021
divorce_rate_(per_1,000_marriages),NUMBER,BD,464.1791045
divorce_rate_(per_1,000_marriages),NUMBER,BD,442.5727412
divorce_rate_(per_1,000_marriages),NUMBER,BD,410.8635097
divorce_rate_(per_1,000_marriages),NUMBER,BD,471.5189873
divorce_rate_(per_1,000_marriages),NUMBER,BD,312.1869783
number_of_divorces,NUMBER,BiH,1835,
number_of_divorces,NUMBER,BiH,1964,
number_of_divorces,NUMBER,BiH,1995,
number_of_divorces,NUMBER,BiH,1929,
number_of_divorces,NUMBER,BiH,2126,
number_of_divorces,NUMBER,BiH,2272,
number_of_divorces,NUMBER,BiH,1918,
number_of_divorces,NUMBER,BiH,1523,
number_of_divorces,NUMBER,BiH,1763,
number_of_divorces,NUMBER,BiH,1659,
number_of_divorces,NUMBER,BiH,1826,
number_of_divorces,NUMBER,BiH,1369,
number_of_divorces,NUMBER,BiH,1402,
number_of_divorces,NUMBER,BiH,1676,
number_of_divorces,NUMBER,BiH,2309,
number_of_divorces,NUMBER,BiH,2294,
number_of_divorces,NUMBER,BiH,2609,
number_of_divorces,NUMBER,BiH,2686,
number_of_divorces,NUMBER,BiH,2963,
number_of_divorces,NUMBER,BiH,2773,
number_of_divorces,NUMBER,BiH,3022,
number_of_divorces,NUMBER,BiH,3091,
number_of_divorces,NUMBER,BiH,2790,
number_of_divorces,NUMBER,FBIH,378,
number_of_divorces,NUMBER,FBIH,1098,
number_of_divorces,NUMBER,FBIH,1163,
number_of_divorces,NUMBER,FBIH,1201,
number_of_divorces,NUMBER,FBIH,1180,
number_of_divorces,NUMBER,FBIH,1286,
number_of_divorces,NUMBER,FBIH,1424,
number_of_divorces,NUMBER,FBIH,1174,
number_of_divorces,NUMBER,FBIH,857,
number_of_divorces,NUMBER,FBIH,966,
number_of_divorces,NUMBER,FBIH,933,
number_of_divorces,NUMBER,FBIH,1031,
number_of_divorces,NUMBER,FBIH,938,
number_of_divorces,NUMBER,FBIH,805,
number_of_divorces,NUMBER,FBIH,994,
number_of_divorces,NUMBER,FBIH,1221,
number_of_divorces,NUMBER,FBIH,1176,
number_of_divorces,NUMBER,FBIH,1364,
number_of_divorces,NUMBER,FBIH,1321,
number_of_divorces,NUMBER,FBIH,1502,
number_of_divorces,NUMBER,FBIH,1445,
number_of_divorces,NUMBER,FBIH,1725,
number_of_divorces,NUMBER,FBIH,1823,
number_of_divorces,NUMBER,FBIH,1673,
number_of_divorces,NUMBER,RS,655,
number_of_divorces,NUMBER,RS,734,
number_of_divorces,NUMBER,RS,738,
number_of_divorces,NUMBER,RS,708,
number_of_divorces,NUMBER,RS,830,
number_of_divorces,NUMBER,RS,848,
number_of_divorces,NUMBER,RS,744,
number_of_divorces,NUMBER,RS,637,
number_of_divorces,NUMBER,RS,721,
number_of_divorces,NUMBER,RS,526,
number_of_divorces,NUMBER,RS,596,
number_of_divorces,NUMBER,RS,317,
number_of_divorces,NUMBER,RS,455,
number_of_divorces,NUMBER,RS,517,
number_of_divorces,NUMBER,RS,886,
number_of_divorces,NUMBER,RS,878,
number_of_divorces,NUMBER,RS,1052,
number_of_divorces,NUMBER,RS,1106,
number_of_divorces,NUMBER,RS,1143,
number_of_divorces,NUMBER,RS,1025,
number_of_divorces,NUMBER,RS,985,
number_of_divorces,NUMBER,RS,963,
number_of_divorces,NUMBER,RS,920,
number_of_divorces,NUMBER,BD,58,
number_of_divorces,NUMBER,BD,80,
number_of_divorces,NUMBER,BD,96,
number_of_divorces,NUMBER,BD,85,
number_of_divorces,NUMBER,BD,91,
number_of_divorces,NUMBER,BD,94,
number_of_divorces,NUMBER,BD,82,
number_of_divorces,NUMBER,BD,139,
number_of_divorces,NUMBER,BD,154,
number_of_divorces,NUMBER,BD,199,
number_of_divorces,NUMBER,BD,236,
number_of_divorces,NUMBER,BD,191,
number_of_divorces,NUMBER,BD,251,
number_of_divorces,NUMBER,BD,311,
number_of_divorces,NUMBER,BD,289,
number_of_divorces,NUMBER,BD,295,
number_of_divorces,NUMBER,BD,298,
number_of_divorces,NUMBER,BD,187,
