Year,UNIT_MEASURE,Administrative area,Value
1997,Number,Republika Srpska,0.42
1998,Number,Republika Srpska,1.59
1999,Number,Republika Srpska,0.5
2001,Number,Republika Srpska,0.42
2002,Number,Republika Srpska,0.33
2003,Number,Federation of BiH,0.34
2003,Number,Republika Srpska,0.34
2004,Number,Federation of BiH,0.43
2004,Number,Republika Srpska,0.08
2005,Number,Federation of BiH,0.47
2006,Number,Federation of BiH,0.52
2006,Number,Republika Srpska,0.35
2007,Number,Federation of BiH,0.17
2007,Number,Republika Srpska,0.07
2008,Number,Federation of BiH,0.3
2009,Number,Federation of BiH,0.17
2009,Number,Republika Srpska,0.28
2010,Number,Federation of BiH,0.13
2010,Number,Republika Srpska,0.28
2011,Number,Federation of BiH,0.86
2011,Number,Republika Srpska,0.35
2012,Number,Federation of BiH,0.73
2012,Number,Republika Srpska,0.56
2013,Number,Federation of BiH,0.68
2013,Number,Republika Srpska,0.56
2014,Number,Federation of BiH,0.64
2014,Number,Republika Srpska,0.14
2015,Number,Federation of BiH,0.43
2015,Number,Republika Srpska,0.17
2016,Number,Federation of BiH,0.73
2016,Number,Republika Srpska,0.6
2017,Number,Federation of BiH,0.32
2017,Number,Republika Srpska,0.43
2018,Number,Federation of BiH,0.87
2018,Number,Republika Srpska,0.44
2019,Number,Federation of BiH,0.96
