Year,UNIT_MEASURE,Value
1971,Number per 1000 marriages,88.2
1981,Number per 1000 marriages,93.3
1991,Number per 1000 marriages,56.3
1997,Number per 1000 marriages,79.0
1998,Number per 1000 marriages,87.7
1999,Number per 1000 marriages,88.8
2000,Number per 1000 marriages,88.1
2001,Number per 1000 marriages,104.7
2002,Number per 1000 marriages,112.9
2003,Number per 1000 marriages,92.5
2004,Number per 1000 marriages,68.4
2005,Number per 1000 marriages,81.3
2006,Number per 1000 marriages,77.2
2007,Number per 1000 marriages,77.7
2008,Number per 1000 marriages,61.8
2009,Number per 1000 marriages,68.0
2010,Number per 1000 marriages,85.8
2011,Number per 1000 marriages,120.5
2012,Number per 1000 marriages,125.8
2013,Number per 1000 marriages,148.1
2014,Number per 1000 marriages,144.1
2015,Number per 1000 marriages,150.5
2016,Number per 1000 marriages,143.9
2017,Number per 1000 marriages,151.3
2018,Number per 1000 marriages,155.2
2019,Number per 1000 marriages,147.2
