Year,UNIT_MEASURE,Sex,Administrative area,Births,Value
1996,Number,Both sexes,BiH,Live births,46594
1997,Number,Both sexes,BiH,Live births,48397
1998,Number,Both sexes,BiH,Live births,45007
1999,Number,Both sexes,BiH,Live births,42464
2000,Number,Both sexes,BiH,Live births,39563
2001,Number,Both sexes,BiH,Live births,37717
2002,Number,Both sexes,BiH,Live births,35587
2003,Number,Both sexes,BiH,Live births,35234
2004,Number,Both sexes,BiH,Live births,35151
2005,Number,Both sexes,BiH,Live births,34627
2006,Number,Both sexes,BiH,Live births,34033
2007,Number,Both sexes,BiH,Live births,33835
2008,Number,Both sexes,BiH,Live births,34176
2009,Number,Both sexes,BiH,Live births,34550
2010,Number,Both sexes,BiH,Live births,33528
2011,Number,Both sexes,BiH,Live births,31811
2012,Number,Both sexes,BiH,Live births,32547
2013,Number,Both sexes,BiH,Live births,30684
2014,Number,Both sexes,BiH,Live births,30268
2015,Number,Both sexes,BiH,Live births,29770
2016,Number,Both sexes,BiH,Live births,30183
2017,Number,Both sexes,BiH,Live births,30200
2018,Number,Both sexes,BiH,Live births,29467
2019,Number,Both sexes,BiH,Live births,28360
1996,Number,M,BiH,Live births,24398
1997,Number,M,BiH,Live births,25297
1998,Number,M,BiH,Live births,23425
1999,Number,M,BiH,Live births,21636
2000,Number,M,BiH,Live births,20407
2001,Number,M,BiH,Live births,19400
2002,Number,M,BiH,Live births,18297
2003,Number,M,BiH,Live births,18330
2004,Number,M,BiH,Live births,18133
2005,Number,M,BiH,Live births,17797
2006,Number,M,BiH,Live births,17547
2007,Number,M,BiH,Live births,17534
2008,Number,M,BiH,Live births,17585
2009,Number,M,BiH,Live births,18001
2010,Number,M,BiH,Live births,17277
2011,Number,M,BiH,Live births,16531
2012,Number,M,BiH,Live births,16790
2013,Number,M,BiH,Live births,15835
2014,Number,M,BiH,Live births,15597
2015,Number,M,BiH,Live births,15308
2016,Number,M,BiH,Live births,15716
2017,Number,M,BiH,Live births,15674
2018,Number,M,BiH,Live births,15268
2019,Number,M,BiH,Live births,14806
1996,Number,F,BiH,Live births,22196
1997,Number,F,BiH,Live births,23100
1998,Number,F,BiH,Live births,21582
1999,Number,F,BiH,Live births,20828
2000,Number,F,BiH,Live births,19156
2001,Number,F,BiH,Live births,18317
2002,Number,F,BiH,Live births,17290
2003,Number,F,BiH,Live births,16904
2004,Number,F,BiH,Live births,17018
2005,Number,F,BiH,Live births,16830
2006,Number,F,BiH,Live births,16486
2007,Number,F,BiH,Live births,16301
2008,Number,F,BiH,Live births,16591
2009,Number,F,BiH,Live births,16549
2010,Number,F,BiH,Live births,16251
2011,Number,F,BiH,Live births,15280
2012,Number,F,BiH,Live births,15757
2013,Number,F,BiH,Live births,14849
2014,Number,F,BiH,Live births,14671
2015,Number,F,BiH,Live births,14462
2016,Number,F,BiH,Live births,14467
2017,Number,F,BiH,Live births,14526
2018,Number,F,BiH,Live births,14199
2019,Number,F,BiH,Live births,13554
1996,Number,Both sexes,BiH,Deaths,25152
1997,Number,Both sexes,BiH,Deaths,27875
