Year,Sex,UNIT_MEASURE,Administrative area,Value
2004,Both sexes,% of total,BiH,18.3
2007,Both sexes,% of total,BiH,18.2
2011,Both sexes,% of total,BiH,17.9
2015,Both sexes,% of total,BiH,16.9
2007,M,% of total,BiH,18.3
2011,M,% of total,BiH,18.0
2015,M,% of total,BiH,17.1
2007,F,% of total,BiH,18.1
2011,F,% of total,BiH,17.7
2015,F,% of total,BiH,16.7
2004,Both sexes,% of total,Federation of BiH,18.8
2007,Both sexes,% of total,Federation of BiH,17.0
2011,Both sexes,% of total,Federation of BiH,17.1
2015,Both sexes,% of total,Federation of BiH,17.1
2007,M,% of total,Federation of BiH,17.1
2011,M,% of total,Federation of BiH,17.5
2015,M,% of total,Federation of BiH,18.8
2007,F,% of total,Federation of BiH,16.9
2011,F,% of total,Federation of BiH,16.7
2015,F,% of total,Federation of BiH,15.9
2004,Both sexes,% of total,Republika Srpska,17.8
2007,Both sexes,% of total,Republika Srpska,20.1
2011,Both sexes,% of total,Republika Srpska,19.5
2015,Both sexes,% of total,Republika Srpska,16.4
2007,M,% of total,Republika Srpska,20.2
2011,M,% of total,Republika Srpska,19.1
2015,M,% of total,Republika Srpska,14.5
2007,F,% of total,Republika Srpska,20.1
2011,F,% of total,Republika Srpska,19.8
2015,F,% of total,Republika Srpska,17.6
2004,Both sexes,% of total,Brčko District of BiH,9.5
2007,Both sexes,% of total,Brčko District of BiH,25.8
2011,Both sexes,% of total,Brčko District of BiH,14.7
2015,Both sexes,% of total,Brčko District of BiH,17.6
2007,M,% of total,Brčko District of BiH,23.4
2011,M,% of total,Brčko District of BiH,14.1
2015,M,% of total,Brčko District of BiH,15.3
2007,F,% of total,Brčko District of BiH,28.2
2011,F,% of total,Brčko District of BiH,15.3
2015,F,% of total,Brčko District of BiH,19.0
