Year,UNIT_MEASURE,Spol,Value
2010,% od ukupnog broja,Muškarci,28.1
2011,% od ukupnog broja,Muškarci,29.2
2012,% od ukupnog broja,Muškarci,30.5
2013,% od ukupnog broja,Muškarci,27.4
2014,% od ukupnog broja,Muškarci,27.9
2015,% od ukupnog broja,Muškarci,29.2
2016,% od ukupnog broja,Muškarci,28.0
2017,% od ukupnog broja,Muškarci,24.5
2018,% od ukupnog broja,Muškarci,22.1
2010,% od ukupnog broja,Žene,28.0
2011,% od ukupnog broja,Žene,26.1
2012,% od ukupnog broja,Žene,26.2
2013,% od ukupnog broja,Žene,24.1
2014,% od ukupnog broja,Žene,24.0
2015,% od ukupnog broja,Žene,26.0
2016,% od ukupnog broja,Žene,24.7
2017,% od ukupnog broja,Žene,24.0
2018,% od ukupnog broja,Žene,21.1
