Year,Spol,UNIT_MEASURE,Value
2020,Oba spola,_%,8.6
2025,Oba spola,_%,7.98
2030,Oba spola,_%,7.37
2035,Oba spola,_%,6.88
2040,Oba spola,_%,6.66
2045,Oba spola,_%,6.54
2050,Oba spola,_%,6.45
2055,Oba spola,_%,6.36
2060,Oba spola,_%,6.26
2065,Oba spola,_%,6.18
2070,Oba spola,_%,6.18
2020,Muškarci,_%,10.94
2025,Muškarci,_%,11.93
2030,Muškarci,_%,13.09
2035,Muškarci,_%,14.47
2040,Muškarci,_%,16.01
2045,Muškarci,_%,17.51
2050,Muškarci,_%,18.78
2055,Muškarci,_%,19.84
2060,Muškarci,_%,20.73
2065,Muškarci,_%,21.51
2070,Muškarci,_%,22.2
2020,Žene,_%,10.52
2025,Žene,_%,11.42
2030,Žene,_%,12.48
2035,Žene,_%,13.75
2040,Žene,_%,15.19
2045,Žene,_%,16.66
2050,Žene,_%,17.9
2055,Žene,_%,18.93
2060,Žene,_%,19.79
2065,Žene,_%,20.64
2070,Žene,_%,21.5
