Year,UNIT_MEASURE,AGE,Sex,Municipality,Value
2013,Number,Total,Both sexes,Tuzla,110979
2013,Number,Total,Both sexes,Ugljevik,15710
2013,Number,Total,Both sexes,Usora,6603
2013,Number,Total,Both sexes,Vareš,8892
2013,Number,Total,Both sexes,Velika Kladuša,40419
2013,Number,Total,Both sexes,Visoko,39938
2013,Number,Total,Both sexes,Višegrad,10668
2013,Number,Total,Both sexes,Vitez,25836
2013,Number,Total,Both sexes,Vlasenica,11467
2013,Number,Total,Both sexes,Sarajevo - Vogošća,26343
2013,Number,Total,Both sexes,Vukosavlje,4667
2013,Number,Total,Both sexes,Zavidovići,35988
2013,Number,Total,Both sexes,Zenica,110663
2013,Number,Total,Both sexes,Zvornik,58856
2013,Number,Total,Both sexes,Žepče,30219
2013,Number,Total,Both sexes,Živinice,57765
2013,Number,0-4,Both sexes,Banja Luka,9610
2013,Number,0-4,Both sexes,Banovići,1206
2013,Number,0-4,Both sexes,Berkovići,93
2013,Number,0-4,Both sexes,Bihać,2652
2013,Number,0-4,Both sexes,Bijeljina,5080
2013,Number,0-4,Both sexes,Bileća,487
2013,Number,0-4,Both sexes,Bosanska Krupa,1423
2013,Number,0-4,Both sexes,Bosanski Petrovac,249
2013,Number,0-4,Both sexes,Bosansko Grahovo,69
2013,Number,0-4,Both sexes,Bratunac,948
2013,Number,0-4,Both sexes,Brčko,4165
2013,Number,0-4,Both sexes,Breza,698
2013,Number,0-4,Both sexes,Brod,771
2013,Number,0-4,Both sexes,Bugojno,1484
2013,Number,0-4,Both sexes,Busovača,961
2013,Number,0-4,Both sexes,Bužim,1405
2013,Number,0-4,Both sexes,Cazin,3940
2013,Number,0-4,Both sexes,Sarajevo - Centar,2588
2013,Number,0-4,Both sexes,Čajniče,185
2013,Number,0-4,Both sexes,Čapljina,1233
2013,Number,0-4,Both sexes,Čelić,475
2013,Number,0-4,Both sexes,Čelinac,769
2013,Number,0-4,Both sexes,Čitluk,1002
2013,Number,0-4,Both sexes,Derventa,1170
2013,Number,0-4,Both sexes,Doboj,3330
2013,Number,0-4,Both sexes,Doboj-Istok,541
2013,Number,0-4,Both sexes,Doboj-Jug,235
2013,Number,0-4,Both sexes,Dobretići,30
2013,Number,0-4,Both sexes,Domaljevac-Šamac,163
2013,Number,0-4,Both sexes,Donji Vakuf,680
2013,Number,0-4,Both sexes,Donji Žabar,145
2013,Number,0-4,Both sexes,Drvar,210
2013,Number,0-4,Both sexes,Foča - FBIH,85
2013,Number,0-4,Both sexes,Foča - RS,644
2013,Number,0-4,Both sexes,Fojnica,557
2013,Number,0-4,Both sexes,Gacko,419
2013,Number,0-4,Both sexes,Glamoč,145
2013,Number,0-4,Both sexes,Goražde,978
2013,Number,0-4,Both sexes,Gornji Vakuf-Uskoplje,1072
2013,Number,0-4,Both sexes,Gračanica,2600
2013,Number,0-4,Both sexes,Gradačac,2100
2013,Number,0-4,Both sexes,Gradiška,2092
2013,Number,0-4,Both sexes,Grude,805
2013,Number,0-4,Both sexes,Sarajevo - Hadžići,1380
2013,Number,0-4,Both sexes,Han Pijesak,134
2013,Number,0-4,Both sexes,Sarajevo - Ilidža,3915
2013,Number,0-4,Both sexes,Sarajevo - Ilijaš,1085
2013,Number,0-4,Both sexes,Istočna Ilidža,649
2013,Number,0-4,Both sexes,Istočni Mostar,7
2013,Number,0-4,Both sexes,Istočni Stari Grad,40
2013,Number,0-4,Both sexes,Istočno Novo Sarajevo,625
2013,Number,0-4,Both sexes,Jablanica,440
2013,Number,0-4,Both sexes,Jajce,1311
2013,Number,0-4,Both sexes,Jezero,44
2013,Number,0-4,Both sexes,Kakanj,2102
2013,Number,0-4,Both sexes,Kalesija,1841
2013,Number,0-4,Both sexes,Kalinovik,52
2013,Number,0-4,Both sexes,Kiseljak,1082
2013,Number,0-4,Both sexes,Kladanj,606
2013,Number,0-4,Both sexes,Ključ,699
2013,Number,0-4,Both sexes,Kneževo,406
2013,Number,0-4,Both sexes,Konjic,1046
2013,Number,0-4,Both sexes,Kostajnica,222
2013,Number,0-4,Both sexes,Kotor Varoš,922
2013,Number,0-4,Both sexes,Kozarska Dubica,800
2013,Number,0-4,Both sexes,Kreševo,240
2013,Number,0-4,Both sexes,Krupa Na Uni,49
2013,Number,0-4,Both sexes,Kupres - FBIH,164
2013,Number,0-4,Both sexes,Kupres - RS,6
2013,Number,0-4,Both sexes,Laktaši,1687
2013,Number,0-4,Both sexes,Livno,1334
2013,Number,0-4,Both sexes,Lopare,517
2013,Number,0-4,Both sexes,Lukavac,1968
2013,Number,0-4,Both sexes,Ljubinje,155
2013,Number,0-4,Both sexes,Ljubuški,1352
2013,Number,0-4,Both sexes,Maglaj,1215
2013,Number,0-4,Both sexes,Milići,489
2013,Number,0-4,Both sexes,Modriča,1001
2013,Number,0-4,Both sexes,Mostar,5335
2013,Number,0-4,Both sexes,Mrkonjić Grad,681
2013,Number,0-4,Both sexes,Neum,206
2013,Number,0-4,Both sexes,Nevesinje,561
2013,Number,0-4,Both sexes,Novi Grad,981
2013,Number,0-4,Both sexes,Sarajevo - Novi Grad,6754
2013,Number,0-4,Both sexes,Novi Travnik,1318
2013,Number,0-4,Both sexes,Novo Goražde,103
2013,Number,0-4,Both sexes,Sarajevo - Novo Sarajevo,3295
2013,Number,0-4,Both sexes,Odžak,693
2013,Number,0-4,Both sexes,Olovo,417
2013,Number,0-4,Both sexes,Orašje,726
2013,Number,0-4,Both sexes,Osmaci,275
2013,Number,0-4,Both sexes,Oštra Luka,107
2013,Number,0-4,Both sexes,Pale - FBIH,35
2013,Number,0-4,Both sexes,Pale - RS,904
2013,Number,0-4,Both sexes,Pelagićevo,133
2013,Number,0-4,Both sexes,Petrovac,13
2013,Number,0-4,Both sexes,Petrovo,264
2013,Number,0-4,Both sexes,Posušje,1237
2013,Number,0-4,Both sexes,Prijedor,3468
2013,Number,0-4,Both sexes,Prnjavor,1600
2013,Number,0-4,Both sexes,Prozor,687
2013,Number,0-4,Both sexes,Ravno,118
2013,Number,0-4,Both sexes,Ribnik,245
2013,Number,0-4,Both sexes,Rogatica,514
2013,Number,0-4,Both sexes,Rudo,289
2013,Number,0-4,Both sexes,Sanski Most,1681
2013,Number,0-4,Both sexes,Sapna,651
2013,Number,0-4,Both sexes,Sokolac,508
2013,Number,0-4,Both sexes,Srbac,836
2013,Number,0-4,Both sexes,Srebrenica,526
2013,Number,0-4,Both sexes,Srebrenik,2214
2013,Number,0-4,Both sexes,Sarajevo - Stari Grad,1623
2013,Number,0-4,Both sexes,Stolac,650
2013,Number,0-4,Both sexes,Šamac,584
2013,Number,0-4,Both sexes,Šekovići,249
2013,Number,0-4,Both sexes,Šipovo,431
2013,Number,0-4,Both sexes,Široki Brijeg,1623
2013,Number,0-4,Both sexes,Teočak,351
2013,Number,0-4,Both sexes,Teslić,1969
2013,Number,0-4,Both sexes,Tešanj,2689
2013,Number,0-4,Both sexes,Tomislavgrad,1490
2013,Number,0-4,Both sexes,Travnik,2797
2013,Number,0-4,Both sexes,Trebinje,1415
2013,Number,0-4,Both sexes,Trnovo - FBIH,40
2013,Number,0-4,Both sexes,Trnovo - RS,66
2013,Number,0-4,Both sexes,Tuzla,5105
2013,Number,0-4,Both sexes,Ugljevik,675
2013,Number,0-4,Both sexes,Usora,251
2013,Number,0-4,Both sexes,Vareš,256
2013,Number,0-4,Both sexes,Velika Kladuša,2756
2013,Number,0-4,Both sexes,Visoko,2309
2013,Number,0-4,Both sexes,Višegrad,344
2013,Number,0-4,Both sexes,Vitez,1447
2013,Number,0-4,Both sexes,Vlasenica,499
2013,Number,0-4,Both sexes,Sarajevo - Vogošća,1600
2013,Number,0-4,Both sexes,Vukosavlje,207
2013,Number,0-4,Both sexes,Zavidovići,2005
2013,Number,0-4,Both sexes,Zenica,6072
2013,Number,0-4,Both sexes,Zvornik,3061
2013,Number,0-4,Both sexes,Žepče,1657
2013,Number,0-4,Both sexes,Živinice,3389
2013,Number,5-9,Both sexes,Banja Luka,8736
2013,Number,5-9,Both sexes,Banovići,1212
2013,Number,5-9,Both sexes,Berkovići,130
2013,Number,5-9,Both sexes,Bihać,2806
2013,Number,5-9,Both sexes,Bijeljina,5136
2013,Number,5-9,Both sexes,Bileća,483
2013,Number,5-9,Both sexes,Bosanska Krupa,1495
2013,Number,5-9,Both sexes,Bosanski Petrovac,324
2013,Number,5-9,Both sexes,Bosansko Grahovo,49
2013,Number,5-9,Both sexes,Bratunac,1096
2013,Number,5-9,Both sexes,Brčko,4312
2013,Number,5-9,Both sexes,Breza,661
2013,Number,5-9,Both sexes,Brod,731
2013,Number,5-9,Both sexes,Bugojno,1681
2013,Number,5-9,Both sexes,Busovača,1079
2013,Number,5-9,Both sexes,Bužim,1345
2013,Number,5-9,Both sexes,Cazin,4192
2013,Number,5-9,Both sexes,Sarajevo - Centar,2432
2013,Number,5-9,Both sexes,Čajniče,212
2013,Number,5-9,Both sexes,Čapljina,1359
2013,Number,5-9,Both sexes,Čelić,573
2013,Number,5-9,Both sexes,Čelinac,741
2013,Number,5-9,Both sexes,Čitluk,1090
2013,Number,5-9,Both sexes,Derventa,1223
2013,Number,5-9,Both sexes,Doboj,3311
2013,Number,5-9,Both sexes,Doboj-Istok,570
2013,Number,5-9,Both sexes,Doboj-Jug,288
2013,Number,5-9,Both sexes,Dobretići,54
2013,Number,5-9,Both sexes,Domaljevac-Šamac,237
2013,Number,5-9,Both sexes,Donji Vakuf,861
2013,Number,5-9,Both sexes,Donji Žabar,185
2013,Number,5-9,Both sexes,Drvar,250
2013,Number,5-9,Both sexes,Foča - FBIH,71
2013,Number,5-9,Both sexes,Foča - RS,755
2013,Number,5-9,Both sexes,Fojnica,635
2013,Number,5-9,Both sexes,Gacko,443
2013,Number,5-9,Both sexes,Glamoč,181
2013,Number,5-9,Both sexes,Goražde,845
2013,Number,5-9,Both sexes,Gornji Vakuf-Uskoplje,1231
2013,Number,5-9,Both sexes,Gračanica,2518
2013,Number,5-9,Both sexes,Gradačac,2243
2013,Number,5-9,Both sexes,Gradiška,2295
2013,Number,5-9,Both sexes,Grude,952
2013,Number,5-9,Both sexes,Sarajevo - Hadžići,1339
2013,Number,5-9,Both sexes,Han Pijesak,130
2013,Number,5-9,Both sexes,Sarajevo - Ilidža,3664
2013,Number,5-9,Both sexes,Sarajevo - Ilijaš,1128
2013,Number,5-9,Both sexes,Istočna Ilidža,683
2013,Number,5-9,Both sexes,Istočni Drvar,1
2013,Number,5-9,Both sexes,Istočni Mostar,16
2013,Number,Total,F,Banja Luka,95894
2013,Number,Total,F,Banovići,11381
2013,Number,Total,F,Berkovići,1055
2013,Number,Total,F,Bihać,29220
2013,Number,Total,F,Bijeljina,54888
2013,Number,Total,F,Bileća,5353
2013,Number,Total,F,Bosanska Krupa,12997
2013,Number,Total,F,Bosanski Petrovac,3650
2013,Number,Total,F,Bosansko Grahovo,1162
2013,Number,Total,F,Bratunac,10249
2013,Number,Total,F,Brčko,42266
2013,Number,Total,F,Breza,7216
2013,Number,Total,F,Brod,8476
2013,Number,Total,F,Bugojno,15835
2013,Number,Total,F,Busovača,8776
2013,Number,Total,F,Bužim,9455
2013,Number,Total,F,Cazin,33077
2013,Number,Total,F,Sarajevo - Centar,29812
2013,Number,Total,F,Čajniče,2421
2013,Number,Total,F,Čapljina,13210
2013,Number,Total,F,Čelić,5246
2013,Number,Total,F,Čelinac,7820
2013,Number,Total,F,Čitluk,9203
2013,Number,Total,F,Derventa,14007
2013,Number,Total,F,Doboj,36525
2013,Number,Total,F,Doboj-Istok,5187
2013,Number,Total,F,Doboj-Jug,2072
2013,Number,Total,F,Dobretići,724
2013,Number,Total,F,Domaljevac-Šamac,2398
2013,Number,Total,F,Donji Vakuf,7063
2013,Number,Total,F,Donji Žabar,1889
2013,Number,Total,F,Drvar,3563
2013,Number,Total,F,Foča - FBIH,935
2013,Number,Total,F,Foča - RS,9052
2013,Number,Total,F,Fojnica,6159
2013,Number,Total,F,Gacko,4434
2013,Number,Total,F,Glamoč,1897
2013,Number,Total,F,Goražde,10734
2013,Number,Total,F,Gornji Vakuf-Uskoplje,10401
2013,Number,Total,F,Gračanica,23579
2013,Number,Total,F,Gradačac,20106
2013,Number,Total,F,Gradiška,26456
2013,Number,Total,F,Grude,8687
2013,Number,Total,F,Sarajevo - Hadžići,11977
2013,Number,Total,F,Han Pijesak,1863
2013,Number,Total,F,Sarajevo - Ilidža,34371
2013,Number,Total,F,Sarajevo - Ilijaš,10222
2013,Number,Total,F,Istočna Ilidža,7694
2013,Number,Total,F,Istočni Drvar,26
2013,Number,Total,F,Istočni Mostar,115
2013,Number,Total,F,Istočni Stari Grad,571
2013,Number,Total,F,Istočno Novo Sarajevo,5584
2013,Number,Total,F,Jablanica,5084
2013,Number,Total,F,Jajce,13402
2013,Number,Total,F,Jezero,543
2013,Number,Total,F,Kakanj,18790
2013,Number,Total,F,Kalesija,16456
2013,Number,Total,F,Kalinovik,1042
2013,Number,Total,F,Kiseljak,10437
2013,Number,Total,F,Kladanj,6240
2013,Number,Total,F,Ključ,8379
2013,Number,Total,F,Kneževo,4901
2013,Number,Total,F,Konjic,12788
2013,Number,Total,F,Kostajnica,3010
2013,Number,Total,F,Kotor Varoš,9892
2013,Number,Total,F,Kozarska Dubica,11008
2013,Number,Total,F,Kreševo,2676
2013,Number,Total,F,Krupa Na Uni,735
2013,Number,Total,F,Kupres - FBIH,2516
2013,Number,Total,F,Kupres - RS,140
2013,Number,Total,F,Laktaši,17646
2013,Number,Total,F,Livno,17109
2013,Number,Total,F,Lopare,7608
2013,Number,Total,F,Lukavac,22734
2013,Number,Total,F,Ljubinje,1786
2013,Number,Total,F,Ljubuški,14162
2013,Number,Total,F,Maglaj,11716
2013,Number,Total,F,Milići,5643
2013,Number,Total,F,Modriča,13159
2013,Number,Total,F,Mostar,54587
2013,Number,Total,F,Mrkonjić Grad,8575
2013,Number,Total,F,Neum,2309
2013,Number,Total,F,Nevesinje,6499
2013,Number,Total,F,Novi Grad,13521
2013,Number,Total,F,Sarajevo - Novi Grad,62818
2013,Number,Total,F,Novi Travnik,11970
2013,Number,Total,F,Novo Goražde,1499
2013,Number,Total,F,Sarajevo - Novo Sarajevo,35234
2013,Number,Total,F,Odžak,9448
2013,Number,Total,F,Olovo,5091
2013,Number,Total,F,Orašje,9802
2013,Number,Total,F,Osmaci,2951
2013,Number,Total,F,Oštra Luka,1346
2013,Number,Total,F,Pale - FBIH,448
2013,Number,Total,F,Pale - RS,10871
2013,Number,Total,F,Pelagićevo,2611
2013,Number,Total,F,Petrovac,189
2013,Number,Total,F,Petrovo,3350
2013,Number,Total,F,Posušje,10190
2013,Number,Total,F,Prijedor,45534
2013,Number,Total,F,Prnjavor,18384
2013,Number,Total,F,Prozor,7070
2013,Number,Total,F,Ravno,1562
2013,Number,Total,F,Ribnik,3039
2013,Number,Total,F,Rogatica,5453
2013,Number,Total,F,Rudo,3913
2013,Number,Total,F,Sanski Most,20649
2013,Number,Total,F,Sapna,5439
2013,Number,Total,F,Sokolac,6102
2013,Number,Total,F,Srbac,8964
2013,Number,Total,F,Srebrenica,6807
2013,Number,Total,F,Srebrenik,20330
2013,Number,Total,F,Sarajevo - Stari Grad,19494
2013,Number,Total,F,Stolac,7176
2013,Number,Total,F,Šamac,8888
2013,Number,Total,F,Šekovići,3401
2013,Number,Total,F,Šipovo,5072
2013,Number,Total,F,Široki Brijeg,14548
2013,Number,Total,F,Teočak,3657
2013,Number,Total,F,Teslić,19857
2013,Number,Total,F,Tešanj,21687
2013,Number,Total,F,Tomislavgrad,15537
2013,Number,Total,F,Travnik,26908
2013,Number,Total,F,Trebinje,14947
2013,Number,Total,F,Trnovo - FBIH,767
2013,Number,Total,F,Trnovo - RS,1061
2013,Number,Total,F,Tuzla,58234
2013,Number,Total,F,Ugljevik,7773
2013,Number,Total,F,Usora,3337
2013,Number,Total,F,Vareš,4519
2013,Number,Total,F,Velika Kladuša,20530
2013,Number,Total,F,Visoko,20233
2013,Number,Total,F,Višegrad,5562
2013,Number,Total,F,Vitez,13069
2013,Number,Total,F,Vlasenica,5829
2013,Number,Total,F,Sarajevo - Vogošća,13737
2013,Number,Total,F,Vukosavlje,2327
2013,Number,Total,F,Zavidovići,18105
2013,Number,Total,F,Zenica,56003
2013,Number,Total,F,Zvornik,29586
2013,Number,Total,F,Žepče,14884
2013,Number,Total,F,Živinice,29051
2013,Number,0-4,F,Banja Luka,4712
2013,Number,0-4,F,Banovići,592
2013,Number,0-4,F,Berkovići,48
2013,Number,0-4,F,Bihać,1291
2013,Number,0-4,F,Bijeljina,2443
2013,Number,0-4,F,Bileća,232
2013,Number,0-4,F,Bosanska Krupa,688
2013,Number,0-4,F,Bosanski Petrovac,123
2013,Number,0-4,F,Bosansko Grahovo,30
2013,Number,0-4,F,Bratunac,439
2013,Number,0-4,F,Brčko,1987
2013,Number,0-4,F,Breza,350
2013,Number,0-4,F,Brod,369
2013,Number,0-4,F,Bugojno,698
2013,Number,0-4,F,Busovača,467
2013,Number,0-4,F,Bužim,673
2013,Number,0-4,F,Cazin,1890
2013,Number,0-4,F,Sarajevo - Centar,1280
2013,Number,0-4,F,Čajniče,100
2013,Number,0-4,F,Čapljina,605
2013,Number,0-4,F,Čelić,246
2013,Number,0-4,F,Čelinac,370
2013,Number,0-4,F,Čitluk,522
2013,Number,0-4,F,Derventa,590
2013,Number,0-4,F,Doboj,1635
2013,Number,0-4,F,Doboj-Istok,249
2013,Number,0-4,F,Doboj-Jug,115
2013,Number,0-4,F,Dobretići,12
2013,Number,0-4,F,Domaljevac-Šamac,74
2013,Number,0-4,F,Donji Vakuf,342
2013,Number,0-4,F,Donji Žabar,75
2013,Number,0-4,F,Drvar,104
2013,Number,0-4,F,Foča - FBIH,35
2013,Number,0-4,F,Foča - RS,277
2013,Number,0-4,F,Fojnica,263
2013,Number,0-4,F,Gacko,213
2013,Number,0-4,F,Glamoč,68
2013,Number,0-4,F,Goražde,465
2013,Number,0-4,F,Gornji Vakuf-Uskoplje,513
2013,Number,0-4,F,Gračanica,1324
2013,Number,0-4,F,Gradačac,1040
2013,Number,0-4,F,Gradiška,1048
2013,Number,0-4,F,Grude,396
2013,Number,0-4,F,Sarajevo - Hadžići,698
2013,Number,0-4,F,Han Pijesak,62
2013,Number,0-4,F,Sarajevo - Ilidža,1902
2013,Number,0-4,F,Sarajevo - Ilijaš,529
2013,Number,0-4,F,Istočna Ilidža,307
2013,Number,0-4,F,Istočni Mostar,3
2013,Number,0-4,F,Istočni Stari Grad,17
2013,Number,0-4,F,Istočno Novo Sarajevo,325
2013,Number,0-4,F,Jablanica,209
2013,Number,0-4,F,Jajce,639
2013,Number,0-4,F,Jezero,22
2013,Number,0-4,F,Kakanj,972
2013,Number,0-4,F,Kalesija,905
2013,Number,0-4,F,Kalinovik,27
2013,Number,0-4,F,Kiseljak,551
2013,Number,0-4,F,Kladanj,270
2013,Number,0-4,F,Ključ,357
2013,Number,0-4,F,Kneževo,193
2013,Number,0-4,F,Konjic,530
2013,Number,0-4,F,Kostajnica,119
2013,Number,0-4,F,Kotor Varoš,444
2013,Number,0-4,F,Kozarska Dubica,392
2013,Number,0-4,F,Kreševo,113
2013,Number,0-4,F,Krupa Na Uni,22
2013,Number,0-4,F,Kupres - FBIH,78
2013,Number,0-4,F,Laktaši,832
2013,Number,0-4,F,Livno,648
2013,Number,0-4,F,Lopare,262
2013,Number,0-4,F,Lukavac,949
2013,Number,0-4,F,Ljubinje,82
2013,Number,0-4,F,Ljubuški,669
2013,Number,0-4,F,Maglaj,582
2013,Number,0-4,F,Milići,242
2013,Number,0-4,F,Modriča,487
2013,Number,0-4,F,Mostar,2585
2013,Number,0-4,F,Mrkonjić Grad,344
2013,Number,0-4,F,Neum,101
2013,Number,0-4,F,Nevesinje,260
2013,Number,0-4,F,Novi Grad,485
2013,Number,0-4,F,Sarajevo - Novi Grad,3266
2013,Number,0-4,F,Novi Travnik,633
2013,Number,0-4,F,Novo Goražde,53
2013,Number,0-4,F,Sarajevo - Novo Sarajevo,1650
2013,Number,0-4,F,Odžak,349
2013,Number,0-4,F,Olovo,193
2013,Number,0-4,F,Orašje,357
2013,Number,0-4,F,Osmaci,127
2013,Number,0-4,F,Oštra Luka,52
2013,Number,0-4,F,Pale - FBIH,17
2013,Number,0-4,F,Pale - RS,442
2013,Number,0-4,F,Pelagićevo,68
2013,Number,0-4,F,Petrovac,5
2013,Number,0-4,F,Petrovo,118
2013,Number,0-4,F,Posušje,595
2013,Number,0-4,F,Prijedor,1663
2013,Number,0-4,F,Prnjavor,788
2013,Number,0-4,F,Prozor,346
2013,Number,0-4,F,Ravno,58
2013,Number,0-4,F,Ribnik,124
2013,Number,0-4,F,Rogatica,262
2013,Number,0-4,F,Rudo,136
2013,Number,0-4,F,Sanski Most,831
2013,Number,0-4,F,Sapna,330
2013,Number,0-4,F,Sokolac,244
2013,Number,0-4,F,Srbac,424
2013,Number,0-4,F,Srebrenica,261
2013,Number,0-4,F,Srebrenik,1085
2013,Number,0-4,F,Sarajevo - Stari Grad,788
2013,Number,0-4,F,Stolac,313
2013,Number,0-4,F,Šamac,295
2013,Number,0-4,F,Šekovići,119
2013,Number,0-4,F,Šipovo,197
2013,Number,0-4,F,Široki Brijeg,762
2013,Number,0-4,F,Teočak,159
2013,Number,0-4,F,Teslić,921
2013,Number,0-4,F,Tešanj,1301
