Year,Пол,Узрок смрти (према шифрама болести по МКБ-10),UNIT_MEASURE,Value
1999,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,4591
1999,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,15911
1999,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,866
1999,Оба пола,„(К00-К93) Болести дигестивног система“,Број,709
1999,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,2552
1999,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,1022
1999,Оба пола,Укупно,Број,25651
1999,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,2752
1999,M,„(И00-И99) Болести циркулацијског система“,Број,7700
1999,M,„(Ј00-Ј99) Болести респираторног система“,Број,498
1999,M,„(К00-К93) Болести дигестивног система“,Број,445
1999,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1347
1999,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,786
1999,M,Укупно,Број,13528
1999,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,1839
1999,Ж,„(И00-И99) Болести циркулацијског система“,Број,8211
1999,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,368
1999,Ж,„(К00-К93) Болести дигестивног система“,Број,264
1999,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1205
1999,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,236
1999,Ж,Укупно,Број,12123
2000,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,5122
2000,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,16283
2000,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,805
2000,Оба пола,„(К00-К93) Болести дигестивног система“,Број,848
2000,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,2860
2000,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,1091
2000,Оба пола,Укупно,Број,27009
2000,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,3144
2000,M,„(И00-И99) Болести циркулацијског система“,Број,7810
2000,M,„(Ј00-Ј99) Болести респираторног система“,Број,464
2000,M,„(К00-К93) Болести дигестивног система“,Број,518
2000,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1484
2000,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,812
2000,M,Укупно,Број,14232
2000,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,1978
2000,Ж,„(И00-И99) Болести циркулацијског система“,Број,8473
2000,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,341
2000,Ж,„(К00-К93) Болести дигестивног система“,Број,330
2000,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1376
2000,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,279
2000,Ж,Укупно,Број,12777
2001,Оба пола,„(А00-Б99) Заразне и паразитарне болести“,Број,257
2001,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,5347
2001,Оба пола,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,20
2001,Оба пола,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,667
2001,Оба пола,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,48
2001,Оба пола,„(Г00-Г99) Болести нервног система“,Број,161
2001,Оба пола,"„(Х00-Х93) Болести ока, уха и аднекса""",Број,1
2001,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,16328
2001,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,745
2001,Оба пола,„(К00-К93) Болести дигестивног система“,Број,827
2001,Оба пола,„(Л00-Л99) Болести коже и поткожног ткива“,Број,17
2001,Оба пола,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,14
2001,Оба пола,„(Н00-Н99) Болести генитално-уринарног система“,Број,397
2001,Оба пола,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,1
2001,Оба пола,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,188
2001,Оба пола,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,43
2001,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,3031
2001,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,1017
2001,Оба пола,„(В01-Y98) Спољни узроци смртности“,Број,261
2001,Оба пола,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2001,Оба пола,Непознато,Број,954
2001,Оба пола,Укупно,Број,30325
2001,M,„(А00-Б99) Заразне и паразитарне болести“,Број,157
2001,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,3288
2001,M,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,7
2001,M,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,240
2001,M,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,37
2001,M,„(Г00-Г99) Болести нервног система“,Број,79
2001,M,"„(Х00-Х93) Болести ока, уха и аднекса""",Број,1
2001,M,„(И00-И99) Болести циркулацијског система“,Број,7943
2001,M,„(Ј00-Ј99) Болести респираторног система“,Број,434
2001,M,„(К00-К93) Болести дигестивног система“,Број,540
2001,M,„(Л00-Л99) Болести коже и поткожног ткива“,Број,5
2001,M,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,6
2001,M,„(Н00-Н99) Болести генитално-уринарног система“,Број,200
2001,M,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,109
2001,M,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,18
2001,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1637
2001,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,768
2001,M,„(В01-Y98) Спољни узроци смртности“,Број,206
2001,M,Непознато,Број,527
2001,M,Укупно,Број,16202
2001,Ж,„(А00-Б99) Заразне и паразитарне болести“,Број,100
2001,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,2059
2001,Ж,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,13
2001,Ж,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,427
2001,Ж,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,11
2001,Ж,„(Г00-Г99) Болести нервног система“,Број,82
2001,Ж,„(И00-И99) Болести циркулацијског система“,Број,8385
2001,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,311
2001,Ж,„(К00-К93) Болести дигестивног система“,Број,287
2001,Ж,„(Л00-Л99) Болести коже и поткожног ткива“,Број,12
2001,Ж,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,8
2001,Ж,„(Н00-Н99) Болести генитално-уринарног система“,Број,197
2001,Ж,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,1
2001,Ж,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,79
2001,Ж,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,25
2001,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1394
