Year,UNIT_MEASURE,UNIT_MEASUREMENT,Spol,Value
2018,%,Total Support Ratio,Oba spola,44.32
2020,%,Total Support Ratio,Oba spola,47.11
2025,%,Total Support Ratio,Oba spola,53.97
2030,%,Total Support Ratio,Oba spola,62.1
2035,%,Total Support Ratio,Oba spola,68.98
2040,%,Total Support Ratio,Oba spola,76.0
2045,%,Total Support Ratio,Oba spola,84.34
2050,%,Total Support Ratio,Oba spola,94.16
2055,%,Total Support Ratio,Oba spola,103.66
2060,%,Total Support Ratio,Oba spola,110.44
2065,%,Total Support Ratio,Oba spola,115.81
2070,%,Total Support Ratio,Oba spola,116.18
2018,%,Young-age support ratio,Oba spola,20.55
2020,%,Young-age support ratio,Oba spola,20.65
2025,%,Young-age support ratio,Oba spola,20.34
2030,%,Young-age support ratio,Oba spola,20.29
2035,%,Young-age support ratio,Oba spola,19.98
2040,%,Young-age support ratio,Oba spola,19.66
2045,%,Young-age support ratio,Oba spola,19.82
2050,%,Young-age support ratio,Oba spola,20.49
2055,%,Young-age support ratio,Oba spola,21.3
2060,%,Young-age support ratio,Oba spola,21.85
2065,%,Young-age support ratio,Oba spola,22.23
2070,%,Young-age support ratio,Oba spola,22.13
2018,%,Old-age support ratio,Oba spola,23.78
2020,%,Old-age support ratio,Oba spola,26.46
2025,%,Old-age support ratio,Oba spola,33.64
2030,%,Old-age support ratio,Oba spola,41.81
2035,%,Old-age support ratio,Oba spola,49.0
2040,%,Old-age support ratio,Oba spola,56.34
2045,%,Old-age support ratio,Oba spola,64.52
2050,%,Old-age support ratio,Oba spola,73.67
2055,%,Old-age support ratio,Oba spola,82.36
2060,%,Old-age support ratio,Oba spola,88.59
2065,%,Old-age support ratio,Oba spola,93.58
2070,%,Old-age support ratio,Oba spola,94.04
2018,%,Older persons to youth ratio,Oba spola,115.71
2020,%,Older persons to youth ratio,Oba spola,128.11
2025,%,Older persons to youth ratio,Oba spola,165.41
2030,%,Older persons to youth ratio,Oba spola,206.01
2035,%,Older persons to youth ratio,Oba spola,245.28
2040,%,Older persons to youth ratio,Oba spola,286.61
2045,%,Older persons to youth ratio,Oba spola,325.51
2050,%,Older persons to youth ratio,Oba spola,359.64
2055,%,Older persons to youth ratio,Oba spola,386.67
2060,%,Older persons to youth ratio,Oba spola,405.45
2065,%,Older persons to youth ratio,Oba spola,420.87
2070,%,Older persons to youth ratio,Oba spola,424.86
2018,%,Total Support Ratio,Muškarci,44.32
2020,%,Total Support Ratio,Muškarci,47.11
2025,%,Total Support Ratio,Muškarci,53.97
2030,%,Total Support Ratio,Muškarci,62.1
2035,%,Total Support Ratio,Muškarci,68.98
2040,%,Total Support Ratio,Muškarci,76.0
2045,%,Total Support Ratio,Muškarci,84.34
2050,%,Total Support Ratio,Muškarci,94.16
2055,%,Total Support Ratio,Muškarci,103.66
2060,%,Total Support Ratio,Muškarci,110.44
2065,%,Total Support Ratio,Muškarci,115.81
2070,%,Total Support Ratio,Muškarci,116.18
2018,%,Young-age support ratio,Muškarci,20.55
2020,%,Young-age support ratio,Muškarci,20.65
2025,%,Young-age support ratio,Muškarci,20.34
2030,%,Young-age support ratio,Muškarci,20.29
2035,%,Young-age support ratio,Muškarci,19.98
2040,%,Young-age support ratio,Muškarci,19.66
2045,%,Young-age support ratio,Muškarci,19.82
2050,%,Young-age support ratio,Muškarci,20.49
2055,%,Young-age support ratio,Muškarci,21.3
2060,%,Young-age support ratio,Muškarci,21.85
2065,%,Young-age support ratio,Muškarci,22.23
2070,%,Young-age support ratio,Muškarci,22.13
2018,%,Old-age support ratio,Muškarci,23.78
2020,%,Old-age support ratio,Muškarci,26.46
2025,%,Old-age support ratio,Muškarci,33.64
2030,%,Old-age support ratio,Muškarci,41.81
2035,%,Old-age support ratio,Muškarci,49.0
2040,%,Old-age support ratio,Muškarci,56.34
2045,%,Old-age support ratio,Muškarci,64.52
2050,%,Old-age support ratio,Muškarci,73.67
2055,%,Old-age support ratio,Muškarci,82.36
2060,%,Old-age support ratio,Muškarci,88.59
2065,%,Old-age support ratio,Muškarci,93.58
2070,%,Old-age support ratio,Muškarci,94.04
2018,%,Older persons to youth ratio,Muškarci,115.71
2020,%,Older persons to youth ratio,Muškarci,128.11
2025,%,Older persons to youth ratio,Muškarci,165.41
2030,%,Older persons to youth ratio,Muškarci,206.01
2035,%,Older persons to youth ratio,Muškarci,245.28
2040,%,Older persons to youth ratio,Muškarci,286.61
2045,%,Older persons to youth ratio,Muškarci,325.51
2050,%,Older persons to youth ratio,Muškarci,359.64
2055,%,Older persons to youth ratio,Muškarci,386.67
2060,%,Older persons to youth ratio,Muškarci,405.45
2065,%,Older persons to youth ratio,Muškarci,420.87
2070,%,Older persons to youth ratio,Muškarci,424.86
2018,%,Total Support Ratio,Žene,44.32
2020,%,Total Support Ratio,Žene,47.11
2025,%,Total Support Ratio,Žene,53.97
2030,%,Total Support Ratio,Žene,62.1
2035,%,Total Support Ratio,Žene,68.98
