Year,Ентитет,Пол,UNIT_MEASURE,Value
1996,BiH,Мушкарци,%,27.7
1997,BiH,Мушкарци,%,28.0
1998,BiH,Мушкарци,%,27.9
1999,BiH,Мушкарци,%,27.8
2000,BiH,Мушкарци,%,27.8
2001,BiH,Мушкарци,%,27.8
2002,BiH,Мушкарци,%,27.8
2003,BiH,Мушкарци,%,28.1
2004,BiH,Мушкарци,%,28.0
2005,BiH,Мушкарци,%,28.1
2006,BiH,Мушкарци,%,28.3
2007,BiH,Мушкарци,%,28.3
2008,BiH,Мушкарци,%,28.3
2009,BiH,Мушкарци,%,28.3
2010,BiH,Мушкарци,%,28.9
2011,BiH,Мушкарци,%,29.1
2012,BiH,Мушкарци,%,29.3
2013,BiH,Мушкарци,%,29.6
2014,BiH,Мушкарци,%,29.6
2015,BiH,Мушкарци,%,29.5
2016,BiH,Мушкарци,%,29.4
2017,BiH,Мушкарци,%,29.5
2018,BiH,Мушкарци,%,29.7
2019,BiH,Мушкарци,%,29.5
1996,BiH,Жене,%,24.2
1997,BiH,Жене,%,24.3
1998,BiH,Жене,%,24.3
1999,BiH,Жене,%,24.3
2000,BiH,Жене,%,24.2
2001,BiH,Жене,%,24.2
2002,BiH,Жене,%,24.3
2003,BiH,Жене,%,24.6
2004,BiH,Жене,%,24.5
2005,BiH,Жене,%,24.6
2006,BiH,Жене,%,24.9
2007,BiH,Жене,%,24.9
2008,BiH,Жене,%,24.9
2009,BiH,Жене,%,24.8
2010,BiH,Жене,%,25.7
2011,BiH,Жене,%,25.9
2012,BiH,Жене,%,26.1
2013,BiH,Жене,%,26.4
2014,BiH,Жене,%,26.4
2015,BiH,Жене,%,26.4
2016,BiH,Жене,%,26.4
2017,BiH,Жене,%,26.6
2018,BiH,Жене,%,27.1
2019,BiH,Жене,%,26.8
1996,Федерација БиХ,Мушкарци,%,27.7
1997,Федерација БиХ,Мушкарци,%,27.4
1998,Федерација БиХ,Мушкарци,%,27.4
1999,Федерација БиХ,Мушкарци,%,27.5
2000,Федерација БиХ,Мушкарци,%,27.6
2001,Федерација БиХ,Мушкарци,%,27.6
2002,Федерација БиХ,Мушкарци,%,27.7
2003,Федерација БиХ,Мушкарци,%,27.7
2004,Федерација БиХ,Мушкарци,%,27.8
2005,Федерација БиХ,Мушкарци,%,27.8
2006,Федерација БиХ,Мушкарци,%,27.9
2007,Федерација БиХ,Мушкарци,%,27.9
2008,Федерација БиХ,Мушкарци,%,28.1
2009,Федерација БиХ,Мушкарци,%,28.1
2010,Федерација БиХ,Мушкарци,%,28.6
2011,Федерација БиХ,Мушкарци,%,28.1
2012,Федерација БиХ,Мушкарци,%,28.4
2013,Федерација БиХ,Мушкарци,%,28.3
2014,Федерација БиХ,Мушкарци,%,28.3
2015,Федерација БиХ,Мушкарци,%,28.5
2016,Федерација БиХ,Мушкарци,%,28.3
2017,Федерација БиХ,Мушкарци,%,28.3
2018,Федерација БиХ,Мушкарци,%,28.5
2019,Федерација БиХ,Мушкарци,%,28.3
1996,Федерација БиХ,Жене,%,24.4
1997,Федерација БиХ,Жене,%,23.8
1998,Федерација БиХ,Жене,%,24.4
1999,Федерација БиХ,Жене,%,24.2
2000,Федерација БиХ,Жене,%,23.9
2001,Федерација БиХ,Жене,%,24.0
2002,Федерација БиХ,Жене,%,24.1
2003,Федерација БиХ,Жене,%,24.2
2004,Федерација БиХ,Жене,%,24.2
2005,Федерација БиХ,Жене,%,24.3
2006,Федерација БиХ,Жене,%,24.3
2007,Федерација БиХ,Жене,%,24.5
2008,Федерација БиХ,Жене,%,24.6
2009,Федерација БиХ,Жене,%,24.8
2010,Федерација БиХ,Жене,%,24.9
2011,Федерација БиХ,Жене,%,25.0
2012,Федерација БиХ,Жене,%,25.2
2013,Федерација БиХ,Жене,%,25.5
2014,Федерација БиХ,Жене,%,25.2
2015,Федерација БиХ,Жене,%,25.5
2016,Федерација БиХ,Жене,%,25.4
2017,Федерација БиХ,Жене,%,25.5
2018,Федерација БиХ,Жене,%,25.8
2019,Федерација БиХ,Жене,%,25.7
1998,Република Српска,Мушкарци,%,28.6
2000,Република Српска,Мушкарци,%,28.6
2003,Република Српска,Мушкарци,%,28.3
2004,Република Српска,Мушкарци,%,28.4
2005,Република Српска,Мушкарци,%,28.6
2006,Република Српска,Мушкарци,%,28.9
2007,Република Српска,Мушкарци,%,28.9
2008,Република Српска,Мушкарци,%,29.1
2009,Република Српска,Мушкарци,%,29.1
2010,Република Српска,Мушкарци,%,29.2
2011,Република Српска,Мушкарци,%,29.5
2012,Република Српска,Мушкарци,%,29.6
2013,Република Српска,Мушкарци,%,29.9
2014,Република Српска,Мушкарци,%,30.1
2015,Република Српска,Мушкарци,%,30.0
2016,Република Српска,Мушкарци,%,29.9
2017,Република Српска,Мушкарци,%,30.2
2018,Република Српска,Мушкарци,%,30.3
2019,Република Српска,Мушкарци,%,30.2
1998,Република Српска,Жене,%,24.7
2000,Република Српска,Жене,%,24.9
2003,Република Српска,Жене,%,24.7
2004,Република Српска,Жене,%,24.8
2005,Република Српска,Жене,%,25.0
2006,Република Српска,Жене,%,25.3
2007,Република Српска,Жене,%,25.4
2008,Република Српска,Жене,%,25.4
2009,Република Српска,Жене,%,25.8
2010,Република Српска,Жене,%,25.9
2011,Република Српска,Жене,%,26.1
2012,Република Српска,Жене,%,26.3
2013,Република Српска,Жене,%,26.6
2014,Република Српска,Жене,%,26.7
2015,Република Српска,Жене,%,26.6
2016,Република Српска,Жене,%,26.7
2017,Република Српска,Жене,%,27.0
2018,Република Српска,Жене,%,27.3
2019,Република Српска,Жене,%,27.2
2004,Брчко Дистрикт БиХ,Мушкарци,%,30.0
2005,Брчко Дистрикт БиХ,Мушкарци,%,29.8
2006,Брчко Дистрикт БиХ,Мушкарци,%,30.1
2007,Брчко Дистрикт БиХ,Мушкарци,%,31.2
2008,Брчко Дистрикт БиХ,Мушкарци,%,30.1
2009,Брчко Дистрикт БиХ,Мушкарци,%,30.3
2010,Брчко Дистрикт БиХ,Мушкарци,%,29.3
2011,Брчко Дистрикт БиХ,Мушкарци,%,30.5
2012,Брчко Дистрикт БиХ,Мушкарци,%,30.7
2013,Брчко Дистрикт БиХ,Мушкарци,%,32.7
2014,Брчко Дистрикт БиХ,Мушкарци,%,30.7
2015,Брчко Дистрикт БиХ,Мушкарци,%,30.7
2016,Брчко Дистрикт БиХ,Мушкарци,%,33.8
2017,Брчко Дистрикт БиХ,Мушкарци,%,32.2
2018,Брчко Дистрикт БиХ,Мушкарци,%,32.4
2019,Брчко Дистрикт БиХ,Мушкарци,%,32.2
2004,Брчко Дистрикт БиХ,Жене,%,26.9
2005,Брчко Дистрикт БиХ,Жене,%,26.7
2006,Брчко Дистрикт БиХ,Жене,%,26.0
2007,Брчко Дистрикт БиХ,Жене,%,27.8
2008,Брчко Дистрикт БиХ,Жене,%,26.6
2009,Брчко Дистрикт БиХ,Жене,%,27.1
2010,Брчко Дистрикт БиХ,Жене,%,27.0
2011,Брчко Дистрикт БиХ,Жене,%,27.3
2012,Брчко Дистрикт БиХ,Жене,%,27.8
2013,Брчко Дистрикт БиХ,Жене,%,29.0
2014,Брчко Дистрикт БиХ,Жене,%,28.1
2015,Брчко Дистрикт БиХ,Жене,%,27.8
2016,Брчко Дистрикт БиХ,Жене,%,30.7
2017,Брчко Дистрикт БиХ,Жене,%,29.0
2018,Брчко Дистрикт БиХ,Жене,%,29.2
2019,Брчко Дистрикт БиХ,Жене,%,29.4
