Year,UNIT_MEASURE,AGE,FERTILITY_RATE,Value
1996,NUMBER,_ALL,total_fertility_rate,1.647
1997,NUMBER,_ALL,total_fertility_rate,1.685
1998,NUMBER,_ALL,total_fertility_rate,1.558
1999,NUMBER,_ALL,total_fertility_rate,1.362
2000,NUMBER,_ALL,total_fertility_rate,1.279
2001,NUMBER,_ALL,total_fertility_rate,1.227
2002,NUMBER,_ALL,total_fertility_rate,1.228
2003,NUMBER,_ALL,total_fertility_rate,1.216
2004,NUMBER,_ALL,total_fertility_rate,1.218
2005,NUMBER,_ALL,total_fertility_rate,1.2
2006,NUMBER,_ALL,total_fertility_rate,1.177
2007,NUMBER,_ALL,total_fertility_rate,1.259
2008,NUMBER,_ALL,total_fertility_rate,1.285
2009,NUMBER,_ALL,total_fertility_rate,1.303
2010,NUMBER,_ALL,total_fertility_rate,1.267
2011,NUMBER,_ALL,total_fertility_rate,1.206
2012,NUMBER,_ALL,total_fertility_rate,1.349
2013,NUMBER,_ALL,total_fertility_rate,1.276
2014,NUMBER,_ALL,total_fertility_rate,1.259
2015,NUMBER,_ALL,total_fertility_rate,1.242
2016,NUMBER,_ALL,total_fertility_rate,1.259
2017,NUMBER,_ALL,total_fertility_rate,1.26
2018,NUMBER,_ALL,total_fertility_rate,1.253
2019,NUMBER,_ALL,total_fertility_rate,1.204
1996,NUMBER,0-15,age_specific_fertility_rates,0.1
1997,NUMBER,0-15,age_specific_fertility_rates,0.1
1998,NUMBER,0-15,age_specific_fertility_rates,0.0
1999,NUMBER,0-15,age_specific_fertility_rates,0.0
2000,NUMBER,0-15,age_specific_fertility_rates,0.0
2001,NUMBER,0-15,age_specific_fertility_rates,0.0
2002,NUMBER,0-15,age_specific_fertility_rates,0.0
2003,NUMBER,0-15,age_specific_fertility_rates,0.0
2004,NUMBER,0-15,age_specific_fertility_rates,0.0
2005,NUMBER,0-15,age_specific_fertility_rates,0.0
2006,NUMBER,0-15,age_specific_fertility_rates,0.0
2007,NUMBER,0-15,age_specific_fertility_rates,0.0
2008,NUMBER,0-15,age_specific_fertility_rates,0.1
2009,NUMBER,0-15,age_specific_fertility_rates,0.1
2010,NUMBER,0-15,age_specific_fertility_rates,0.1
2011,NUMBER,0-15,age_specific_fertility_rates,0.1
2012,NUMBER,0-15,age_specific_fertility_rates,0.0
2013,NUMBER,0-15,age_specific_fertility_rates,0.0
2014,NUMBER,0-15,age_specific_fertility_rates,0.0
2015,NUMBER,0-15,age_specific_fertility_rates,0.0
2016,NUMBER,0-15,age_specific_fertility_rates,0.0
2017,NUMBER,0-15,age_specific_fertility_rates,0.1
2018,NUMBER,0-15,age_specific_fertility_rates,0.1
2019,NUMBER,0-15,age_specific_fertility_rates,0.0
1996,NUMBER,15-19,age_specific_fertility_rates,30.7
1997,NUMBER,15-19,age_specific_fertility_rates,36.1
1998,NUMBER,15-19,age_specific_fertility_rates,26.2
1999,NUMBER,15-19,age_specific_fertility_rates,19.9
2000,NUMBER,15-19,age_specific_fertility_rates,16.6
2001,NUMBER,15-19,age_specific_fertility_rates,17.4
2002,NUMBER,15-19,age_specific_fertility_rates,18.7
2003,NUMBER,15-19,age_specific_fertility_rates,17.4
2004,NUMBER,15-19,age_specific_fertility_rates,17.2
2005,NUMBER,15-19,age_specific_fertility_rates,16.5
2006,NUMBER,15-19,age_specific_fertility_rates,16.4
2007,NUMBER,15-19,age_specific_fertility_rates,15.2
2008,NUMBER,15-19,age_specific_fertility_rates,15.8
2009,NUMBER,15-19,age_specific_fertility_rates,14.8
2010,NUMBER,15-19,age_specific_fertility_rates,13.5
2011,NUMBER,15-19,age_specific_fertility_rates,12.2
2012,NUMBER,15-19,age_specific_fertility_rates,12.3
2013,NUMBER,15-19,age_specific_fertility_rates,11.0
2014,NUMBER,15-19,age_specific_fertility_rates,10.7
2015,NUMBER,15-19,age_specific_fertility_rates,10.5
2016,NUMBER,15-19,age_specific_fertility_rates,11.0
2017,NUMBER,15-19,age_specific_fertility_rates,9.2
2018,NUMBER,15-19,age_specific_fertility_rates,9.5
2019,NUMBER,15-19,age_specific_fertility_rates,9.0
1996,NUMBER,20-24,age_specific_fertility_rates,107.6
1997,NUMBER,20-24,age_specific_fertility_rates,122.5
1998,NUMBER,20-24,age_specific_fertility_rates,113.4
1999,NUMBER,20-24,age_specific_fertility_rates,96.8
2000,NUMBER,20-24,age_specific_fertility_rates,89.6
2001,NUMBER,20-24,age_specific_fertility_rates,87.1
2002,NUMBER,20-24,age_specific_fertility_rates,83.1
2003,NUMBER,20-24,age_specific_fertility_rates,81.5
2004,NUMBER,20-24,age_specific_fertility_rates,81.1
2005,NUMBER,20-24,age_specific_fertility_rates,77.1
2006,NUMBER,20-24,age_specific_fertility_rates,73.4
2007,NUMBER,20-24,age_specific_fertility_rates,68.9
2008,NUMBER,20-24,age_specific_fertility_rates,66.7
2009,NUMBER,20-24,age_specific_fertility_rates,64.5
2010,NUMBER,20-24,age_specific_fertility_rates,59.1
