Year,UNIT_MEASURE,Type_of_user,SEX,Value
2015,NUMBER,_T,_T,561284
2015,NUMBER,_T,M,280867
2015,NUMBER,_T,F,280417
2015,NUMBER,minor_beneficiaries,_T,143552
2015,NUMBER,minor_beneficiaries,M,74753
2015,NUMBER,minor_beneficiaries,F,68799
2015,NUMBER,adult_beneficiaries,_T,417732
2015,NUMBER,adult_beneficiaries,M,206114
2015,NUMBER,adult_beneficiaries,F,211618
2016,NUMBER,_T,_T,542736
2016,NUMBER,_T,M,268561
2016,NUMBER,_T,F,274175
2016,NUMBER,minor_beneficiaries,_T,133504
2016,NUMBER,minor_beneficiaries,M,70405
2016,NUMBER,minor_beneficiaries,F,63099
2016,NUMBER,adult_beneficiaries,_T,409232
2016,NUMBER,adult_beneficiaries,M,198156
2016,NUMBER,adult_beneficiaries,F,211076
2017,NUMBER,_T,_T,541572
2017,NUMBER,_T,M,280855
2017,NUMBER,_T,F,260717
2017,NUMBER,minor_beneficiaries,_T,127682
2017,NUMBER,minor_beneficiaries,M,67353
2017,NUMBER,minor_beneficiaries,F,60329
2017,NUMBER,adult_beneficiaries,_T,413890
2017,NUMBER,adult_beneficiaries,M,213502
2017,NUMBER,adult_beneficiaries,F,200388
2018,NUMBER,_T,_T,549546
2018,NUMBER,_T,M,283301
2018,NUMBER,_T,F,266245
2018,NUMBER,minor_beneficiaries,_T,129673
2018,NUMBER,minor_beneficiaries,M,69291
2018,NUMBER,minor_beneficiaries,F,60382
2018,NUMBER,adult_beneficiaries,_T,419873
2018,NUMBER,adult_beneficiaries,M,214010
2018,NUMBER,adult_beneficiaries,F,205863
2019,NUMBER,_T,_T,540302
2019,NUMBER,_T,M,279848
2019,NUMBER,_T,F,260454
2019,NUMBER,minor_beneficiaries,_T,126324
2019,NUMBER,minor_beneficiaries,M,67023
2019,NUMBER,minor_beneficiaries,F,59301
2019,NUMBER,adult_beneficiaries,_T,413978
2019,NUMBER,adult_beneficiaries,M,212825
2019,NUMBER,adult_beneficiaries,F,201153
2020,NUMBER,_T,_T,546605
2020,NUMBER,_T,M,279742
2020,NUMBER,_T,F,266863
2020,NUMBER,minor_beneficiaries,_T,119875
2020,NUMBER,minor_beneficiaries,M,64126
2020,NUMBER,minor_beneficiaries,F,55749
2020,NUMBER,adult_beneficiaries,_T,426730
2020,NUMBER,adult_beneficiaries,M,215616
2020,NUMBER,adult_beneficiaries,F,211114
