Year,CAUSE_OF_DEATH,UNIT_MEASURE,Value
1999,neoplasms,NUMBER,123.0
1999,diseases_of_the_circulatory,NUMBER,427.0
1999,diseases_of_the_respiratory,NUMBER,23.25
1999,diseases_of_the_digestive,NUMBER,19.0
1999,symptoms_signs_and_abnormal,NUMBER,68.51
1999,injuries_poisoning_and_consequences,NUMBER,27.44
2000,neoplasms,NUMBER,135.0
2000,diseases_of_the_circulatory,NUMBER,431.0
2000,diseases_of_the_respiratory,NUMBER,21.29
2000,diseases_of_the_digestive,NUMBER,22.0
2000,symptoms_signs_and_abnormal,NUMBER,75.64
2000,injuries_poisoning_and_consequences,NUMBER,28.85
2000,infectious_and_parasitic,NUMBER,6.77
2000,neoplasms,NUMBER,141.0
2000,diseases_of_the_blood,NUMBER,0.53
2000,endocrine_metabolic_and_nutritional,NUMBER,18.0
2000,mental_and_behavioural_disorders,NUMBER,1.26
2000,diseases_of_the_nervous,NUMBER,4.0
2000,diseases_of_the_eye,NUMBER,0.03
2000,diseases_of_the_circulatory,NUMBER,430.0
2000,diseases_of_the_respiratory,NUMBER,19.62
2000,diseases_of_the_digestive,NUMBER,22.0
2000,diseases_of_the_skin,NUMBER,0.45
2000,diseases_of_the_genitourinary,NUMBER,10.45
2000,certain_conditions_originating,NUMBER,4.95
2000,congenital_malformations_deformations,NUMBER,1.13
2000,symptoms_signs_and_abnormal,NUMBER,79.81
2000,injuries_poisoning_and_consequences,NUMBER,26.78
2000,external_causes_of_mortality,NUMBER,6.87
2000,factors_influencing_health_status,NUMBER,0.03
2000,unknown,NUMBER,25.12
2002,infectious_and_parasitic,NUMBER,6.87
2002,neoplasms,NUMBER,138.0
2002,diseases_of_the_blood,NUMBER,0.5
2002,endocrine_metabolic_and_nutritional,NUMBER,23.0
2002,mental_and_behavioural_disorders,NUMBER,1.72
2002,diseases_of_the_nervous,NUMBER,4.0
2002,diseases_of_the_eye,NUMBER,0.03
2002,diseases_of_the_circulatory,NUMBER,418.0
2002,diseases_of_the_respiratory,NUMBER,21.34
2002,diseases_of_the_digestive,NUMBER,21.0
2002,diseases_of_the_skin,NUMBER,0.44
2002,diseases_of_the_genitourinary,NUMBER,5.72
2002,certain_conditions_originating,NUMBER,5.9
2002,congenital_malformations_deformations,NUMBER,1.46
2002,symptoms_signs_and_abnormal,NUMBER,77.93
2002,injuries_poisoning_and_consequences,NUMBER,25.71
2002,external_causes_of_mortality,NUMBER,6.32
2002,factors_influencing_health_status,NUMBER,0.03
2002,unknown,NUMBER,46.76
2003,neoplasms,NUMBER,151.0
2003,diseases_of_the_circulatory,NUMBER,443.0
2003,diseases_of_the_respiratory,NUMBER,22.86
2003,diseases_of_the_digestive,NUMBER,21.0
2003,symptoms_signs_and_abnormal,NUMBER,82.62
2003,injuries_poisoning_and_consequences,NUMBER,24.79
2003,unknown,NUMBER,20.09
2004,infectious_and_parasitic,NUMBER,6.64
2004,neoplasms,NUMBER,149.0
2004,diseases_of_the_blood,NUMBER,0.81
2004,endocrine_metabolic_and_nutritional,NUMBER,26.0
2004,mental_and_behavioural_disorders,NUMBER,2.71
2004,diseases_of_the_nervous,NUMBER,7.0
2004,diseases_of_the_circulatory,NUMBER,461.0
2004,diseases_of_the_respiratory,NUMBER,23.61
2004,diseases_of_the_digestive,NUMBER,22.0
2004,diseases_of_the_skin,NUMBER,0.29
2004,diseases_of_the_genitourinary,NUMBER,12.16
2004,certain_conditions_originating,NUMBER,4.24
2004,congenital_malformations_deformations,NUMBER,1.09
2004,symptoms_signs_and_abnormal,NUMBER,70.87
2004,injuries_poisoning_and_consequences,NUMBER,23.95
2004,external_causes_of_mortality,NUMBER,7.11
2004,factors_influencing_health_status,NUMBER,0.03
2004,unknown,NUMBER,31.49
2005,neoplasms,NUMBER,163.0
2005,diseases_of_the_circulatory,NUMBER,466.0
2005,diseases_of_the_respiratory,NUMBER,32.32
2005,diseases_of_the_digestive,NUMBER,21.0
2005,symptoms_signs_and_abnormal,NUMBER,62.3
2005,injuries_poisoning_and_consequences,NUMBER,24.77
2005,neoplasms,NUMBER,3.14
2005,diseases_of_the_circulatory,NUMBER,10.19
2005,diseases_of_the_respiratory,NUMBER,512.0
2005,diseases_of_the_digestive,NUMBER,390.0
2005,symptoms_signs_and_abnormal,NUMBER,62.3
2005,injuries_poisoning_and_consequences,NUMBER,24.77
2006,infectious_and_parasitic,NUMBER,6.17
2006,neoplasms,NUMBER,163.0
2006,diseases_of_the_blood,NUMBER,0.52
2006,endocrine_metabolic_and_nutritional,NUMBER,40.0
2006,mental_and_behavioural_disorders,NUMBER,3.07
2006,diseases_of_the_nervous,NUMBER,8.0
2006,diseases_of_the_eye,NUMBER,0.03
2006,diseases_of_the_circulatory,NUMBER,442.0
2006,diseases_of_the_respiratory,NUMBER,29.46
2006,diseases_of_the_digestive,NUMBER,21.0
2006,diseases_of_the_skin,NUMBER,0.29
2006,diseases_of_the_genitourinary,NUMBER,14.23
2006,certain_conditions_originating,NUMBER,4.81
2006,congenital_malformations_deformations,NUMBER,1.46
2006,symptoms_signs_and_abnormal,NUMBER,71.4
2006,injuries_poisoning_and_consequences,NUMBER,26.46
2006,external_causes_of_mortality,NUMBER,5.52
2006,factors_influencing_health_status,NUMBER,0.03
2006,unknown,NUMBER,27.09
2007,infectious_and_parasitic,NUMBER,6.51
2007,neoplasms,NUMBER,175.0
2007,diseases_of_the_blood,NUMBER,1.41
2007,endocrine_metabolic_and_nutritional,NUMBER,41.0
2007,mental_and_behavioural_disorders,NUMBER,4.22
2007,diseases_of_the_nervous,NUMBER,8.0
2007,diseases_of_the_eye,NUMBER,0.03
2007,diseases_of_the_circulatory,NUMBER,482.0
2007,diseases_of_the_respiratory,NUMBER,29.8
2007,diseases_of_the_digestive,NUMBER,24.0
2007,diseases_of_the_skin,NUMBER,0.26
2007,diseases_of_the_musculoskeletal,NUMBER,1.0
2007,diseases_of_the_genitourinary,NUMBER,14.52
2007,certain_conditions_originating,NUMBER,3.46
2007,congenital_malformations_deformations,NUMBER,1.41
2007,symptoms_signs_and_abnormal,NUMBER,57.76
2007,injuries_poisoning_and_consequences,NUMBER,26.81
2007,external_causes_of_mortality,NUMBER,6.95
2007,unknown,NUMBER,28.01
2008,infectious_and_parasitic,NUMBER,7.16
2008,neoplasms,NUMBER,175.0
2008,diseases_of_the_blood,NUMBER,0.96
2008,endocrine_metabolic_and_nutritional,NUMBER,41.0
2008,mental_and_behavioural_disorders,NUMBER,4.4
2008,diseases_of_the_nervous,NUMBER,7.0
2008,diseases_of_the_eye,NUMBER,0.03
2008,diseases_of_the_circulatory,NUMBER,468.0
2008,diseases_of_the_respiratory,NUMBER,26.94
2008,diseases_of_the_digestive,NUMBER,22.0
2008,diseases_of_the_skin,NUMBER,0.26
2008,diseases_of_the_musculoskeletal,NUMBER,1.0
2008,diseases_of_the_genitourinary,NUMBER,14.86
2008,certain_conditions_originating,NUMBER,3.54
2008,congenital_malformations_deformations,NUMBER,1.59
2008,symptoms_signs_and_abnormal,NUMBER,52.79
2008,injuries_poisoning_and_consequences,NUMBER,31.23
2008,external_causes_of_mortality,NUMBER,0.05
2008,unknown,NUMBER,27.04
2009,infectious_and_parasitic,NUMBER,7.47
2009,neoplasms,NUMBER,181.0
2009,diseases_of_the_blood,NUMBER,1.07
2009,endocrine_metabolic_and_nutritional,NUMBER,52.0
2009,mental_and_behavioural_disorders,NUMBER,4.97
2009,diseases_of_the_nervous,NUMBER,8.0
2009,diseases_of_the_circulatory,NUMBER,476.0
2009,diseases_of_the_respiratory,NUMBER,29.48
2009,diseases_of_the_digestive,NUMBER,24.0
2009,diseases_of_the_skin,NUMBER,0.23
2009,diseases_of_the_musculoskeletal,NUMBER,1.0
2009,diseases_of_the_genitourinary,NUMBER,15.3
2009,certain_conditions_originating,NUMBER,3.75
2009,congenital_malformations_deformations,NUMBER,1.59
2009,symptoms_signs_and_abnormal,NUMBER,51.65
2009,injuries_poisoning_and_consequences,NUMBER,32.68
2009,external_causes_of_mortality,NUMBER,0.05
2009,factors_influencing_health_status,NUMBER,0.05
2009,unknown,NUMBER,16.91
2010,infectious_and_parasitic,NUMBER,7.42
2010,neoplasms,NUMBER,181.0
