Year,CAUSE_OF_DEATH,UNIT_MEASURE,SEX,Value
1999,neoplasms,NUMBER,_T,4.591
1999,diseases_of_the_circulatory,NUMBER,_T,15.911
1999,diseases_of_the_respiratory,NUMBER,_T,866.0
1999,diseases_of_the_digestive,NUMBER,_T,709.0
1999,symptoms_signs_and_abnormal,NUMBER,_T,2552.0
1999,injuries_poisoning_and_consequences,NUMBER,_T,1022.0
1999,total,NUMBER,_T,25651.0
1999,neoplasms,NUMBER,M,2.752
1999,diseases_of_the_circulatory,NUMBER,M,7.7
1999,diseases_of_the_respiratory,NUMBER,M,498.0
1999,diseases_of_the_digestive,NUMBER,M,445.0
1999,symptoms_signs_and_abnormal,NUMBER,M,1347.0
1999,injuries_poisoning_and_consequences,NUMBER,M,786.0
1999,total,NUMBER,M,13528.0
1999,neoplasms,NUMBER,F,1.839
1999,diseases_of_the_circulatory,NUMBER,F,8.211
1999,diseases_of_the_respiratory,NUMBER,F,368.0
1999,diseases_of_the_digestive,NUMBER,F,264.0
1999,symptoms_signs_and_abnormal,NUMBER,F,1205.0
1999,injuries_poisoning_and_consequences,NUMBER,F,236.0
1999,total,NUMBER,F,12123.0
2000,neoplasms,NUMBER,_T,5.122
2000,diseases_of_the_circulatory,NUMBER,_T,16.283
2000,diseases_of_the_respiratory,NUMBER,_T,805.0
2000,diseases_of_the_digestive,NUMBER,_T,848.0
2000,symptoms_signs_and_abnormal,NUMBER,_T,2860.0
2000,injuries_poisoning_and_consequences,NUMBER,_T,1091.0
2000,total,NUMBER,_T,27009.0
2000,neoplasms,NUMBER,M,3.144
2000,diseases_of_the_circulatory,NUMBER,M,7.81
2000,diseases_of_the_respiratory,NUMBER,M,464.0
2000,diseases_of_the_digestive,NUMBER,M,518.0
2000,symptoms_signs_and_abnormal,NUMBER,M,1484.0
2000,injuries_poisoning_and_consequences,NUMBER,M,812.0
2000,total,NUMBER,M,14232.0
2000,neoplasms,NUMBER,F,1.978
2000,diseases_of_the_circulatory,NUMBER,F,8.473
2000,diseases_of_the_respiratory,NUMBER,F,341.0
2000,diseases_of_the_digestive,NUMBER,F,330.0
2000,symptoms_signs_and_abnormal,NUMBER,F,1376.0
2000,injuries_poisoning_and_consequences,NUMBER,F,279.0
2000,total,NUMBER,F,12777.0
2001,infectious_and_parasitic,NUMBER,_T,257.0
2001,neoplasms,NUMBER,_T,5.347
2001,diseases_of_the_blood,NUMBER,_T,20.0
2001,endocrine_metabolic_and_nutritional,NUMBER,_T,667.0
2001,mental_and_behavioural_disorders,NUMBER,_T,48.0
2001,diseases_of_the_nervous,NUMBER,_T,161.0
2001,diseases_of_the_eye,NUMBER,_T,1.0
2001,diseases_of_the_circulatory,NUMBER,_T,16.328
2001,diseases_of_the_respiratory,NUMBER,_T,745.0
2001,diseases_of_the_digestive,NUMBER,_T,827.0
2001,diseases_of_the_skin,NUMBER,_T,17.0
2001,diseases_of_the_musculoskeletal,NUMBER,_T,14.0
2001,diseases_of_the_genitourinary,NUMBER,_T,397.0
2001,pregnancy_childbirth_and_the,NUMBER,_T,1.0
2001,certain_conditions_originating,NUMBER,_T,188.0
2001,congenital_malformations_deformations,NUMBER,_T,43.0
2001,symptoms_signs_and_abnormal,NUMBER,_T,3031.0
2001,injuries_poisoning_and_consequences,NUMBER,_T,1017.0
2001,external_causes_of_mortality,NUMBER,_T,261.0
2001,factors_influencing_health_status,NUMBER,_T,1.0
2001,unknown,NUMBER,_T,954.0
2001,total,NUMBER,_T,30325.0
2001,infectious_and_parasitic,NUMBER,M,157.0
2001,neoplasms,NUMBER,M,3.288
2001,diseases_of_the_blood,NUMBER,M,7.0
2001,endocrine_metabolic_and_nutritional,NUMBER,M,240.0
2001,mental_and_behavioural_disorders,NUMBER,M,37.0
2001,diseases_of_the_nervous,NUMBER,M,79.0
2001,diseases_of_the_eye,NUMBER,M,1.0
2001,diseases_of_the_circulatory,NUMBER,M,7.943
2001,diseases_of_the_respiratory,NUMBER,M,434.0
2001,diseases_of_the_digestive,NUMBER,M,540.0
2001,diseases_of_the_skin,NUMBER,M,5.0
2001,diseases_of_the_musculoskeletal,NUMBER,M,6.0
2001,diseases_of_the_genitourinary,NUMBER,M,200.0
2001,pregnancy_childbirth_and_the,NUMBER,M,0.0
2001,certain_conditions_originating,NUMBER,M,109.0
2001,congenital_malformations_deformations,NUMBER,M,18.0
2001,symptoms_signs_and_abnormal,NUMBER,M,1637.0
2001,injuries_poisoning_and_consequences,NUMBER,M,768.0
2001,external_causes_of_mortality,NUMBER,M,206.0
2001,unknown,NUMBER,M,527.0
2001,total,NUMBER,M,16202.0
2001,infectious_and_parasitic,NUMBER,F,100.0
2001,neoplasms,NUMBER,F,2.059
2001,diseases_of_the_blood,NUMBER,F,13.0
2001,endocrine_metabolic_and_nutritional,NUMBER,F,427.0
2001,mental_and_behavioural_disorders,NUMBER,F,11.0
2001,diseases_of_the_nervous,NUMBER,F,82.0
2001,diseases_of_the_circulatory,NUMBER,F,8.385
2001,diseases_of_the_respiratory,NUMBER,F,311.0
2001,diseases_of_the_digestive,NUMBER,F,287.0
2001,diseases_of_the_skin,NUMBER,F,12.0
2001,diseases_of_the_musculoskeletal,NUMBER,F,8.0
2001,diseases_of_the_genitourinary,NUMBER,F,197.0
2001,pregnancy_childbirth_and_the,NUMBER,F,1.0
2001,certain_conditions_originating,NUMBER,F,79.0
2001,congenital_malformations_deformations,NUMBER,F,25.0
2001,symptoms_signs_and_abnormal,NUMBER,F,1394.0
2001,injuries_poisoning_and_consequences,NUMBER,F,249.0
2001,external_causes_of_mortality,NUMBER,F,55.0
2001,factors_influencing_health_status,NUMBER,F,1.0
2001,unknown,NUMBER,F,427.0
2001,total,NUMBER,F,14123.0
2002,infectious_and_parasitic,NUMBER,_T,263.0
2002,neoplasms,NUMBER,_T,5.288
2002,diseases_of_the_blood,NUMBER,_T,19.0
