Year,UNIT_MEASURE,AGE,SEX,Municipality,Value
2013,NUMBER,Total,_T,Banja Luka,185042
2013,NUMBER,Total,_T,Banovići,22773
2013,NUMBER,Total,_T,Berkovići,2114
2013,NUMBER,Total,_T,Bihać,56261
2013,NUMBER,Total,_T,Bijeljina,107715
2013,NUMBER,Total,_T,Bileća,10807
2013,NUMBER,Total,_T,Bosanska Krupa,25545
2013,NUMBER,Total,_T,Bosanski Petrovac,7328
2013,NUMBER,Total,_T,Bosansko Grahovo,2449
2013,NUMBER,Total,_T,Bratunac,20340
2013,NUMBER,Total,_T,Brčko,83516
2013,NUMBER,Total,_T,Breza,14168
2013,NUMBER,Total,_T,Brod,16619
2013,NUMBER,Total,_T,Bugojno,31470
2013,NUMBER,Total,_T,Busovača,17910
2013,NUMBER,Total,_T,Bužim,19340
2013,NUMBER,Total,_T,Cazin,66149
2013,NUMBER,Total,_T,Sarajevo - Centar,55181
2013,NUMBER,Total,_T,Čajniče,4895
2013,NUMBER,Total,_T,Čapljina,26157
2013,NUMBER,Total,_T,Čelić,10502
2013,NUMBER,Total,_T,Čelinac,15548
2013,NUMBER,Total,_T,Čitluk,18140
2013,NUMBER,Total,_T,Derventa,27404
2013,NUMBER,Total,_T,Doboj,71441
2013,NUMBER,Total,_T,Doboj-Istok,10248
2013,NUMBER,Total,_T,Doboj-Jug,4137
2013,NUMBER,Total,_T,Dobretići,1629
2013,NUMBER,Total,_T,Domaljevac-Šamac,4771
2013,NUMBER,Total,_T,Donji Vakuf,13985
2013,NUMBER,Total,_T,Donji Žabar,3809
2013,NUMBER,Total,_T,Drvar,7036
2013,NUMBER,Total,_T,Foča - FBIH,1933
2013,NUMBER,Total,_T,Foča - RS,18288
2013,NUMBER,Total,_T,Fojnica,12356
2013,NUMBER,Total,_T,Gacko,8990
2013,NUMBER,Total,_T,Glamoč,3860
2013,NUMBER,Total,_T,Goražde,20897
2013,NUMBER,Total,_T,Gornji Vakuf-Uskoplje,20933
2013,NUMBER,Total,_T,Gračanica,45220
2013,NUMBER,Total,_T,Gradačac,39340
2013,NUMBER,Total,_T,Gradiška,51727
2013,NUMBER,Total,_T,Grude,17308
2013,NUMBER,Total,_T,Sarajevo - Hadžići,23891
2013,NUMBER,Total,_T,Han Pijesak,3530
2013,NUMBER,Total,_T,Sarajevo - Ilidža,66730
2013,NUMBER,Total,_T,Sarajevo - Ilijaš,19603
2013,NUMBER,Total,_T,Istočna Ilidža,14763
2013,NUMBER,Total,_T,Istočni Drvar,79
2013,NUMBER,Total,_T,Istočni Mostar,257
2013,NUMBER,Total,_T,Istočni Stari Grad,1131
2013,NUMBER,Total,_T,Istočno Novo Sarajevo,10642
2013,NUMBER,Total,_T,Jablanica,10111
2013,NUMBER,Total,_T,Jajce,27258
2013,NUMBER,Total,_T,Jezero,1144
2013,NUMBER,Total,_T,Kakanj,37441
2013,NUMBER,Total,_T,Kalesija,33053
2013,NUMBER,Total,_T,Kalinovik,2029
2013,NUMBER,Total,_T,Kiseljak,20722
2013,NUMBER,Total,_T,Kladanj,12348
2013,NUMBER,Total,_T,Ključ,16744
2013,NUMBER,Total,_T,Kneževo,9793
2013,NUMBER,Total,_T,Konjic,25148
2013,NUMBER,Total,_T,Kostajnica,5977
2013,NUMBER,Total,_T,Kotor Varoš,19710
2013,NUMBER,Total,_T,Kozarska Dubica,21524
2013,NUMBER,Total,_T,Kreševo,5273
2013,NUMBER,Total,_T,Krupa Na Uni,1597
2013,NUMBER,Total,_T,Kupres - FBIH,5057
2013,NUMBER,Total,_T,Kupres - RS,300
2013,NUMBER,Total,_T,Laktaši,34966
2013,NUMBER,Total,_T,Livno,34133
2013,NUMBER,Total,_T,Lopare,15357
2013,NUMBER,Total,_T,Lukavac,44520
2013,NUMBER,Total,_T,Ljubinje,3511
2013,NUMBER,Total,_T,Ljubuški,28184
2013,NUMBER,Total,_T,Maglaj,23146
2013,NUMBER,Total,_T,Milići,11441
2013,NUMBER,Total,_T,Modriča,25720
2013,NUMBER,Total,_T,Mostar,105797
2013,NUMBER,Total,_T,Mrkonjić Grad,16671
2013,NUMBER,Total,_T,Neum,4653
2013,NUMBER,Total,_T,Nevesinje,12961
2013,NUMBER,Total,_T,Novi Grad,27115
2013,NUMBER,Total,_T,Sarajevo - Novi Grad,118553
2013,NUMBER,Total,_T,Novi Travnik,23832
2013,NUMBER,Total,_T,Novo Goražde,3117
2013,NUMBER,Total,_T,Sarajevo - Novo Sarajevo,64814
2013,NUMBER,Total,_T,Odžak,18821
2013,NUMBER,Total,_T,Olovo,10175
2013,NUMBER,Total,_T,Orašje,19861
2013,NUMBER,Total,_T,Osmaci,6016
2013,NUMBER,Total,_T,Oštra Luka,2786
2013,NUMBER,Total,_T,Pale - FBIH,904
2013,NUMBER,Total,_T,Pale - RS,20909
2013,NUMBER,Total,_T,Pelagićevo,5220
2013,NUMBER,Total,_T,Petrovac,361
2013,NUMBER,Total,_T,Petrovo,6474
2013,NUMBER,Total,_T,Posušje,20477
2013,NUMBER,Total,_T,Prijedor,89397
2013,NUMBER,Total,_T,Prnjavor,35956
2013,NUMBER,Total,_T,Prozor,14280
2013,NUMBER,Total,_T,Ravno,3219
2013,NUMBER,Total,_T,Ribnik,6048
2013,NUMBER,Total,_T,Rogatica,10723
2013,NUMBER,Total,_T,Rudo,7963
2013,NUMBER,Total,_T,Sanski Most,41475
2013,NUMBER,Total,_T,Sapna,11178
2013,NUMBER,Total,_T,Sokolac,12021
2013,NUMBER,Total,_T,Srbac,17587
2013,NUMBER,Total,_T,Srebrenica,13409
2013,NUMBER,Total,_T,Srebrenik,39678
2013,NUMBER,Total,_T,Sarajevo - Stari Grad,36976
2013,NUMBER,Total,_T,Stolac,14502
2013,NUMBER,Total,_T,Šamac,17273
2013,NUMBER,Total,_T,Šekovići,6761
2013,NUMBER,Total,_T,Šipovo,10293
2013,NUMBER,Total,_T,Široki Brijeg,28929
2013,NUMBER,Total,_T,Teočak,7424
2013,NUMBER,Total,_T,Teslić,38536
2013,NUMBER,Total,_T,Tešanj,43063
2013,NUMBER,Total,_T,Tomislavgrad,31592
2013,NUMBER,Total,_T,Travnik,53482
2013,NUMBER,Total,_T,Trebinje,29198
2013,NUMBER,Total,_T,Trnovo - FBIH,1502
2013,NUMBER,Total,_T,Trnovo - RS,2050
2013,NUMBER,Total,_T,Tuzla,110979
2013,NUMBER,Total,_T,Ugljevik,15710
2013,NUMBER,Total,_T,Usora,6603
2013,NUMBER,Total,_T,Vareš,8892
2013,NUMBER,Total,_T,Velika Kladuša,40419
2013,NUMBER,Total,_T,Visoko,39938
2013,NUMBER,Total,_T,Višegrad,10668
2013,NUMBER,Total,_T,Vitez,25836
2013,NUMBER,Total,_T,Vlasenica,11467
2013,NUMBER,Total,_T,Sarajevo - Vogošća,26343
2013,NUMBER,Total,_T,Vukosavlje,4667
2013,NUMBER,Total,_T,Zavidovići,35988
2013,NUMBER,Total,_T,Zenica,110663
2013,NUMBER,Total,_T,Zvornik,58856
2013,NUMBER,Total,_T,Žepče,30219
2013,NUMBER,Total,_T,Živinice,57765
2013,NUMBER,0-4,_T,Banja Luka,9610
2013,NUMBER,0-4,_T,Banovići,1206
2013,NUMBER,0-4,_T,Berkovići,93
2013,NUMBER,0-4,_T,Bihać,2652
2013,NUMBER,0-4,_T,Bijeljina,5080
2013,NUMBER,0-4,_T,Bileća,487
2013,NUMBER,0-4,_T,Bosanska Krupa,1423
2013,NUMBER,0-4,_T,Bosanski Petrovac,249
2013,NUMBER,0-4,_T,Bosansko Grahovo,69
2013,NUMBER,0-4,_T,Bratunac,948
2013,NUMBER,0-4,_T,Brčko,4165
2013,NUMBER,0-4,_T,Breza,698
2013,NUMBER,0-4,_T,Brod,771
2013,NUMBER,0-4,_T,Bugojno,1484
2013,NUMBER,0-4,_T,Busovača,961
2013,NUMBER,0-4,_T,Bužim,1405
2013,NUMBER,0-4,_T,Cazin,3940
2013,NUMBER,0-4,_T,Sarajevo - Centar,2588
2013,NUMBER,0-4,_T,Čajniče,185
