Year,UNIT_MEASURE,Type_of_user,Value
2015,NUMBER,_T,417858
2015,NUMBER,minor_beneficiaries,80736
2015,NUMBER,adult_beneficiaries,337122
2016,NUMBER,_T,426629
2016,NUMBER,minor_beneficiaries,79126
2016,NUMBER,adult_beneficiaries,347503
2017,NUMBER,_T,423030
2017,NUMBER,minor_beneficiaries,74690
2017,NUMBER,adult_beneficiaries,348340
2018,NUMBER,_T,440250
2018,NUMBER,minor_beneficiaries,66576
2018,NUMBER,adult_beneficiaries,373674
2019,NUMBER,_T,404084
2019,NUMBER,minor_beneficiaries,55438
2019,NUMBER,adult_beneficiaries,348646
2020,NUMBER,_T,375866
2020,NUMBER,minor_beneficiaries,54792
2020,NUMBER,adult_beneficiaries,321074
