Year,UNIT_MEASURE,AGE,Value
1996,children_pre_woman,0-15,0.1
1997,children_pre_woman,0-15,0.1
1998,children_pre_woman,0-15,0.0
1999,children_pre_woman,0-15,0.0
2000,children_pre_woman,0-15,0.0
2001,children_pre_woman,0-15,0.0
2002,children_pre_woman,0-15,0.1
2003,children_pre_woman,0-15,0.1
2004,children_pre_woman,0-15,0.1
2005,children_pre_woman,0-15,0.0
2006,children_pre_woman,0-15,0.1
2007,children_pre_woman,0-15,0.0
2008,children_pre_woman,0-15,0.1
2009,children_pre_woman,0-15,0.1
2010,children_pre_woman,0-15,0.1
2011,children_pre_woman,0-15,0.1
2012,children_pre_woman,0-15,0.0
2013,children_pre_woman,0-15,0.0
2014,children_pre_woman,0-15,0.0
2015,children_pre_woman,0-15,0.0
2016,children_pre_woman,0-15,0.0
2017,children_pre_woman,0-15,0.1
2018,children_pre_woman,0-15,0.1
2019,children_pre_woman,0-15,0.0
1996,children_pre_woman,15-19,30.7
1997,children_pre_woman,15-19,36.1
1998,children_pre_woman,15-19,26.2
1999,children_pre_woman,15-19,19.9
2000,children_pre_woman,15-19,16.6
2001,children_pre_woman,15-19,17.4
2002,children_pre_woman,15-19,18.7
2003,children_pre_woman,15-19,17.4
2004,children_pre_woman,15-19,17.2
2005,children_pre_woman,15-19,16.5
2006,children_pre_woman,15-19,16.4
2007,children_pre_woman,15-19,15.2
2008,children_pre_woman,15-19,15.8
2009,children_pre_woman,15-19,14.8
2010,children_pre_woman,15-19,13.5
2011,children_pre_woman,15-19,12.2
2012,children_pre_woman,15-19,12.3
2013,children_pre_woman,15-19,11.0
2014,children_pre_woman,15-19,10.7
2015,children_pre_woman,15-19,10.5
2016,children_pre_woman,15-19,11.0
2017,children_pre_woman,15-19,9.2
2018,children_pre_woman,15-19,9.5
2019,children_pre_woman,15-19,9.0
1996,children_pre_woman,20-24,107.6
1997,children_pre_woman,20-24,122.5
1998,children_pre_woman,20-24,113.4
1999,children_pre_woman,20-24,96.8
2000,children_pre_woman,20-24,89.6
2001,children_pre_woman,20-24,87.1
2002,children_pre_woman,20-24,83.1
2003,children_pre_woman,20-24,81.5
2004,children_pre_woman,20-24,81.1
2005,children_pre_woman,20-24,77.1
2006,children_pre_woman,20-24,73.4
2007,children_pre_woman,20-24,68.9
2008,children_pre_woman,20-24,66.7
2009,children_pre_woman,20-24,64.5
2010,children_pre_woman,20-24,59.1
2011,children_pre_woman,20-24,54.0
2012,children_pre_woman,20-24,59.0
2013,children_pre_woman,20-24,52.2
2014,children_pre_woman,20-24,48.6
2015,children_pre_woman,20-24,46.8
2016,children_pre_woman,20-24,55.6
2017,children_pre_woman,20-24,53.9
2018,children_pre_woman,20-24,51.8
