Year,UNIT_MEASURE,Value
1971,Broj na 1.000 stanovnika,9.4
1981,Broj na 1.000 stanovnika,8.9
1991,Broj na 1.000 stanovnika,6.5
1996,Broj na 1.000 stanovnika,5.8
1997,Broj na 1.000 stanovnika,6.2
1998,Broj na 1.000 stanovnika,6.1
1999,Broj na 1.000 stanovnika,6.0
2000,Broj na 1.000 stanovnika,5.8
2001,Broj na 1.000 stanovnika,5.3
2002,Broj na 1.000 stanovnika,5.3
2003,Broj na 1.000 stanovnika,5.4
2004,Broj na 1.000 stanovnika,5.8
2005,Broj na 1.000 stanovnika,5.6
2006,Broj na 1.000 stanovnika,5.6
2007,Broj na 1.000 stanovnika,6.12
2008,Broj na 1.000 stanovnika,5.77
2009,Broj na 1.000 stanovnika,5.37
2010,Broj na 1.000 stanovnika,5.08
2011,Broj na 1.000 stanovnika,4.99
2012,Broj na 1.000 stanovnika,4.75
2013,Broj na 1.000 stanovnika,5.0
2014,Broj na 1.000 stanovnika,5.3
2015,Broj na 1.000 stanovnika,5.6
2016,Broj na 1.000 stanovnika,5.5
2017,Broj na 1.000 stanovnika,5.7
2018,Broj na 1.000 stanovnika,5.7
2019,Broj na 1.000 stanovnika,5.4
