Year,UNIT_MEASURE,AGE,FORM_OF_VIOLENCE,Entity,Value
2013,_%,15+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,47.2
2013,_%,15+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),FBIH,47.2
2013,_%,15+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),RS,47.3
2013,_%,18-24,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,56.8
2013,_%,18-24,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),FBIH,54.0
2013,_%,18-24,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),RS,63.2
2013,_%,25-34,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,56.4
2013,_%,25-35,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),FBIH,54.4
2013,_%,25-36,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),RS,60.2
2013,_%,34-44,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,46.8
2013,_%,34-45,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),FBIH,46.4
2013,_%,34-46,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),RS,47.6
2013,_%,45-54,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,47.5
2013,_%,45-55,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),FBIH,47.0
2013,_%,45-56,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),RS,48.4
2013,_%,55-64,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,44.2
2013,_%,55-64,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),FBIH,43.7
2013,_%,55-64,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),RS,45.1
2013,_%,65+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,44.2
2013,_%,65+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),FBIH,46.3
2013,_%,65+,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),RS,41.2
