Year,UNIT_MEASURE,Године,Административно подручје,Value
2013,% од укупно,15+,BiH,47.2
2013,% од укупно,15+,Федерација БиХ,47.2
2013,% од укупно,15+,Република Српска,47.3
2013,% од укупно,18-24,BiH,56.8
2013,% од укупно,18-24,Федерација БиХ,54.0
2013,% од укупно,18-24,Република Српска,63.2
2013,% од укупно,25-34,BiH,56.4
2013,% од укупно,25-34,Федерација БиХ,54.4
2013,% од укупно,25-34,Република Српска,60.2
2013,% од укупно,35-44,BiH,46.8
2013,% од укупно,35-44,Федерација БиХ,46.4
2013,% од укупно,35-44,Република Српска,47.6
2013,% од укупно,45-54,BiH,47.5
2013,% од укупно,45-54,Федерација БиХ,47.0
2013,% од укупно,45-54,Република Српска,48.4
2013,% од укупно,55-64,BiH,44.2
2013,% од укупно,55-64,Федерација БиХ,43.7
2013,% од укупно,55-64,Република Српска,45.1
2013,% од укупно,65+,BiH,44.2
2013,% од укупно,65+,Федерација БиХ,46.3
2013,% од укупно,65+,Република Српска,41.2
