Year,UNIT_MEASURE,AGE,SEX,ACTIVITY_RATES,Value
2006,_%,15+,_T,active_labour_force,43.1
2006,_%,15 - 24,_T,active_labour_force,33.4
2006,_%,25 - 49,_T,active_labour_force,66.0
2006,_%,50 - 64,_T,active_labour_force,36.6
2006,_%,65+,_T,active_labour_force,5.7
2006,_%,15 - 64,_T,active_labour_force,51.3
2006,_%,15+,M,active_labour_force,56.2
2006,_%,15 - 24,M,active_labour_force,40.1
2006,_%,25 - 49,M,active_labour_force,81.9
2006,_%,50 - 64,M,active_labour_force,53.4
2006,_%,65+,M,active_labour_force,8.0
2006,_%,15 - 64,M,active_labour_force,65.5
2006,_%,15+,F,active_labour_force,30.8
2006,_%,15 - 24,F,active_labour_force,26.3
2006,_%,25 - 49,F,active_labour_force,50.0
2006,_%,50 - 64,F,active_labour_force,22.1
2006,_%,65+,F,active_labour_force,4.0
2006,_%,15 - 64,F,active_labour_force,37.4
2006,_%,15+,_T,employed_as_of_working,29.7
2006,_%,15 - 24,_T,employed_as_of_working,12.6
2006,_%,25 - 49,_T,employed_as_of_working,46.5
2006,_%,50 - 64,_T,employed_as_of_working,30.6
2006,_%,65+,_T,employed_as_of_working,5.5
2006,_%,15 - 64,_T,employed_as_of_working,35.0
2006,_%,15+,M,employed_as_of_working,39.9
2006,_%,15 - 24,M,employed_as_of_working,16.0
2006,_%,25 - 49,M,employed_as_of_working,60.0
2006,_%,50 - 64,M,employed_as_of_working,44.3
2006,_%,65+,M,employed_as_of_working,7.5
2006,_%,15 - 64,M,employed_as_of_working,46.1
2006,_%,15+,F,employed_as_of_working,20.0
2006,_%,15 - 24,F,employed_as_of_working,9.0
2006,_%,25 - 49,F,employed_as_of_working,33.0
2006,_%,50 - 64,F,employed_as_of_working,18.7
2006,_%,65+,F,employed_as_of_working,4.0
2006,_%,15 - 64,F,employed_as_of_working,24.0
2006,_%,15+,_T,unemployed_as_of_working,13.4
2006,_%,15 - 24,_T,unemployed_as_of_working,20.8
2006,_%,25 - 49,_T,unemployed_as_of_working,19.5
2006,_%,50 - 64,_T,unemployed_as_of_working,6.0
2006,_%,65+,_T,unemployed_as_of_working,0.2
2006,_%,15 - 64,_T,unemployed_as_of_working,16.3
2006,_%,15+,M,unemployed_as_of_working,16.2
2006,_%,15 - 24,M,unemployed_as_of_working,24.1
2006,_%,25 - 49,M,unemployed_as_of_working,21.9
2006,_%,50 - 64,M,unemployed_as_of_working,9.1
2006,_%,65+,M,unemployed_as_of_working,0.5
2006,_%,15 - 64,M,unemployed_as_of_working,19.3
2006,_%,15+,F,unemployed_as_of_working,10.7
2006,_%,15 - 24,F,unemployed_as_of_working,17.3
2006,_%,25 - 49,F,unemployed_as_of_working,17.0
2006,_%,50 - 64,F,unemployed_as_of_working,3.4
2006,_%,65+,F,unemployed_as_of_working,0.0
2006,_%,15+,_T,unemployed_as_of_working,13.3
2006,_%,15+,_T,unemployed_as_of_labour,31.1
2006,_%,15 - 24,_T,unemployed_as_of_labour,62.3
2006,_%,25 - 49,_T,unemployed_as_of_labour,29.5
2006,_%,50 - 64,_T,unemployed_as_of_labour,16.4
2006,_%,65+,_T,unemployed_as_of_labour,0.0
2006,_%,15 - 64,_T,unemployed_as_of_labour,31.8
2006,_%,15+,M,unemployed_as_of_labour,28.9
2006,_%,15 - 24,M,unemployed_as_of_labour,60.2
2006,_%,25 - 49,M,unemployed_as_of_labour,26.7
2006,_%,50 - 64,M,unemployed_as_of_labour,17.1
2006,_%,65+,M,unemployed_as_of_labour,0.0
2006,_%,15 - 64,M,unemployed_as_of_labour,29.5
2006,_%,15+,F,unemployed_as_of_labour,34.9
2006,_%,15 - 24,F,unemployed_as_of_labour,65.7
2006,_%,25 - 49,F,unemployed_as_of_labour,34.0
2006,_%,50 - 64,F,unemployed_as_of_labour,15.2
2006,_%,65+,F,unemployed_as_of_labour,0.0
2006,_%,15 - 64,F,unemployed_as_of_labour,35.7
