Year,UNIT_MEASURE,Value
1971,Број на 1.000 становника,9.4
1981,Број на 1.000 становника,8.9
1991,Број на 1.000 становника,6.5
1996,Број на 1.000 становника,5.8
1997,Број на 1.000 становника,6.2
1998,Број на 1.000 становника,6.1
1999,Број на 1.000 становника,6.0
2000,Број на 1.000 становника,5.8
2001,Број на 1.000 становника,5.3
2002,Број на 1.000 становника,5.3
2003,Број на 1.000 становника,5.4
2004,Број на 1.000 становника,5.8
2005,Број на 1.000 становника,5.6
2006,Број на 1.000 становника,5.6
2007,Број на 1.000 становника,6.12
2008,Број на 1.000 становника,5.77
2009,Број на 1.000 становника,5.37
2010,Број на 1.000 становника,5.08
2011,Број на 1.000 становника,4.99
2012,Број на 1.000 становника,4.75
2013,Број на 1.000 становника,5.0
2014,Број на 1.000 становника,5.3
2015,Број на 1.000 становника,5.6
2016,Број на 1.000 становника,5.5
2017,Број на 1.000 становника,5.7
2018,Број на 1.000 становника,5.7
2019,Број на 1.000 становника,5.4
