Year,Health indicators,UNIT_MEASURE,Administrative area,Value
1997,Number of new cases of HIV,Number,BiH,5.0
1997,Number of new cases of HIV,Number,Republika Srpska,5.0
1997,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.42
1998,Number of new cases of HIV,Number,BiH,19.0
1998,Number of new cases of HIV,Number,Republika Srpska,19.0
1998,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,1.59
1999,Number of new cases of HIV,Number,BiH,6.0
1999,Number of beds in hospitals,Number,BiH,5.47
1999,Number of medical doctors providing health care in public institutions,Number,BiH,1.754
1999,Number of general practitioners,Number,BiH,352.0
1999,Number of new cases of HIV,Number,Republika Srpska,6.0
1999,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.5
1999,Number of beds in hospitals,Number,Republika Srpska,5.47
1999,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,457.0
1999,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1.754
1999,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,147.0
1999,Number of general practitioners,Number,Republika Srpska,352.0
1999,Number of population per general practitioner,Number,Republika Srpska,3.401
2000,Number of beds in hospitals,Number,BiH,4.697
2000,Number of medical doctors providing health care in public institutions,Number,BiH,1.716
2000,Number of general practitioners,Number,BiH,341.0
2000,Number of beds in hospitals,Number,Republika Srpska,4.697
2000,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,393.0
2000,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1.716
2000,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,143.0
2000,Number of general practitioners,Number,Republika Srpska,341.0
2000,Number of population per general practitioner,Number,Republika Srpska,3.508
2001,Number of new cases of HIV,Number,BiH,5.0
2001,Number of beds in hospitals,Number,BiH,4.565
2001,Number of medical doctors providing health care in public institutions,Number,BiH,1.731
2001,Number of general practitioners,Number,BiH,324.0
2001,Number of new cases of HIV,Number,Republika Srpska,5.0
2001,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.42
2001,Number of beds in hospitals,Number,Republika Srpska,4.565
2001,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,382.0
2001,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1.731
2001,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,145.0
2001,Number of general practitioners,Number,Republika Srpska,324.0
2001,Number of population per general practitioner,Number,Republika Srpska,3.689
2002,Number of new cases of syphilis,Number,BiH,10.0
2002,Number of new cases of AIDS clinically diagnosed,Number,BiH,3.0
2002,Number of new cases of HIV,Number,BiH,4.0
2002,Number of beds in hospitals,Number,BiH,3.985
2002,Number of medical doctors providing health care in public institutions,Number,BiH,1.786
2002,Number of general practitioners,Number,BiH,313.0
2002,Number of new cases of syphilis,Number,FBiH,10.0
2002,Number of new cases of AIDS clinically diagnosed,Number,FBiH,3.0
2002,Number of new cases of HIV,Number,Republika Srpska,4.0
2002,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.33
2002,Number of beds in hospitals,Number,Republika Srpska,3.985
2002,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,334.0
2002,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1.786
2002,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,150.0
2002,Number of general practitioners,Number,Republika Srpska,313.0
2002,Number of population per general practitioner,Number,Republika Srpska,3.815
2003,Number of new cases of syphilis,Number,BiH,5.0
2003,Number of new cases of AIDS clinically diagnosed,Number,BiH,3.0
2003,Number of new cases of HIV,Number,BiH,12.0
2003,Number of beds in hospitals,Number,BiH,3.881
2003,Number of medical doctors providing health care in public institutions,Number,BiH,1.802
2003,Number of general practitioners,Number,BiH,328.0
2003,Number of new cases of syphilis,Number,FBiH,5.0
2003,Number of new cases of AIDS clinically diagnosed,Number,FBiH,3.0
2003,Number of new cases of HIV,Number,FBiH,8.0
2003,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.34
2003,Number of new cases of HIV,Number,Republika Srpska,4.0
2003,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.34
2003,Number of beds in hospitals,Number,Republika Srpska,3.881
2003,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,325.0
2003,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1.802
2003,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,151.0
2003,Number of general practitioners,Number,Republika Srpska,328.0
2003,Number of population per general practitioner,Number,Republika Srpska,3.636
2004,Number of new cases of syphilis,Number,BiH,18.0
2004,Number of new cases of AIDS clinically diagnosed,Number,BiH,3.0
2004,Number of new cases of HIV,Number,BiH,11.0
2004,Number of beds in hospitals,Number,BiH,3.652
2004,Number of medical doctors providing health care in public institutions,Number,BiH,1.838
2004,Number of general practitioners,Number,BiH,359.0
2004,Number of new cases of syphilis,Number,FBiH,18.0
2004,Number of new cases of AIDS clinically diagnosed,Number,FBiH,3.0
2004,Number of new cases of HIV,Number,FBiH,10.0
2004,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.43
