Year,AGE,MARRIAGE_BIRTH,UNIT_MEASURE,Entity,Value
1997,13 - 14,unknown_marital_status_birth,NUMBER,FBIH,11.0
1997,15 - 19,unknown_marital_status_birth,NUMBER,FBIH,3128.0
1997,16 - 19,total,NUMBER,FBIH,11.0
1997,17 - 19,total,NUMBER,FBIH,3128.0
1997,13 - 14,unknown_marital_status_birth,NUMBER,BiH,11.0
1997,15 - 19,unknown_marital_status_birth,NUMBER,BiH,3128.0
1997,16 - 19,total,NUMBER,BiH,11.0
1997,17 - 19,total,NUMBER,BiH,3128.0
1998,13 - 14,unknown_marital_status_birth,NUMBER,FBIH,2.0
1998,15 - 19,unknown_marital_status_birth,NUMBER,FBIH,2395.0
1998,16 - 19,total,NUMBER,FBIH,2.0
1998,17 - 19,total,NUMBER,FBIH,2395.0
1998,19 - 19,in_marriage_birth,NUMBER,RS,567.0
1998,21 - 19,out_of_marriage_birth,NUMBER,RS,229.0
1998,25 - 19,total,NUMBER,RS,796.0
1998,19 - 19,in_marriage_birth,NUMBER,BiH,567.0
1998,21 - 19,out_of_marriage_birth,NUMBER,BiH,229.0
1998,22 - 19,unknown_marital_status_birth,NUMBER,BiH,2.0
1998,23 - 19,unknown_marital_status_birth,NUMBER,BiH,2395.0
1998,24 - 19,total,NUMBER,BiH,2.0
1998,25 - 19,total,NUMBER,BiH,3191.0
1999,23 - 19,unknown_marital_status_birth,NUMBER,FBIH,2073.0
1999,25 - 19,total,NUMBER,FBIH,2073.0
1999,19 - 19,in_marriage_birth,NUMBER,RS,681.0
1999,20 - 19,out_of_marriage_birth,NUMBER,RS,1.0
1999,21 - 19,out_of_marriage_birth,NUMBER,RS,226.0
1999,24 - 19,total,NUMBER,RS,1.0
1999,25 - 19,total,NUMBER,RS,907.0
1999,19 - 19,in_marriage_birth,NUMBER,BiH,681.0
1999,20 - 19,out_of_marriage_birth,NUMBER,BiH,1.0
1999,21 - 19,out_of_marriage_birth,NUMBER,BiH,226.0
1999,23 - 19,unknown_marital_status_birth,NUMBER,BiH,2073.0
1999,24 - 19,total,NUMBER,BiH,1.0
1999,25 - 19,total,NUMBER,BiH,2980.0
2000,30 - 19,unknown_marital_status_birth,NUMBER,FBIH,3.0
2000,31 - 19,unknown_marital_status_birth,NUMBER,FBIH,1806.0
2000,32 - 19,total,NUMBER,FBIH,3.0
2000,33 - 19,total,NUMBER,FBIH,1806.0
2000,27 - 19,in_marriage_birth,NUMBER,RS,542.0
2000,28 - 19,out_of_marriage_birth,NUMBER,RS,1.0
2000,29 - 19,out_of_marriage_birth,NUMBER,RS,180.0
2000,32 - 19,total,NUMBER,RS,1.0
2000,33 - 19,total,NUMBER,RS,722.0
2000,27 - 19,in_marriage_birth,,BiH,542.0
2000,28 - 19,out_of_marriage_birth,,BiH,1.0
2000,29 - 19,out_of_marriage_birth,,BiH,180.0
2000,30 - 19,unknown_marital_status_birth,,BiH,3.0
2000,31 - 19,unknown_marital_status_birth,,BiH,1806.0
2000,32 - 19,total,,BiH,4.0
2000,33 - 19,total,,BiH,2528.0
2001,30 - 19,unknown_marital_status_birth,,FBIH,13.0
2001,31 - 19,unknown_marital_status_birth,,FBIH,1679.0
2001,32 - 19,total,,FBIH,13.0
2001,33 - 19,total,,FBIH,1679.0
2001,27 - 19,in_marriage_birth,,RS,707.0
2001,28 - 19,out_of_marriage_birth,,RS,2.0
2001,29 - 19,out_of_marriage_birth,,RS,231.0
2001,32 - 19,total,,RS,2.0
2001,33 - 19,total,,RS,938.0
2001,27 - 19,in_marriage_birth,,BiH,707.0
2001,28 - 19,out_of_marriage_birth,,BiH,2.0
2001,29 - 19,out_of_marriage_birth,,BiH,231.0
2001,30 - 19,unknown_marital_status_birth,,BiH,13.0
2001,31 - 19,unknown_marital_status_birth,,BiH,1679.0
2001,32 - 19,total,,BiH,15.0
2001,33 - 19,total,,BiH,2617.0
2002,30 - 19,unknown_marital_status_birth,,FBIH,10.0
2002,31 - 19,unknown_marital_status_birth,,FBIH,1561.0
2002,32 - 19,total,,FBIH,10.0
2002,33 - 19,total,,FBIH,1561.0
