Year,UNIT_MEASURE,Административно подручје,Value
2004,% од укупно,BiH,18.1
2007,% од укупно,BiH,18.4
2011,% од укупно,BiH,17.2
2015,% од укупно,BiH,16.5
2004,% од укупно,Федерација БиХ,18.3
2007,% од укупно,Федерација БиХ,16.3
2011,% од укупно,Федерација БиХ,16.0
2015,% од укупно,Федерација БиХ,16.0
2004,% од укупно,Република Српска,18.3
2007,% од укупно,Република Српска,21.7
2011,% од укупно,Република Српска,19.6
2015,% од укупно,Република Српска,17.4
2004,% од укупно,Брчко дистрикт БиХ,7.8
2007,% од укупно,Брчко дистрикт БиХ,23.6
2011,% од укупно,Брчко дистрикт БиХ,12.2
2015,% од укупно,Брчко дистрикт БиХ,15.9
