Year,UNIT_MEASURE,Пол,Ентитет,Value
2004,Старост,Оба пола,BiH,37.8
2007,Старост,Оба пола,BiH,38.3
2011,Старост,Оба пола,BiH,39.7
2013,Старост,Оба пола,BiH,39.5
2015,Старост,Оба пола,BiH,41.9
2004,Старост,Оба пола,Федерација БиХ,36.4
2007,Старост,Оба пола,Федерација БиХ,37.0
2011,Старост,Оба пола,Федерација БиХ,38.5
2013,Старост,Оба пола,Федерација БиХ,38.5
2015,Старост,Оба пола,Федерација БиХ,40.7
2004,Старост,Оба пола,Република Српска,40.1
2007,Старост,Оба пола,Република Српска,40.8
2011,Старост,Оба пола,Република Српска,42.0
2013,Старост,Оба пола,Република Српска,41.4
2015,Старост,Оба пола,Република Српска,44.4
2004,Старост,Оба пола,Брчко Дистрикт БиХ,38.3
2007,Старост,Оба пола,Брчко Дистрикт БиХ,39.5
2011,Старост,Оба пола,Брчко Дистрикт БиХ,40.4
2013,Старост,Оба пола,Брчко Дистрикт БиХ,39.7
2015,Старост,Оба пола,Брчко Дистрикт БиХ,40.8
2004,Старост,Мушкарци,BiH,36.8
2007,Старост,Мушкарци,BiH,37.2
2011,Старост,Мушкарци,BiH,38.6
2013,Старост,Мушкарци,BiH,38.2
2015,Старост,Мушкарци,BiH,40.5
2004,Старост,Мушкарци,Федерација БиХ,35.6
2007,Старост,Мушкарци,Федерација БиХ,35.8
2011,Старост,Мушкарци,Федерација БиХ,37.6
2013,Старост,Мушкарци,Федерација БиХ,37.2
2015,Старост,Мушкарци,Федерација БиХ,39.2
2004,Старост,Мушкарци,Република Српска,39.0
2007,Старост,Мушкарци,Република Српска,39.6
2011,Старост,Мушкарци,Република Српска,40.5
2013,Старост,Мушкарци,Република Српска,40.0
2015,Старост,Мушкарци,Република Српска,43.0
2004,Старост,Мушкарци,Брчко Дистрикт БиХ,37.2
2007,Старост,Мушкарци,Брчко Дистрикт БиХ,38.7
2011,Старост,Мушкарци,Брчко Дистрикт БиХ,39.2
2013,Старост,Мушкарци,Брчко Дистрикт БиХ,38.4
2015,Старост,Мушкарци,Брчко Дистрикт БиХ,39.8
2004,Старост,Жене,BiH,38.7
2007,Старост,Жене,BiH,39.4
2011,Старост,Жене,BiH,40.8
2013,Старост,Жене,BiH,40.7
2015,Старост,Жене,BiH,43.3
2004,Старост,Жене,Федерација БиХ,37.2
2007,Старост,Жене,Федерација БиХ,38.1
2011,Старост,Жене,Федерација БиХ,39.4
2013,Старост,Жене,Федерација БиХ,39.7
2015,Старост,Жене,Федерација БиХ,42.2
2004,Старост,Жене,Република Српска,41.1
2007,Старост,Жене,Република Српска,42.0
2011,Старост,Жене,Република Српска,43.6
2013,Старост,Жене,Република Српска,42.7
2015,Старост,Жене,Република Српска,45.7
2004,Старост,Жене,Брчко Дистрикт БиХ,39.3
2007,Старост,Жене,Брчко Дистрикт БиХ,40.2
2011,Старост,Жене,Брчко Дистрикт БиХ,41.7
2013,Старост,Жене,Брчко Дистрикт БиХ,40.9
2015,Старост,Жене,Брчко Дистрикт БиХ,41.7
