Year,health_indicators,UNIT_MEASURE,Ентитет,Value
1997,number_of_new_cases_of_HIV,Број,BiH,5.0
1997,number_of_new_cases_of_HIV,Број,Република Српска,5.0
1997,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.42
1998,number_of_new_cases_of_HIV,Број,BiH,19.0
1998,number_of_new_cases_of_HIV,Број,Република Српска,19.0
1998,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,1.59
1999,number_of_new_cases_of_HIV,Број,BiH,6.0
1999,number_of_beds_in_hospitals,Број,BiH,5.47
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,1.754
1999,number_of_general_practitioners,Број,BiH,352.0
1999,number_of_new_cases_of_HIV,Број,Република Српска,6.0
1999,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.5
1999,number_of_beds_in_hospitals,Број,Република Српска,5.47
1999,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,457.0
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1.754
1999,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,147.0
1999,number_of_general_practitioners,Број,Република Српска,352.0
1999,number_of_population_per_general_practitioner,Број,Република Српска,3.401
2000,number_of_beds_in_hospitals,Број,BiH,4.697
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,1.716
2000,number_of_general_practitioners,Број,BiH,341.0
2000,number_of_beds_in_hospitals,Број,Република Српска,4.697
2000,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,393.0
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1.716
2000,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,143.0
2000,number_of_general_practitioners,Број,Република Српска,341.0
2000,number_of_population_per_general_practitioner,Број,Република Српска,3.508
2001,number_of_new_cases_of_HIV,Број,BiH,5.0
2001,number_of_beds_in_hospitals,Број,BiH,4.565
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,1.731
2001,number_of_general_practitioners,Број,BiH,324.0
2001,number_of_new_cases_of_HIV,Број,Република Српска,5.0
2001,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.42
2001,number_of_beds_in_hospitals,Број,Република Српска,4.565
2001,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,382.0
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1.731
2001,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,145.0
2001,number_of_general_practitioners,Број,Република Српска,324.0
2001,number_of_population_per_general_practitioner,Број,Република Српска,3.689
2002,number_of_new_cases_of_syphilis,Број,BiH,10.0
2002,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,3.0
2002,number_of_new_cases_of_HIV,Број,BiH,4.0
2002,number_of_beds_in_hospitals,Број,BiH,3.985
2002,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,1.786
2002,number_of_general_practitioners,Број,BiH,313.0
2002,number_of_new_cases_of_syphilis,Број,FBiH,10.0
2002,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,3.0
2002,number_of_new_cases_of_HIV,Број,Република Српска,4.0
2002,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.33
2002,number_of_beds_in_hospitals,Број,Република Српска,3.985
2002,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,334.0
2002,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1.786
2002,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,150.0
2002,number_of_general_practitioners,Број,Република Српска,313.0
2002,number_of_population_per_general_practitioner,Број,Република Српска,3.815
2003,number_of_new_cases_of_syphilis,Број,BiH,5.0
2003,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,3.0
2003,number_of_new_cases_of_HIV,Број,BiH,12.0
2003,number_of_beds_in_hospitals,Број,BiH,3.881
2003,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,1.802
2003,number_of_general_practitioners,Број,BiH,328.0
2003,number_of_new_cases_of_syphilis,Број,FBiH,5.0
2003,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,3.0
2003,number_of_new_cases_of_HIV,Број,FBiH,8.0
2003,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.34
2003,number_of_new_cases_of_HIV,Број,Република Српска,4.0
2003,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.34
2003,number_of_beds_in_hospitals,Број,Република Српска,3.881
2003,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,325.0
2003,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1.802
2003,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,151.0
2003,number_of_general_practitioners,Број,Република Српска,328.0
2003,number_of_population_per_general_practitioner,Број,Република Српска,3.636
2004,number_of_new_cases_of_syphilis,Број,BiH,18.0
2004,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,3.0
2004,number_of_new_cases_of_HIV,Број,BiH,11.0
2004,number_of_beds_in_hospitals,Број,BiH,3.652
