Year,SEX,UNIT_MEASURE,ADMIN_AREA,Value
2004,_T,_%,BiH,18.3
2007,_T,_%,BiH,18.2
2011,_T,_%,BiH,17.9
2015,_T,_%,BiH,16.9
2007,M,_%,BiH,18.3
2011,M,_%,BiH,18.0
2015,M,_%,BiH,17.1
2007,F,_%,BiH,18.1
2011,F,_%,BiH,17.7
2015,F,_%,BiH,16.7
2004,_T,_%,FBIH,18.8
2007,_T,_%,FBIH,17.0
2011,_T,_%,FBIH,17.1
2015,_T,_%,FBIH,17.1
2007,M,_%,FBIH,17.1
2011,M,_%,FBIH,17.5
2015,M,_%,FBIH,18.8
2007,F,_%,FBIH,16.9
2011,F,_%,FBIH,16.7
2015,F,_%,FBIH,15.9
2004,_T,_%,RS,17.8
2007,_T,_%,RS,20.1
2011,_T,_%,RS,19.5
2015,_T,_%,RS,16.4
2007,M,_%,RS,20.2
2011,M,_%,RS,19.1
2015,M,_%,RS,14.5
2007,F,_%,RS,20.1
2011,F,_%,RS,19.8
2015,F,_%,RS,17.6
2004,_T,_%,BD,9.5
2007,_T,_%,BD,25.8
2011,_T,_%,BD,14.7
2015,_T,_%,BD,17.6
2007,M,_%,BD,23.4
2011,M,_%,BD,14.1
2015,M,_%,BD,15.3
2007,F,_%,BD,28.2
2011,F,_%,BD,15.3
2015,F,_%,BD,19.0
