Year,CAUSE_OF_DEATH,UNIT_MEASURE,Value
1999,neoplasms,Број,123.0
1999,diseases_of_the_circulatory,Број,427.0
1999,diseases_of_the_respiratory,Број,23.25
1999,diseases_of_the_digestive,Број,19.0
1999,symptoms_signs_and_abnormal,Број,68.51
1999,injuries_poisoning_and_consequences,Број,27.44
2000,neoplasms,Број,135.0
2000,diseases_of_the_circulatory,Број,431.0
2000,diseases_of_the_respiratory,Број,21.29
2000,diseases_of_the_digestive,Број,22.0
2000,symptoms_signs_and_abnormal,Број,75.64
2000,injuries_poisoning_and_consequences,Број,28.85
2000,infectious_and_parasitic,Број,6.77
2000,neoplasms,Број,141.0
2000,diseases_of_the_blood,Број,0.53
2000,endocrine_metabolic_and_nutritional,Број,18.0
2000,mental_and_behavioural_disorders,Број,1.26
2000,diseases_of_the_nervous,Број,4.0
2000,diseases_of_the_eye,Број,0.03
2000,diseases_of_the_circulatory,Број,430.0
2000,diseases_of_the_respiratory,Број,19.62
2000,diseases_of_the_digestive,Број,22.0
2000,diseases_of_the_skin,Број,0.45
2000,diseases_of_the_genitourinary,Број,10.45
2000,certain_conditions_originating,Број,4.95
2000,congenital_malformations_deformations,Број,1.13
2000,symptoms_signs_and_abnormal,Број,79.81
2000,injuries_poisoning_and_consequences,Број,26.78
2000,external_causes_of_mortality,Број,6.87
2000,factors_influencing_health_status,Број,0.03
2000,unknown,Број,25.12
2002,infectious_and_parasitic,Број,6.87
2002,neoplasms,Број,138.0
2002,diseases_of_the_blood,Број,0.5
2002,endocrine_metabolic_and_nutritional,Број,23.0
2002,mental_and_behavioural_disorders,Број,1.72
2002,diseases_of_the_nervous,Број,4.0
2002,diseases_of_the_eye,Број,0.03
2002,diseases_of_the_circulatory,Број,418.0
2002,diseases_of_the_respiratory,Број,21.34
2002,diseases_of_the_digestive,Број,21.0
2002,diseases_of_the_skin,Број,0.44
2002,diseases_of_the_genitourinary,Број,5.72
2002,certain_conditions_originating,Број,5.9
2002,congenital_malformations_deformations,Број,1.46
2002,symptoms_signs_and_abnormal,Број,77.93
2002,injuries_poisoning_and_consequences,Број,25.71
2002,external_causes_of_mortality,Број,6.32
2002,factors_influencing_health_status,Број,0.03
2002,unknown,Број,46.76
2003,neoplasms,Број,151.0
2003,diseases_of_the_circulatory,Број,443.0
2003,diseases_of_the_respiratory,Број,22.86
2003,diseases_of_the_digestive,Број,21.0
2003,symptoms_signs_and_abnormal,Број,82.62
2003,injuries_poisoning_and_consequences,Број,24.79
2003,unknown,Број,20.09
2004,infectious_and_parasitic,Број,6.64
2004,neoplasms,Број,149.0
2004,diseases_of_the_blood,Број,0.81
2004,endocrine_metabolic_and_nutritional,Број,26.0
2004,mental_and_behavioural_disorders,Број,2.71
2004,diseases_of_the_nervous,Број,7.0
2004,diseases_of_the_circulatory,Број,461.0
2004,diseases_of_the_respiratory,Број,23.61
2004,diseases_of_the_digestive,Број,22.0
2004,diseases_of_the_skin,Број,0.29
2004,diseases_of_the_genitourinary,Број,12.16
2004,certain_conditions_originating,Број,4.24
2004,congenital_malformations_deformations,Број,1.09
2004,symptoms_signs_and_abnormal,Број,70.87
2004,injuries_poisoning_and_consequences,Број,23.95
2004,external_causes_of_mortality,Број,7.11
2004,factors_influencing_health_status,Број,0.03
2004,unknown,Број,31.49
2005,neoplasms,Број,163.0
2005,diseases_of_the_circulatory,Број,466.0
2005,diseases_of_the_respiratory,Број,32.32
2005,diseases_of_the_digestive,Број,21.0
2005,symptoms_signs_and_abnormal,Број,62.3
