Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SPOL,Value
2018,%,total_support_ratio,Oba spola,44.32
2020,%,total_support_ratio,Oba spola,47.11
2025,%,total_support_ratio,Oba spola,53.97
2030,%,total_support_ratio,Oba spola,62.1
2035,%,total_support_ratio,Oba spola,68.98
2040,%,total_support_ratio,Oba spola,76.0
2045,%,total_support_ratio,Oba spola,84.34
2050,%,total_support_ratio,Oba spola,94.16
2055,%,total_support_ratio,Oba spola,103.66
2060,%,total_support_ratio,Oba spola,110.44
2065,%,total_support_ratio,Oba spola,115.81
2070,%,total_support_ratio,Oba spola,116.18
2018,%,young_age_support_ratio,Oba spola,20.55
2020,%,young_age_support_ratio,Oba spola,20.65
2025,%,young_age_support_ratio,Oba spola,20.34
2030,%,young_age_support_ratio,Oba spola,20.29
2035,%,young_age_support_ratio,Oba spola,19.98
2040,%,young_age_support_ratio,Oba spola,19.66
2045,%,young_age_support_ratio,Oba spola,19.82
2050,%,young_age_support_ratio,Oba spola,20.49
2055,%,young_age_support_ratio,Oba spola,21.3
2060,%,young_age_support_ratio,Oba spola,21.85
2065,%,young_age_support_ratio,Oba spola,22.23
2070,%,young_age_support_ratio,Oba spola,22.13
2018,%,old_age_support_ratio,Oba spola,23.78
2020,%,old_age_support_ratio,Oba spola,26.46
2025,%,old_age_support_ratio,Oba spola,33.64
2030,%,old_age_support_ratio,Oba spola,41.81
2035,%,old_age_support_ratio,Oba spola,49.0
2040,%,old_age_support_ratio,Oba spola,56.34
2045,%,old_age_support_ratio,Oba spola,64.52
2050,%,old_age_support_ratio,Oba spola,73.67
2055,%,old_age_support_ratio,Oba spola,82.36
2060,%,old_age_support_ratio,Oba spola,88.59
2065,%,old_age_support_ratio,Oba spola,93.58
2070,%,old_age_support_ratio,Oba spola,94.04
2018,%,older_persons_to_youth_ratio,Oba spola,115.71
2020,%,older_persons_to_youth_ratio,Oba spola,128.11
2025,%,older_persons_to_youth_ratio,Oba spola,165.41
2030,%,older_persons_to_youth_ratio,Oba spola,206.01
2035,%,older_persons_to_youth_ratio,Oba spola,245.28
2040,%,older_persons_to_youth_ratio,Oba spola,286.61
2045,%,older_persons_to_youth_ratio,Oba spola,325.51
2050,%,older_persons_to_youth_ratio,Oba spola,359.64
2055,%,older_persons_to_youth_ratio,Oba spola,386.67
2060,%,older_persons_to_youth_ratio,Oba spola,405.45
2065,%,older_persons_to_youth_ratio,Oba spola,420.87
2070,%,older_persons_to_youth_ratio,Oba spola,424.86
2018,%,total_support_ratio,M,44.32
2020,%,total_support_ratio,M,47.11
2025,%,total_support_ratio,M,53.97
2030,%,total_support_ratio,M,62.1
2035,%,total_support_ratio,M,68.98
2040,%,total_support_ratio,M,76.0
2045,%,total_support_ratio,M,84.34
2050,%,total_support_ratio,M,94.16
2055,%,total_support_ratio,M,103.66
2060,%,total_support_ratio,M,110.44
2065,%,total_support_ratio,M,115.81
2070,%,total_support_ratio,M,116.18
2018,%,young_age_support_ratio,M,20.55
2020,%,young_age_support_ratio,M,20.65
2025,%,young_age_support_ratio,M,20.34
2030,%,young_age_support_ratio,M,20.29
2035,%,young_age_support_ratio,M,19.98
2040,%,young_age_support_ratio,M,19.66
2045,%,young_age_support_ratio,M,19.82
2050,%,young_age_support_ratio,M,20.49
2055,%,young_age_support_ratio,M,21.3
2060,%,young_age_support_ratio,M,21.85
2065,%,young_age_support_ratio,M,22.23
2070,%,young_age_support_ratio,M,22.13
2018,%,old_age_support_ratio,M,23.78
2020,%,old_age_support_ratio,M,26.46
2025,%,old_age_support_ratio,M,33.64
2030,%,old_age_support_ratio,M,41.81
2035,%,old_age_support_ratio,M,49.0
2040,%,old_age_support_ratio,M,56.34
2045,%,old_age_support_ratio,M,64.52
2050,%,old_age_support_ratio,M,73.67
2055,%,old_age_support_ratio,M,82.36
2060,%,old_age_support_ratio,M,88.59
2065,%,old_age_support_ratio,M,93.58
2070,%,old_age_support_ratio,M,94.04
2018,%,older_persons_to_youth_ratio,M,115.71
2020,%,older_persons_to_youth_ratio,M,128.11
2025,%,older_persons_to_youth_ratio,M,165.41
2030,%,older_persons_to_youth_ratio,M,206.01
2035,%,older_persons_to_youth_ratio,M,245.28
2040,%,older_persons_to_youth_ratio,M,286.61
2045,%,older_persons_to_youth_ratio,M,325.51
2050,%,older_persons_to_youth_ratio,M,359.64
2055,%,older_persons_to_youth_ratio,M,386.67
2060,%,older_persons_to_youth_ratio,M,405.45
2065,%,older_persons_to_youth_ratio,M,420.87
2070,%,older_persons_to_youth_ratio,M,424.86
2018,%,total_support_ratio,Ž,44.32
2020,%,total_support_ratio,Ž,47.11
2025,%,total_support_ratio,Ž,53.97
2030,%,total_support_ratio,Ž,62.1
2035,%,total_support_ratio,Ž,68.98
2040,%,total_support_ratio,Ž,76.0
2045,%,total_support_ratio,Ž,84.34
2050,%,total_support_ratio,Ž,94.16
2055,%,total_support_ratio,Ž,103.66
2060,%,total_support_ratio,Ž,110.44
