Year,UNIT_MEASURE,Sex,AGE,Municipality,Value
2013,Number,Both sexes,Total,Banja Luka,185042.0
2013,Number,M,Total,Banja Luka,89148.0
2013,Number,F,Total,Banja Luka,95894.0
2013,Number,Both sexes,Total,Banovići,22773.0
2013,Number,M,Total,Banovići,11392.0
2013,Number,F,Total,Banovići,11381.0
2013,Number,Both sexes,Total,Berkovići,2114.0
2013,Number,M,Total,Berkovići,1059.0
2013,Number,F,Total,Berkovići,1055.0
2013,Number,Both sexes,Total,56261,
2013,Number,M,Total,27041,
2013,Number,F,Total,29220,
2013,Number,Both sexes,Total,Bijeljina,107715.0
2013,Number,M,Total,Bijeljina,52827.0
2013,Number,F,Total,Bijeljina,54888.0
2013,Number,Both sexes,Total,Bileća,10807.0
2013,Number,M,Total,Bileća,5454.0
2013,Number,F,Total,Bileća,5353.0
2013,Number,Both sexes,Total,Bosanska Krupa,25545.0
2013,Number,M,Total,Bosanska Krupa,12548.0
2013,Number,F,Total,Bosanska Krupa,12997.0
2013,Number,Both sexes,Total,Bosanski Petrovac,7328.0
2013,Number,M,Total,Bosanski Petrovac,3678.0
2013,Number,F,Total,Bosanski Petrovac,3650.0
2013,Number,Both sexes,Total,Bosansko Grahovo,2449.0
2013,Number,M,Total,Bosansko Grahovo,1287.0
2013,Number,F,Total,Bosansko Grahovo,1162.0
2013,Number,Both sexes,Total,Bratunac,20340.0
2013,Number,M,Total,Bratunac,10091.0
2013,Number,F,Total,Bratunac,10249.0
2013,Number,Both sexes,Total,Brčko,83516.0
2013,Number,M,Total,Brčko,41250.0
2013,Number,F,Total,Brčko,42266.0
2013,Number,Both sexes,Total,Breza,14168.0
2013,Number,M,Total,Breza,6952.0
2013,Number,F,Total,Breza,7216.0
2013,Number,Both sexes,Total,Brod,16619.0
2013,Number,M,Total,Brod,8143.0
2013,Number,F,Total,Brod,8476.0
2013,Number,Both sexes,Total,Bugojno,31470.0
2013,Number,M,Total,Bugojno,15635.0
2013,Number,F,Total,Bugojno,15835.0
2013,Number,Both sexes,Total,Busovača,17910.0
2013,Number,M,Total,Busovača,9134.0
2013,Number,F,Total,Busovača,8776.0
2013,Number,Both sexes,Total,Bužim,19340.0
2013,Number,M,Total,Bužim,9885.0
2013,Number,F,Total,Bužim,9455.0
2013,Number,Both sexes,Total,Cazin,66149.0
2013,Number,M,Total,Cazin,33072.0
2013,Number,F,Total,Cazin,33077.0
2013,Number,Both sexes,Total,Sarajevo - Centar,55181.0
2013,Number,M,Total,Sarajevo - Centar,25369.0
2013,Number,F,Total,Sarajevo - Centar,29812.0
2013,Number,Both sexes,Total,Čajniče,4895.0
2013,Number,M,Total,Čajniče,2474.0
2013,Number,F,Total,Čajniče,2421.0
2013,Number,Both sexes,Total,Čapljina,26157.0
2013,Number,M,Total,Čapljina,12947.0
2013,Number,F,Total,Čapljina,13210.0
2013,Number,Both sexes,Total,Čelić,10502.0
2013,Number,M,Total,Čelić,5256.0
2013,Number,F,Total,Čelić,5246.0
2013,Number,Both sexes,Total,Čelinac,15548.0
2013,Number,M,Total,Čelinac,7728.0
2013,Number,F,Total,Čelinac,7820.0
2013,Number,Both sexes,Total,Čitluk,18140.0
2013,Number,M,Total,Čitluk,8937.0
2013,Number,F,Total,Čitluk,9203.0
2013,Number,Both sexes,Total,Derventa,27404.0
2013,Number,M,Total,Derventa,13397.0
2013,Number,F,Total,Derventa,14007.0
2013,Number,Both sexes,Total,Doboj,71441.0
2013,Number,M,Total,Doboj,34916.0
2013,Number,F,Total,Doboj,36525.0
2013,Number,Both sexes,Total,Doboj-Istok,10248.0
2013,Number,M,Total,Doboj-Istok,5061.0
2013,Number,F,Total,Doboj-Istok,5187.0
2013,Number,Both sexes,Total,Doboj-Jug,4137.0
2013,Number,M,Total,Doboj-Jug,2065.0
2013,Number,F,Total,Doboj-Jug,2072.0
2013,Number,Both sexes,Total,Dobretići,1629.0
2013,Number,M,Total,Dobretići,905.0
2013,Number,F,Total,Dobretići,724.0
2013,Number,Both sexes,Total,Domaljevac-Šamac,4771.0
2013,Number,M,Total,Domaljevac-Šamac,2373.0
2013,Number,F,Total,Domaljevac-Šamac,2398.0
2013,Number,Both sexes,Total,Donji Vakuf,13985.0
2013,Number,M,Total,Donji Vakuf,6922.0
2013,Number,F,Total,Donji Vakuf,7063.0
2013,Number,Both sexes,Total,Donji Žabar,3809.0
2013,Number,M,Total,Donji Žabar,1920.0
2013,Number,F,Total,Donji Žabar,1889.0
2013,Number,Both sexes,Total,Drvar,7036.0
2013,Number,M,Total,Drvar,3473.0
2013,Number,F,Total,Drvar,3563.0
2013,Number,Both sexes,Total,Foča - FBIH,1933.0
2013,Number,M,Total,Foča - FBIH,998.0
2013,Number,F,Total,Foča - FBIH,935.0
2013,Number,Both sexes,Total,Foča - RS,18288.0
2013,Number,M,Total,Foča - RS,9236.0
2013,Number,F,Total,Foča - RS,9052.0
2013,Number,Both sexes,Total,Fojnica,12356.0
2013,Number,M,Total,Fojnica,6197.0
2013,Number,F,Total,Fojnica,6159.0
2013,Number,Both sexes,Total,Gacko,8990.0
2013,Number,M,Total,Gacko,4556.0
2013,Number,F,Total,Gacko,4434.0
2013,Number,Both sexes,Total,Glamoč,3860.0
2013,Number,M,Total,Glamoč,1963.0
2013,Number,F,Total,Glamoč,1897.0
2013,Number,Both sexes,Total,Goražde,20897.0
2013,Number,M,Total,Goražde,10163.0
2013,Number,F,Total,Goražde,10734.0
2013,Number,Both sexes,Total,Gornji Vakuf-Uskoplje,20933.0
2013,Number,M,Total,Gornji Vakuf-Uskoplje,10532.0
2013,Number,F,Total,Gornji Vakuf-Uskoplje,10401.0
2013,Number,Both sexes,Total,Gračanica,45220.0
2013,Number,M,Total,Gračanica,21641.0
2013,Number,F,Total,Gračanica,23579.0
2013,Number,Both sexes,Total,Gradačac,39340.0
2013,Number,M,Total,Gradačac,19234.0
2013,Number,F,Total,Gradačac,20106.0
2013,Number,Both sexes,Total,Gradiška,51727.0
2013,Number,M,Total,Gradiška,25271.0
2013,Number,F,Total,Gradiška,26456.0
2013,Number,Both sexes,Total,Grude,17308.0
2013,Number,M,Total,Grude,8621.0
2013,Number,F,Total,Grude,8687.0
2013,Number,Both sexes,Total,Sarajevo - Hadžići,23891.0
2013,Number,M,Total,Sarajevo - Hadžići,11914.0
2013,Number,F,Total,Sarajevo - Hadžići,11977.0
2013,Number,Both sexes,Total,Han Pijesak,3530.0
2013,Number,M,Total,Han Pijesak,1667.0
2013,Number,F,Total,Han Pijesak,1863.0
2013,Number,Both sexes,Total,Sarajevo - Ilidža,66730.0
2013,Number,M,Total,Sarajevo - Ilidža,32359.0
2013,Number,F,Total,Sarajevo - Ilidža,34371.0
2013,Number,Both sexes,Total,Sarajevo - Ilijaš,19603.0
2013,Number,M,Total,Sarajevo - Ilijaš,9381.0
2013,Number,F,Total,Sarajevo - Ilijaš,10222.0
2013,Number,Both sexes,Total,Istočna Ilidža,14763.0
2013,Number,M,Total,Istočna Ilidža,7069.0
2013,Number,F,Total,Istočna Ilidža,7694.0
2013,Number,Both sexes,Total,Istočni Drvar,79.0
2013,Number,M,Total,Istočni Drvar,53.0
2013,Number,F,Total,Istočni Drvar,26.0
2013,Number,Both sexes,Total,Istočni Mostar,257.0
2013,Number,M,Total,Istočni Mostar,142.0
2013,Number,F,Total,Istočni Mostar,115.0
2013,Number,Both sexes,Total,Istočni Stari Grad,1131.0
2013,Number,M,Total,Istočni Stari Grad,560.0
2013,Number,F,Total,Istočni Stari Grad,571.0
2013,Number,Both sexes,Total,Istočno Novo Sarajevo,10642.0
2013,Number,M,Total,Istočno Novo Sarajevo,5058.0
2013,Number,F,Total,Istočno Novo Sarajevo,5584.0
2013,Number,Both sexes,Total,Jablanica,10111.0
2013,Number,M,Total,Jablanica,5027.0
2013,Number,F,Total,Jablanica,5084.0
2013,Number,Both sexes,Total,Jajce,27258.0
2013,Number,M,Total,Jajce,13856.0
2013,Number,F,Total,Jajce,13402.0
2013,Number,Both sexes,Total,Jezero,1144.0
2013,Number,M,Total,Jezero,601.0
2013,Number,F,Total,Jezero,543.0
2013,Number,Both sexes,Total,Kakanj,37441.0
2013,Number,M,Total,Kakanj,18651.0
2013,Number,F,Total,Kakanj,18790.0
2013,Number,Both sexes,Total,Kalesija,33053.0
2013,Number,M,Total,Kalesija,16597.0
2013,Number,F,Total,Kalesija,16456.0
2013,Number,Both sexes,Total,Kalinovik,2029.0
2013,Number,M,Total,Kalinovik,987.0
2013,Number,F,Total,Kalinovik,1042.0
2013,Number,Both sexes,Total,Kiseljak,20722.0
2013,Number,M,Total,Kiseljak,10285.0
2013,Number,F,Total,Kiseljak,10437.0
2013,Number,Both sexes,Total,Kladanj,12348.0
2013,Number,M,Total,Kladanj,6108.0
2013,Number,F,Total,Kladanj,6240.0
2013,Number,Both sexes,Total,Ključ,16744.0
2013,Number,M,Total,Ključ,8365.0
2013,Number,F,Total,Ključ,8379.0
2013,Number,Both sexes,Total,Kneževo,9793.0
2013,Number,M,Total,Kneževo,4892.0
2013,Number,F,Total,Kneževo,4901.0
2013,Number,Both sexes,Total,Konjic,25148.0
