Year,UNIT_MEASURE,Ентитет,Value
1997,Број,BiH,5.0
1997,Број,Република Српска,5.0
1998,Број,BiH,19.0
1998,Број,Република Српска,19.0
1999,Број,BiH,6.0
1999,Број,Република Српска,6.0
2001,Број,BiH,5.0
2001,Број,Република Српска,5.0
2002,Број,BiH,4.0
2002,Број,Република Српска,4.0
2003,Број,BiH,12.0
2003,Број,FBiH,8.0
2003,Број,Република Српска,4.0
2004,Број,BiH,11.0
2004,Број,FBiH,10.0
2004,Број,Република Српска,1.0
2005,Број,BiH,11.0
2005,Број,FBiH,11.0
2006,Број,BiH,17.0
2006,Број,FBiH,12.0
2006,Број,Република Српска,5.0
2007,Број,BiH,5.0
2007,Број,FBiH,4.0
2007,Број,Република Српска,1.0
2008,Број,BiH,7.0
2008,Број,FBiH,7.0
2009,Број,BiH,8.0
2009,Број,FBiH,4.0
2009,Број,Република Српска,4.0
2010,Број,BiH,7.0
2010,Број,FBiH,3.0
2010,Број,Република Српска,4.0
2011,Број,BiH,25.0
2011,Број,FBiH,20.0
2011,Број,Република Српска,5.0
2012,Број,BiH,25.0
2012,Број,FBiH,17.0
2012,Број,Република Српска,8.0
2013,Број,BiH,24.0
2013,Број,FBiH,16.0
2013,Број,Република Српска,8.0
2014,Број,BiH,17.0
2014,Број,FBiH,15.0
2014,Број,Република Српска,2.0
2015,Број,BiH,12.0
2015,Број,FBiH,10.0
2015,Број,Република Српска,2.0
2016,Број,BiH,23.0
2016,Број,FBiH,16.0
2016,Број,Република Српска,7.0
2017,Број,BiH,12.0
2017,Број,FBiH,7.0
2017,Број,Република Српска,5.0
2018,Број,BiH,24.0
2018,Број,FBiH,19.0
2018,Број,Република Српска,5.0
2019,Број,BiH,21.0
2019,Број,FBiH,21.0
