Year,UNIT_MEASURE,Entitet,Value
1971,%,BiH,22.2
1981,%,BiH,23.0
2004,%,BiH,24.34
2005,%,BiH,24.41
2006,%,BiH,24.51
2007,%,BiH,24.76
2008,%,BiH,24.94
2009,%,BiH,25.25
2010,%,BiH,25.87
2011,%,BiH,26.25
2012,%,BiH,26.45
2013,%,BiH,26.69
2014,%,BiH,26.97
2015,%,BiH,27.17
2016,%,BiH,26.96
2017,%,BiH,27.28
2018,%,BiH,27.4
2019,%,BiH,27.68
1996,%,Federacija BiH,23.6
1997,%,Federacija BiH,23.5
1998,%,Federacija BiH,23.9
1999,%,Federacija BiH,24.2
2000,%,Federacija BiH,24.2
2001,%,Federacija BiH,24.2
2002,%,Federacija BiH,24.2
2003,%,Federacija BiH,24.3
2004,%,Federacija BiH,24.5
2005,%,Federacija BiH,24.5
2006,%,Federacija BiH,24.6
2007,%,Federacija BiH,24.8
2008,%,Federacija BiH,24.9
2009,%,Federacija BiH,25.1
2010,%,Federacija BiH,25.4
2011,%,Federacija BiH,25.6
2012,%,Federacija BiH,25.7
2013,%,Federacija BiH,26.05
2014,%,Federacija BiH,26.2
2015,%,Federacija BiH,26.4
2016,%,Federacija BiH,26.3
2017,%,Federacija BiH,26.7
2018,%,Federacija BiH,26.7
2019,%,Federacija BiH,26.8
1998,%,Republika Srpska,23.8
1999,%,Republika Srpska,24.4
2000,%,Republika Srpska,24.6
2001,%,Republika Srpska,24.2
2002,%,Republika Srpska,24.6
2003,%,Republika Srpska,23.7
2004,%,Republika Srpska,24.6
2005,%,Republika Srpska,24.9
2006,%,Republika Srpska,25.0
2007,%,Republika Srpska,25.0
2008,%,Republika Srpska,25.4
2009,%,Republika Srpska,25.6
2010,%,Republika Srpska,25.9
2011,%,Republika Srpska,26.3
2012,%,Republika Srpska,26.4
2013,%,Republika Srpska,26.75
2014,%,Republika Srpska,26.9
2015,%,Republika Srpska,27.2
2016,%,Republika Srpska,26.9
2017,%,Republika Srpska,27.3
2018,%,Republika Srpska,27.6
2019,%,Republika Srpska,27.8
2008,%,Brčko Distrikt BiH,25.08
2009,%,Brčko Distrikt BiH,25.49
2010,%,Brčko Distrikt BiH,25.79
2012,%,Brčko Distrikt BiH,26.71
2013,%,Brčko Distrikt BiH,26.55
2014,%,Brčko Distrikt BiH,26.15
2015,%,Brčko Distrikt BiH,27.01
2017,%,Brčko Distrikt BiH,27.48
2018,%,Brčko Distrikt BiH,27.63
2019,%,Brčko Distrikt BiH,27.5
