Year,UNIT_MEASURE,SPOL,Entitet,Births,Value
1996,Broj,Oba spola,BiH,Live birth,46594
1997,Broj,Oba spola,BiH,Live birth,48397
1998,Broj,Oba spola,BiH,Live birth,45007
1999,Broj,Oba spola,BiH,Live birth,42464
2000,Broj,Oba spola,BiH,Live birth,39563
2001,Broj,Oba spola,BiH,Live birth,37717
2002,Broj,Oba spola,BiH,Live birth,35587
2003,Broj,Oba spola,BiH,Live birth,35234
2004,Broj,Oba spola,BiH,Live birth,35151
2005,Broj,Oba spola,BiH,Live birth,34627
2006,Broj,Oba spola,BiH,Live birth,34033
2007,Broj,Oba spola,BiH,Live birth,33835
2008,Broj,Oba spola,BiH,Live birth,34176
2009,Broj,Oba spola,BiH,Live birth,34550
2010,Broj,Oba spola,BiH,Live birth,33528
2011,Broj,Oba spola,BiH,Live birth,31811
2012,Broj,Oba spola,BiH,Live birth,32547
2013,Broj,Oba spola,BiH,Live birth,30684
2014,Broj,Oba spola,BiH,Live birth,30268
2015,Broj,Oba spola,BiH,Live birth,29770
2016,Broj,Oba spola,BiH,Live birth,30183
2017,Broj,Oba spola,BiH,Live birth,30200
2018,Broj,Oba spola,BiH,Live birth,29467
2019,Broj,Oba spola,BiH,Live birth,28360
1996,Broj,M,BiH,Live birth,24398
1997,Broj,M,BiH,Live birth,25297
1998,Broj,M,BiH,Live birth,23425
1999,Broj,M,BiH,Live birth,21636
2000,Broj,M,BiH,Live birth,20407
2001,Broj,M,BiH,Live birth,19400
2002,Broj,M,BiH,Live birth,18297
2003,Broj,M,BiH,Live birth,18330
2004,Broj,M,BiH,Live birth,18133
2005,Broj,M,BiH,Live birth,17797
2006,Broj,M,BiH,Live birth,17547
2007,Broj,M,BiH,Live birth,17534
2008,Broj,M,BiH,Live birth,17585
2009,Broj,M,BiH,Live birth,18001
2010,Broj,M,BiH,Live birth,17277
2011,Broj,M,BiH,Live birth,16531
2012,Broj,M,BiH,Live birth,16790
2013,Broj,M,BiH,Live birth,15835
2014,Broj,M,BiH,Live birth,15597
2015,Broj,M,BiH,Live birth,15308
2016,Broj,M,BiH,Live birth,15716
2017,Broj,M,BiH,Live birth,15674
2018,Broj,M,BiH,Live birth,15268
2019,Broj,M,BiH,Live birth,14806
1996,Broj,Ž,BiH,Live birth,22196
1997,Broj,Ž,BiH,Live birth,23100
1998,Broj,Ž,BiH,Live birth,21582
1999,Broj,Ž,BiH,Live birth,20828
2000,Broj,Ž,BiH,Live birth,19156
2001,Broj,Ž,BiH,Live birth,18317
2002,Broj,Ž,BiH,Live birth,17290
2003,Broj,Ž,BiH,Live birth,16904
2004,Broj,Ž,BiH,Live birth,17018
2005,Broj,Ž,BiH,Live birth,16830
2006,Broj,Ž,BiH,Live birth,16486
2007,Broj,Ž,BiH,Live birth,16301
2008,Broj,Ž,BiH,Live birth,16591
2009,Broj,Ž,BiH,Live birth,16549
2010,Broj,Ž,BiH,Live birth,16251
2011,Broj,Ž,BiH,Live birth,15280
2012,Broj,Ž,BiH,Live birth,15757
2013,Broj,Ž,BiH,Live birth,14849
2014,Broj,Ž,BiH,Live birth,14671
2015,Broj,Ž,BiH,Live birth,14462
2016,Broj,Ž,BiH,Live birth,14467
2017,Broj,Ž,BiH,Live birth,14526
2018,Broj,Ž,BiH,Live birth,14199
2019,Broj,Ž,BiH,Live birth,13554
1996,Broj,Oba spola,BiH,Deaths,25152
1997,Broj,Oba spola,BiH,Deaths,27875
1998,Broj,Oba spola,BiH,Deaths,28679
1999,Broj,Oba spola,BiH,Deaths,28637
2000,Broj,Oba spola,BiH,Deaths,30482
2001,Broj,Oba spola,BiH,Deaths,30325
2002,Broj,Oba spola,BiH,Deaths,30155
2003,Broj,Oba spola,BiH,Deaths,31757
2004,Broj,Oba spola,BiH,Deaths,32616
2005,Broj,Oba spola,BiH,Deaths,34402
2006,Broj,Oba spola,BiH,Deaths,33221
2007,Broj,Oba spola,BiH,Deaths,35044
2008,Broj,Oba spola,BiH,Deaths,34026
2009,Broj,Oba spola,BiH,Deaths,34904
2010,Broj,Oba spola,BiH,Deaths,35118
2011,Broj,Oba spola,BiH,Deaths,35028
2012,Broj,Oba spola,BiH,Deaths,35817
2013,Broj,Oba spola,BiH,Deaths,35662
2014,Broj,Oba spola,BiH,Deaths,35980
2015,Broj,Oba spola,BiH,Deaths,38150
2016,Broj,Oba spola,BiH,Deaths,36571
2017,Broj,Oba spola,BiH,Deaths,37979
2018,Broj,Oba spola,BiH,Deaths,37744
2019,Broj,Oba spola,BiH,Deaths,38829
1996,Broj,M,BiH,Deaths,13952
1997,Broj,M,BiH,Deaths,15184
