Year,DIVORCES,UNIT_MEASURE,Entitet,Value
divorce_rate_(per_1,000_marriages),Broj,BiH,88.2
divorce_rate_(per_1,000_marriages),Broj,BiH,93.3
divorce_rate_(per_1,000_marriages),Broj,BiH,56.3
divorce_rate_(per_1,000_marriages),Broj,BiH,0.0
divorce_rate_(per_1,000_marriages),Broj,BiH,79.02670112
divorce_rate_(per_1,000_marriages),Broj,BiH,87.68640057
divorce_rate_(per_1,000_marriages),Broj,BiH,88.77714489
divorce_rate_(per_1,000_marriages),Broj,BiH,88.09425949
divorce_rate_(per_1,000_marriages),Broj,BiH,104.7187469
divorce_rate_(per_1,000_marriages),Broj,BiH,112.9112414
divorce_rate_(per_1,000_marriages),Broj,BiH,92.50952588
divorce_rate_(per_1,000_marriages),Broj,BiH,68.443286
divorce_rate_(per_1,000_marriages),Broj,BiH,81.25172827
divorce_rate_(per_1,000_marriages),Broj,BiH,77.1592019
divorce_rate_(per_1,000_marriages),Broj,BiH,77.72197157
divorce_rate_(per_1,000_marriages),Broj,BiH,61.80307887
divorce_rate_(per_1,000_marriages),Broj,BiH,67.94940144
divorce_rate_(per_1,000_marriages),Broj,BiH,85.76838442
divorce_rate_(per_1,000_marriages),Broj,BiH,120.5366465
divorce_rate_(per_1,000_marriages),Broj,BiH,125.8020291
divorce_rate_(per_1,000_marriages),Broj,BiH,148.0451682
divorce_rate_(per_1,000_marriages),Broj,BiH,144.0755243
divorce_rate_(per_1,000_marriages),Broj,BiH,150.513055
divorce_rate_(per_1,000_marriages),Broj,BiH,143.9397872
divorce_rate_(per_1,000_marriages),Broj,BiH,151.3345686
divorce_rate_(per_1,000_marriages),Broj,BiH,155.2408217
divorce_rate_(per_1,000_marriages),Broj,BiH,147.2140144
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,25.7282875
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,68.36436087
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,77.94383754
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,84.07420371
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,84.92874622
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,100.7994984
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,110.4818062
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,89.60464051
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,62.57758306
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,70.92511013
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,71.70304334
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,69.62452728
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,62.91501777
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,58.88807608
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,76.53218355
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,96.98943522
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,97.51243781
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,119.8488709
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,110.2487064
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,115.7878508
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,112.9788898
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,132.7535786
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,139.5758365
divorce_rate_(per_1,000_marriages),Broj,Federacija BiH,136.3932822
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,95.07911163
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,102.1430559
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,93.50057013
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,92.64590421
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,115.6149882
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,117.2404258
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,109.9128379
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,89.17821644
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,105.8737151
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,76.67638484
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,84.026505
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,49.52351195
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,74.21301582
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,89.64799723
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,152.7059635
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,164.851671
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,192.427291
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,189.9364589
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,193.8931298
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,184.2531008
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,165.4350017
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,161.4146832
divorce_rate_(per_1,000_marriages),Broj,Republika Srpska,158.0212985
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,90.0621118
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,122.1374046
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,122.7621483
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,127.0553064
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,135.2154532
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,132.0224719
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,120.5882353
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,207.4626866
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,249.1909385
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,324.6329527
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,335.7041252
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,307.073955
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,378.5822021
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,464.1791045
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,442.5727412
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,410.8635097
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,471.5189873
divorce_rate_(per_1,000_marriages),Broj,Brčko Distrikt BiH,312.1869783
number_of_divorces,NUMBER,BiH,1835,
number_of_divorces,NUMBER,BiH,1964,
number_of_divorces,NUMBER,BiH,1995,
number_of_divorces,NUMBER,BiH,1929,
number_of_divorces,NUMBER,BiH,2126,
number_of_divorces,NUMBER,BiH,2272,
number_of_divorces,NUMBER,BiH,1918,
number_of_divorces,NUMBER,BiH,1523,
number_of_divorces,NUMBER,BiH,1763,
number_of_divorces,NUMBER,BiH,1659,
number_of_divorces,NUMBER,BiH,1826,
number_of_divorces,NUMBER,BiH,1369,
number_of_divorces,NUMBER,BiH,1402,
number_of_divorces,NUMBER,BiH,1676,
number_of_divorces,NUMBER,BiH,2309,
number_of_divorces,NUMBER,BiH,2294,
number_of_divorces,NUMBER,BiH,2609,
number_of_divorces,NUMBER,BiH,2686,
number_of_divorces,NUMBER,BiH,2963,
number_of_divorces,NUMBER,BiH,2773,
number_of_divorces,NUMBER,BiH,3022,
number_of_divorces,NUMBER,BiH,3091,
number_of_divorces,NUMBER,BiH,2790,
number_of_divorces,NUMBER,Federacija BiH,378,
number_of_divorces,NUMBER,Federacija BiH,1098,
number_of_divorces,NUMBER,Federacija BiH,1163,
number_of_divorces,NUMBER,Federacija BiH,1201,
number_of_divorces,NUMBER,Federacija BiH,1180,
number_of_divorces,NUMBER,Federacija BiH,1286,
number_of_divorces,NUMBER,Federacija BiH,1424,
number_of_divorces,NUMBER,Federacija BiH,1174,
number_of_divorces,NUMBER,Federacija BiH,857,
number_of_divorces,NUMBER,Federacija BiH,966,
number_of_divorces,NUMBER,Federacija BiH,933,
number_of_divorces,NUMBER,Federacija BiH,1031,
number_of_divorces,NUMBER,Federacija BiH,938,
number_of_divorces,NUMBER,Federacija BiH,805,
number_of_divorces,NUMBER,Federacija BiH,994,
number_of_divorces,NUMBER,Federacija BiH,1221,
number_of_divorces,NUMBER,Federacija BiH,1176,
number_of_divorces,NUMBER,Federacija BiH,1364,
number_of_divorces,NUMBER,Federacija BiH,1321,
number_of_divorces,NUMBER,Federacija BiH,1502,
number_of_divorces,NUMBER,Federacija BiH,1445,
number_of_divorces,NUMBER,Federacija BiH,1725,
number_of_divorces,NUMBER,Federacija BiH,1823,
number_of_divorces,NUMBER,Federacija BiH,1673,
number_of_divorces,NUMBER,Republika Srpska,655,
number_of_divorces,NUMBER,Republika Srpska,734,
number_of_divorces,NUMBER,Republika Srpska,738,
number_of_divorces,NUMBER,Republika Srpska,708,
number_of_divorces,NUMBER,Republika Srpska,830,
number_of_divorces,NUMBER,Republika Srpska,848,
number_of_divorces,NUMBER,Republika Srpska,744,
number_of_divorces,NUMBER,Republika Srpska,637,
