Year,Value,UNIT_MEASURE
1971,88.2,no_per_1000_marriages
1981,93.3,no_per_1000_marriages
1991,56.3,no_per_1000_marriages
1997,79.0,no_per_1000_marriages
1998,87.7,no_per_1000_marriages
1999,88.8,no_per_1000_marriages
2000,88.1,no_per_1000_marriages
2001,104.7,no_per_1000_marriages
2002,112.9,no_per_1000_marriages
2003,92.5,no_per_1000_marriages
2004,68.4,no_per_1000_marriages
2005,81.3,no_per_1000_marriages
2006,77.2,no_per_1000_marriages
2007,77.7,no_per_1000_marriages
2008,61.8,no_per_1000_marriages
2009,68.0,no_per_1000_marriages
2010,85.8,no_per_1000_marriages
2011,120.5,no_per_1000_marriages
2012,125.8,no_per_1000_marriages
2013,148.1,no_per_1000_marriages
2014,144.1,no_per_1000_marriages
2015,150.5,no_per_1000_marriages
2016,143.9,no_per_1000_marriages
2017,151.3,no_per_1000_marriages
2018,155.2,no_per_1000_marriages
2019,147.2,no_per_1000_marriages
