Year,Value,UNIT_MEASURE
1996,1.647,Number of children per woman
1997,1.685,Number of children per woman
1998,1.558,Number of children per woman
1999,1.362,Number of children per woman
2000,1.279,Number of children per woman
2001,1.227,Number of children per woman
2002,1.228,Number of children per woman
2003,1.216,Number of children per woman
2004,1.218,Number of children per woman
2005,1.2,Number of children per woman
2006,1.177,Number of children per woman
2007,1.259,Number of children per woman
2008,1.285,Number of children per woman
2009,1.303,Number of children per woman
2010,1.267,Number of children per woman
2011,1.206,Number of children per woman
2012,1.349,Number of children per woman
2013,1.276,Number of children per woman
2014,1.259,Number of children per woman
2015,1.242,Number of children per woman
2016,1.259,Number of children per woman
2017,1.26,Number of children per woman
2018,1.253,Number of children per woman
2019,1.204,Number of children per woman
