Year,Value,UNIT_MEASURE
1971,9.4,Number per 1000 population
1981,8.9,Number per 1000 population
1991,6.5,Number per 1000 population
1996,5.8,Number per 1000 population
1997,6.2,Number per 1000 population
1998,6.1,Number per 1000 population
1999,6.0,Number per 1000 population
2000,5.8,Number per 1000 population
2001,5.3,Number per 1000 population
2002,5.3,Number per 1000 population
2003,5.4,Number per 1000 population
2004,5.8,Number per 1000 population
2005,5.6,Number per 1000 population
2006,5.6,Number per 1000 population
2007,6.12,Number per 1000 population
2008,5.77,Number per 1000 population
2009,5.37,Number per 1000 population
2010,5.08,Number per 1000 population
2011,4.99,Number per 1000 population
2012,4.75,Number per 1000 population
2013,5.0,Number per 1000 population
2014,5.3,Number per 1000 population
2015,5.6,Number per 1000 population
2016,5.5,Number per 1000 population
2017,5.7,Number per 1000 population
2018,5.7,Number per 1000 population
2019,5.4,Number per 1000 population
