Year,UNIT_MEASURE,Entitet,Value
1999,Broj,BiH,5470.0
1999,Broj,Republika Srpska,5470.0
2000,Broj,BiH,4697.0
2000,Broj,Republika Srpska,4697.0
2001,Broj,BiH,4565.0
2001,Broj,Republika Srpska,4565.0
2002,Broj,BiH,3985.0
2002,Broj,Republika Srpska,3985.0
2003,Broj,BiH,3881.0
2003,Broj,Republika Srpska,3881.0
2004,Broj,BiH,3652.0
2004,Broj,Republika Srpska,3652.0
2005,Broj,BiH,3804.0
2005,Broj,Republika Srpska,3804.0
2006,Broj,BiH,4017.0
2006,Broj,Republika Srpska,4017.0
2007,Broj,BiH,12674.0
2007,Broj,Federacija BiH,8165.0
2007,Broj,Republika Srpska,4509.0
2008,Broj,BiH,12546.0
2008,Broj,Federacija BiH,8091.0
2008,Broj,Republika Srpska,4455.0
2009,Broj,BiH,12795.0
2009,Broj,Federacija BiH,8409.0
2009,Broj,Republika Srpska,4386.0
2010,Broj,BiH,12967.0
2010,Broj,Federacija BiH,8597.0
2010,Broj,Republika Srpska,4370.0
2011,Broj,BiH,13001.0
2011,Broj,Federacija BiH,8598.0
2011,Broj,Republika Srpska,4403.0
2012,Broj,BiH,13107.0
2012,Broj,Federacija BiH,8549.0
2012,Broj,Republika Srpska,4558.0
2013,Broj,BiH,12748.0
2013,Broj,Federacija BiH,8183.0
2013,Broj,Republika Srpska,4565.0
2014,Broj,BiH,12989.0
2014,Broj,Federacija BiH,8361.0
2014,Broj,Republika Srpska,4628.0
2015,Broj,BiH,12965.0
2015,Broj,Federacija BiH,8322.0
2015,Broj,Republika Srpska,4643.0
2016,Broj,BiH,12937.0
2016,Broj,Federacija BiH,8309.0
2016,Broj,Republika Srpska,4628.0
2017,Broj,,
2017,Broj,,
2017,Broj,,
2018,Broj,,
2018,Broj,,
2018,Broj,,
2018,Broj,,
2019,Broj,,
2019,Broj,,
