Year,UNIT_MEASURE,Entitet,Spol,Value
1998,Starost,BiH,Oba spola,66.1
1999,Starost,BiH,Oba spola,66.6
2000,Starost,BiH,Oba spola,66.8
2001,Starost,BiH,Oba spola,67.2
2002,Starost,BiH,Oba spola,67.8
2003,Starost,BiH,Oba spola,68.4
2004,Starost,BiH,Oba spola,68.9
2005,Starost,BiH,Oba spola,69.3
2006,Starost,BiH,Oba spola,69.4
2007,Starost,BiH,Oba spola,69.6
2008,Starost,BiH,Oba spola,70.2
2009,Starost,BiH,Oba spola,70.8
2010,Starost,BiH,Oba spola,71.6
2011,Starost,BiH,Oba spola,72.1
2012,Starost,BiH,Oba spola,72.5
2013,Starost,BiH,Oba spola,72.7
2014,Starost,BiH,Oba spola,73.0
2015,Starost,BiH,Oba spola,73.4
2016,Starost,BiH,Oba spola,73.4
2017,Starost,BiH,Oba spola,73.9
2018,Starost,BiH,Oba spola,74.1
2019,Starost,BiH,Oba spola,74.1
2003,Starost,BiH,Muškarci,31.6
2004,Starost,BiH,Muškarci,48.0
2009,Starost,BiH,Muškarci,63.3
2010,Starost,BiH,Muškarci,64.0
2011,Starost,BiH,Muškarci,64.2
2012,Starost,BiH,Muškarci,64.6
2013,Starost,BiH,Muškarci,65.0
2014,Starost,BiH,Muškarci,65.8
2015,Starost,BiH,Muškarci,66.3
2016,Starost,BiH,Muškarci,66.8
2017,Starost,BiH,Muškarci,66.8
2018,Starost,BiH,Muškarci,66.9
2019,Starost,BiH,Muškarci,67.4
1961,Starost,BiH,Muškarci,68.1
1971,Starost,BiH,Muškarci,68.9
1981,Starost,BiH,Muškarci,69.4
1991,Starost,BiH,Muškarci,69.8
1996,Starost,BiH,Muškarci,70.0
1997,Starost,BiH,Muškarci,70.4
1998,Starost,BiH,Muškarci,70.7
1999,Starost,BiH,Muškarci,70.7
2000,Starost,BiH,Muškarci,71.2
2001,Starost,BiH,Muškarci,71.4
2002,Starost,BiH,Muškarci,71.5
2003,Starost,BiH,Žene,34.5
2004,Starost,BiH,Žene,51.6
2009,Starost,BiH,Žene,69.2
2010,Starost,BiH,Žene,69.5
2011,Starost,BiH,Žene,69.7
2012,Starost,BiH,Žene,70.2
2013,Starost,BiH,Žene,70.7
2014,Starost,BiH,Žene,71.2
2015,Starost,BiH,Žene,71.7
2016,Starost,BiH,Žene,72.2
2017,Starost,BiH,Žene,72.2
2018,Starost,BiH,Žene,72.5
2019,Starost,BiH,Žene,73.3
2003,Starost,BiH,Žene,73.6
2004,Starost,BiH,Žene,74.5
2005,Starost,BiH,Žene,75.0
2006,Starost,BiH,Žene,75.3
2007,Starost,BiH,Žene,75.5
2008,Starost,BiH,Žene,75.8
2009,Starost,BiH,Žene,76.1
2010,Starost,BiH,Žene,76.2
2011,Starost,BiH,Žene,76.5
2012,Starost,BiH,Žene,76.8
2013,Starost,BiH,Žene,76.9
1997,Starost,Federacija BiH,Oba spola,64.3
1998,Starost,Federacija BiH,Oba spola,63.8
1999,Starost,Federacija BiH,Oba spola,65.7
2000,Starost,Federacija BiH,Oba spola,66.5
2001,Starost,Federacija BiH,Oba spola,67.1
2002,Starost,Federacija BiH,Oba spola,67.3
2003,Starost,Federacija BiH,Oba spola,68.2
2004,Starost,Federacija BiH,Oba spola,68.6
2005,Starost,Federacija BiH,Oba spola,69.1
2006,Starost,Federacija BiH,Oba spola,69.0
2007,Starost,Federacija BiH,Oba spola,69.3
2008,Starost,Federacija BiH,Oba spola,69.5
2009,Starost,Federacija BiH,Oba spola,70.2
2010,Starost,Federacija BiH,Oba spola,70.5
2011,Starost,Federacija BiH,Oba spola,70.8
2012,Starost,Federacija BiH,Oba spola,71.3
2013,Starost,Federacija BiH,Oba spola,71.6
2014,Starost,Federacija BiH,Oba spola,72.0
2015,Starost,Federacija BiH,Oba spola,72.3
2016,Starost,Federacija BiH,Oba spola,72.3
2017,Starost,Federacija BiH,Oba spola,72.5
2018,Starost,Federacija BiH,Oba spola,73.0
2019,Starost,Federacija BiH,Oba spola,73.0
2008,Starost,Federacija BiH,Muškarci,61.6
2009,Starost,Federacija BiH,Muškarci,61.3
2010,Starost,Federacija BiH,Muškarci,63.2
2011,Starost,Federacija BiH,Muškarci,64.1
2012,Starost,Federacija BiH,Muškarci,64.5
2013,Starost,Federacija BiH,Muškarci,64.6
2014,Starost,Federacija BiH,Muškarci,65.5
2015,Starost,Federacija BiH,Muškarci,66.0
2016,Starost,Federacija BiH,Muškarci,66.4
2017,Starost,Federacija BiH,Muškarci,66.5
2018,Starost,Federacija BiH,Muškarci,66.8
2019,Starost,Federacija BiH,Muškarci,66.7
1961,Starost,Federacija BiH,Muškarci,67.5
1971,Starost,Federacija BiH,Muškarci,67.7
1981,Starost,Federacija BiH,Muškarci,68.2
1991,Starost,Federacija BiH,Muškarci,68.9
1996,Starost,Federacija BiH,Muškarci,69.0
1997,Starost,Federacija BiH,Muškarci,69.4
1998,Starost,Federacija BiH,Muškarci,69.6
1999,Starost,Federacija BiH,Muškarci,69.7
2000,Starost,Federacija BiH,Muškarci,70.1
2001,Starost,Federacija BiH,Muškarci,70.5
2002,Starost,Federacija BiH,Muškarci,70.5
2008,Starost,Federacija BiH,Žene,67.5
2009,Starost,Federacija BiH,Žene,66.8
2010,Starost,Federacija BiH,Žene,68.5
2011,Starost,Federacija BiH,Žene,69.3
2012,Starost,Federacija BiH,Žene,69.9
2013,Starost,Federacija BiH,Žene,70.3
2014,Starost,Federacija BiH,Žene,71.1
2015,Starost,Federacija BiH,Žene,71.3
2016,Starost,Federacija BiH,Žene,72.0
2017,Starost,Federacija BiH,Žene,71.7
2018,Starost,Federacija BiH,Žene,72.0
2019,Starost,Federacija BiH,Žene,72.5
2003,Starost,Federacija BiH,Žene,73.0
2004,Starost,Federacija BiH,Žene,73.3
2005,Starost,Federacija BiH,Žene,73.7
2006,Starost,Federacija BiH,Žene,74.1
2007,Starost,Federacija BiH,Žene,74.3
2008,Starost,Federacija BiH,Žene,74.7
2009,Starost,Federacija BiH,Žene,75.0
2010,Starost,Federacija BiH,Žene,74.9
2011,Starost,Federacija BiH,Žene,75.0
2012,Starost,Federacija BiH,Žene,75.5
2013,Starost,Federacija BiH,Žene,75.6
2010,Starost,Republika Srpska,Oba spola,72.1
2011,Starost,Republika Srpska,Oba spola,72.5
2012,Starost,Republika Srpska,Oba spola,73.0
2013,Starost,Republika Srpska,Oba spola,73.0
2014,Starost,Republika Srpska,Oba spola,73.0
2015,Starost,Republika Srpska,Oba spola,73.7
2016,Starost,Republika Srpska,Oba spola,73.8
2017,Starost,Republika Srpska,Oba spola,74.5
2018,Starost,Republika Srpska,Oba spola,74.5
2019,Starost,Republika Srpska,Oba spola,74.5
2009,Starost,Republika Srpska,Muškarci,64.9
