Year,UNIT_MEASURE,Spol,Godine,Value
2013,Broj,Oba spola,_ALL,89794.0
2013,Broj,Muškarci,_ALL,12237.0
2013,Broj,Žene,_ALL,77557.0
2013,Broj,Oba spola, 10-14,579.0
2013,Broj,Muškarci, 10-14,318.0
2013,Broj,Žene, 10-14,261.0
2013,Broj,Oba spola, 15-19,763.0
2013,Broj,Muškarci, 15-19,408.0
2013,Broj,Žene, 15-19,355.0
2013,Broj,Oba spola, 20-24,825.0
2013,Broj,Muškarci, 20-24,419.0
2013,Broj,Žene, 20-24,406.0
2013,Broj,Oba spola, 25-29,1025.0
2013,Broj,Muškarci, 25-29,539.0
2013,Broj,Žene, 25-29,486.0
2013,Broj,Oba spola, 30-34,1082.0
2013,Broj,Muškarci, 30-34,551.0
2013,Broj,Žene, 30-34,531.0
2013,Broj,Oba spola, 35-39,1032.0
2013,Broj,Muškarci, 35-39,525.0
2013,Broj,Žene, 35-39,507.0
2013,Broj,Oba spola,40-44,1143.0
2013,Broj,Muškarci,40-44,519.0
2013,Broj,Žene,40-44,624.0
2013,Broj,Oba spola, 45-49,1533.0
2013,Broj,Muškarci, 45-49,632.0
2013,Broj,Žene, 45-49,901.0
2013,Broj,Oba spola, 50-54,2532.0
2013,Broj,Muškarci, 50-54,679.0
2013,Broj,Žene, 50-54,1853.0
2013,Broj,Oba spola, 55-59,4132.0
2013,Broj,Muškarci, 55-59,764.0
2013,Broj,Žene, 55-59,3368.0
2013,Broj,Oba spola, 60-64,6736.0
2013,Broj,Muškarci, 60-64,771.0
2013,Broj,Žene, 60-64,5965.0
2013,Broj,Oba spola, 65-69,9306.0
2013,Broj,Muškarci, 65-69,863.0
2013,Broj,Žene, 65-69,8443.0
2013,Broj,Oba spola, 70-74,16476.0
2013,Broj,Muškarci, 70-74,1311.0
2013,Broj,Žene, 70-74,15165.0
2013,Broj,Oba spola, 75+,42630.0
2013,Broj,Muškarci, 75+,3938.0
2013,Broj,Žene, 75+,38692.0
