Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Spol,Entitet,Value
1971,%,Total Support Ratio,Oba spola,BiH,65.4
1971,%,Total Support Ratio,Muškarci,BiH,67.9
1971,%,Total Support Ratio,Žene,BiH,63.0
1981,%,Total Support Ratio,Oba spola,BiH,52.3
1981,%,Total Support Ratio,Muškarci,BiH,53.0
1981,%,Total Support Ratio,Žene,BiH,51.6
1991,%,Total Support Ratio,Oba spola,BiH,48.3
1991,%,Total Support Ratio,Muškarci,BiH,46.8
1991,%,Total Support Ratio,Žene,BiH,49.7
2013,%,Total Support Ratio,Oba spola,BiH,42.1
2013,%,Total Support Ratio,Muškarci,BiH,39.2
2013,%,Total Support Ratio,Žene,BiH,44.9
1971,%,Young-age support ratio,Oba spola,BiH,57.0
1971,%,Young-age support ratio,Muškarci,BiH,60.2
1971,%,Young-age support ratio,Žene,BiH,53.9
1981,%,Young-age support ratio,Oba spola,BiH,42.5
1981,%,Young-age support ratio,Muškarci,BiH,44.5
1981,%,Young-age support ratio,Žene,BiH,40.6
1991,%,Young-age support ratio,Oba spola,BiH,35.6
1991,%,Young-age support ratio,Muškarci,BiH,36.6
1991,%,Young-age support ratio,Žene,BiH,34.6
2013,%,Young-age support ratio,Oba spola,BiH,21.9
2013,%,Young-age support ratio,Muškarci,BiH,22.4
2013,%,Young-age support ratio,Žene,BiH,21.3
1971,%,Old-age support ratio,Oba spola,BiH,8.4
1971,%,Old-age support ratio,Muškarci,BiH,7.7
1971,%,Old-age support ratio,Žene,BiH,9.1
1981,%,Old-age support ratio,Oba spola,BiH,9.8
1981,%,Old-age support ratio,Muškarci,BiH,8.5
1981,%,Old-age support ratio,Žene,BiH,11.0
1991,%,Old-age support ratio,Oba spola,BiH,12.7
1991,%,Old-age support ratio,Muškarci,BiH,10.1
1991,%,Old-age support ratio,Žene,BiH,15.2
2013,%,Old-age support ratio,Oba spola,BiH,20.2
2013,%,Old-age support ratio,Muškarci,BiH,16.8
2013,%,Old-age support ratio,Žene,BiH,23.6
1971,%,Older persons to youth ratio,Oba spola,BiH,14.8
1971,%,Older persons to youth ratio,Muškarci,BiH,12.8
1971,%,Older persons to youth ratio,Žene,BiH,16.9
1981,%,Older persons to youth ratio,Oba spola,BiH,23.1
1981,%,Older persons to youth ratio,Muškarci,BiH,19.2
1981,%,Older persons to youth ratio,Žene,BiH,27.2
1991,%,Older persons to youth ratio,Oba spola,BiH,35.6
1991,%,Older persons to youth ratio,Muškarci,BiH,27.7
1991,%,Older persons to youth ratio,Žene,BiH,43.8
2013,%,Older persons to youth ratio,Oba spola,BiH,92.3
2013,%,Older persons to youth ratio,Muškarci,BiH,75.0
2013,%,Older persons to youth ratio,Žene,BiH,110.6
2013,%,Total Support Ratio,Oba spola,Federacija BiH,40.8
2013,%,Total Support Ratio,Muškarci,Federacija BiH,38.4
2013,%,Total Support Ratio,Žene,Federacija BiH,43.1
2013,%,Young-age support ratio,Oba spola,Federacija BiH,22.6
2013,%,Young-age support ratio,Muškarci,Federacija BiH,23.3
2013,%,Young-age support ratio,Žene,Federacija BiH,22.0
2013,%,Old-age support ratio,Oba spola,Federacija BiH,18.1
2013,%,Old-age support ratio,Muškarci,Federacija BiH,15.1
2013,%,Old-age support ratio,Žene,Federacija BiH,21.1
2013,%,Older persons to youth ratio,Oba spola,Federacija BiH,80.1
2013,%,Older persons to youth ratio,Muškarci,Federacija BiH,65.0
2013,%,Older persons to youth ratio,Žene,Federacija BiH,96.1
2013,%,Total Support Ratio,Oba spola,Republika Srpska,44.4
2013,%,Total Support Ratio,Muškarci,Republika Srpska,40.6
2013,%,Total Support Ratio,Žene,Republika Srpska,48.2
2013,%,Young-age support ratio,Oba spola,Republika Srpska,20.4
2013,%,Young-age support ratio,Muškarci,Republika Srpska,20.8
2013,%,Young-age support ratio,Žene,Republika Srpska,20.1
2013,%,Old-age support ratio,Oba spola,Republika Srpska,24.0
2013,%,Old-age support ratio,Muškarci,Republika Srpska,19.8
2013,%,Old-age support ratio,Žene,Republika Srpska,28.2
2013,%,Older persons to youth ratio,Oba spola,Republika Srpska,117.4
2013,%,Older persons to youth ratio,Muškarci,Republika Srpska,95.6
2013,%,Older persons to youth ratio,Žene,Republika Srpska,140.3
2013,%,Total Support Ratio,Oba spola,Brčko Distrikt BiH,43.3
2013,%,Total Support Ratio,Muškarci,Brčko Distrikt BiH,40.6
2013,%,Total Support Ratio,Žene,Brčko Distrikt BiH,46.0
2013,%,Young-age support ratio,Oba spola,Brčko Distrikt BiH,22.4
2013,%,Young-age support ratio,Muškarci,Brčko Distrikt BiH,23.3
2013,%,Young-age support ratio,Žene,Brčko Distrikt BiH,21.6
2013,%,Old-age support ratio,Oba spola,Brčko Distrikt BiH,20.8
2013,%,Old-age support ratio,Muškarci,Brčko Distrikt BiH,17.3
2013,%,Old-age support ratio,Žene,Brčko Distrikt BiH,24.4
2013,%,Older persons to youth ratio,Oba spola,Brčko Distrikt BiH,92.8
2013,%,Older persons to youth ratio,Muškarci,Brčko Distrikt BiH,74.5
2013,%,Older persons to youth ratio,Žene,Brčko Distrikt BiH,112.7
