Year,UNIT_MEASURE,Godine,Entitet,Value
2013,_%,15+,BiH,47.2
2013,_%,15+,Federacija BiH,47.2
2013,_%,15+,Republika Srpska,47.3
2013,_%,18-24,BiH,56.8
2013,_%,18-24,Federacija BiH,54.0
2013,_%,18-24,Republika Srpska,63.2
2013,_%,25-34,BiH,56.4
2013,_%,25-34,Federacija BiH,54.4
2013,_%,25-34,Republika Srpska,60.2
2013,_%,35-44,BiH,46.8
2013,_%,35-44,Federacija BiH,46.4
2013,_%,35-44,Republika Srpska,47.6
2013,_%,45-54,BiH,47.5
2013,_%,45-54,Federacija BiH,47.0
2013,_%,45-54,Republika Srpska,48.4
2013,_%,55-64,BiH,44.2
2013,_%,55-64,Federacija BiH,43.7
2013,_%,55-64,Republika Srpska,45.1
2013,_%,65+,BiH,44.2
2013,_%,65+,Federacija BiH,46.3
2013,_%,65+,Republika Srpska,41.2
