Year,Godine,MARRIAGE_BIRTH,UNIT_MEASURE,Entitet,Value
1997,13 - 14,unknown_marital_status_birth,Broj,Federacija BiH,11.0
1997,15 - 19,unknown_marital_status_birth,Broj,Federacija BiH,3128.0
1997,16 - 19,Ukupno,Broj,Federacija BiH,11.0
1997,17 - 19,Ukupno,Broj,Federacija BiH,3128.0
1997,13 - 14,unknown_marital_status_birth,Broj,BiH,11.0
1997,15 - 19,unknown_marital_status_birth,Broj,BiH,3128.0
1997,16 - 19,Ukupno,Broj,BiH,11.0
1997,17 - 19,Ukupno,Broj,BiH,3128.0
1998,13 - 14,unknown_marital_status_birth,Broj,Federacija BiH,2.0
1998,15 - 19,unknown_marital_status_birth,Broj,Federacija BiH,2395.0
1998,16 - 19,Ukupno,Broj,Federacija BiH,2.0
1998,17 - 19,Ukupno,Broj,Federacija BiH,2395.0
1998,19 - 19,in_marriage_birth,Broj,Republika Srpska,567.0
1998,21 - 19,out_of_marriage_birth,Broj,Republika Srpska,229.0
1998,25 - 19,Ukupno,Broj,Republika Srpska,796.0
1998,19 - 19,in_marriage_birth,Broj,BiH,567.0
1998,21 - 19,out_of_marriage_birth,Broj,BiH,229.0
1998,22 - 19,unknown_marital_status_birth,Broj,BiH,2.0
1998,23 - 19,unknown_marital_status_birth,Broj,BiH,2395.0
1998,24 - 19,Ukupno,Broj,BiH,2.0
1998,25 - 19,Ukupno,Broj,BiH,3191.0
1999,23 - 19,unknown_marital_status_birth,Broj,Federacija BiH,2073.0
1999,25 - 19,Ukupno,Broj,Federacija BiH,2073.0
1999,19 - 19,in_marriage_birth,Broj,Republika Srpska,681.0
1999,20 - 19,out_of_marriage_birth,Broj,Republika Srpska,1.0
1999,21 - 19,out_of_marriage_birth,Broj,Republika Srpska,226.0
1999,24 - 19,Ukupno,Broj,Republika Srpska,1.0
1999,25 - 19,Ukupno,Broj,Republika Srpska,907.0
1999,19 - 19,in_marriage_birth,Broj,BiH,681.0
1999,20 - 19,out_of_marriage_birth,Broj,BiH,1.0
1999,21 - 19,out_of_marriage_birth,Broj,BiH,226.0
1999,23 - 19,unknown_marital_status_birth,Broj,BiH,2073.0
1999,24 - 19,Ukupno,Broj,BiH,1.0
1999,25 - 19,Ukupno,Broj,BiH,2980.0
2000,30 - 19,unknown_marital_status_birth,Broj,Federacija BiH,3.0
2000,31 - 19,unknown_marital_status_birth,Broj,Federacija BiH,1806.0
2000,32 - 19,Ukupno,Broj,Federacija BiH,3.0
2000,33 - 19,Ukupno,Broj,Federacija BiH,1806.0
2000,27 - 19,in_marriage_birth,Broj,Republika Srpska,542.0
2000,28 - 19,out_of_marriage_birth,Broj,Republika Srpska,1.0
2000,29 - 19,out_of_marriage_birth,Broj,Republika Srpska,180.0
2000,32 - 19,Ukupno,Broj,Republika Srpska,1.0
2000,33 - 19,Ukupno,Broj,Republika Srpska,722.0
2000,27 - 19,in_marriage_birth,,BiH,542.0
2000,28 - 19,out_of_marriage_birth,,BiH,1.0
2000,29 - 19,out_of_marriage_birth,,BiH,180.0
2000,30 - 19,unknown_marital_status_birth,,BiH,3.0
2000,31 - 19,unknown_marital_status_birth,,BiH,1806.0
2000,32 - 19,Ukupno,,BiH,4.0
2000,33 - 19,Ukupno,,BiH,2528.0
2001,30 - 19,unknown_marital_status_birth,,Federacija BiH,13.0
2001,31 - 19,unknown_marital_status_birth,,Federacija BiH,1679.0
2001,32 - 19,Ukupno,,Federacija BiH,13.0
2001,33 - 19,Ukupno,,Federacija BiH,1679.0
2001,27 - 19,in_marriage_birth,,Republika Srpska,707.0
2001,28 - 19,out_of_marriage_birth,,Republika Srpska,2.0
2001,29 - 19,out_of_marriage_birth,,Republika Srpska,231.0
2001,32 - 19,Ukupno,,Republika Srpska,2.0
2001,33 - 19,Ukupno,,Republika Srpska,938.0
2001,27 - 19,in_marriage_birth,,BiH,707.0
2001,28 - 19,out_of_marriage_birth,,BiH,2.0
2001,29 - 19,out_of_marriage_birth,,BiH,231.0
2001,30 - 19,unknown_marital_status_birth,,BiH,13.0
